year,nos_DET anneaux_NOUN,nos_DET canaux_NOUN
1800,3.144164484325529e-09,3.458580977167003e-08
1801,0.0,9.524730626431221e-08
1802,0.0,7.608656460433849e-08
1803,0.0,7.80135662736825e-08
1804,0.0,7.415553038292444e-08
1805,0.0,6.538618890772341e-08
1806,0.0,2.881669125542885e-09
1807,0.0,4.839823830593559e-08
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,2.259030518203531e-09,3.8403518809460024e-08
1810,0.0,2.8081521108447305e-08
1811,7.521229861140455e-09,5.264861391296449e-08
1812,0.0,3.200649878465356e-08
1813,0.0,2.5881675469463516e-08
1814,0.0,1.4789381808100188e-07
1815,0.0,5.394447111228828e-09
1816,0.0,5.7940098940889584e-08
1817,3.42512151974006e-08,2.9580593974287694e-08
1818,2.384235475716423e-09,4.053200441944682e-08
1819,0.0,8.073819124376769e-08
1820,1.1866481131050932e-09,8.06920743556816e-08
1821,0.0,9.467028849741155e-08
1822,8.02049271442229e-09,6.817418807258946e-08
1823,5.929612356680991e-09,3.9530746676064155e-08
1824,8.421112696055388e-10,3.2000230021367315e-08
1825,8.805443041381977e-10,5.6354835464844655e-08
1826,7.0463874735082754e-09,5.9013494535520294e-08
1827,9.217273055917019e-10,1.0415518403306123e-07
1828,1.8344602503717056e-09,8.530239847814869e-08
1829,0.0,9.859152516611402e-08
1830,6.262101504006523e-09,1.0332467614837526e-07
1831,7.795603274018958e-09,8.107426907599802e-08
1832,6.764984572527055e-09,3.179542886755371e-07
1833,2.3167257001688313e-09,1.2973664453852507e-07
1834,5.600718555598405e-09,9.61456718684417e-08
1835,0.0,7.638718813041123e-08
1836,0.0,1.3172670421113253e-07
1837,6.957890930081589e-10,2.616167007474246e-07
1838,1.2624323808552163e-09,2.0893256191811815e-07
1839,6.9914749545318955e-09,1.6709625949573592e-07
1840,5.732719632334238e-09,1.598791925516707e-07
1841,1.926164561183441e-09,2.1059399823997182e-07
1842,2.0124795163667386e-09,2.025896037594066e-07
1843,4.134837805480629e-09,1.9197460554565282e-07
1844,5.488561161115513e-09,1.4654458135865411e-07
1845,5.022205318283568e-09,1.5959451271641e-07
1846,0.0,1.3992258773853905e-07
1847,5.393223645455691e-10,1.3429126166641936e-07
1848,0.0,1.592953875473313e-07
1849,4.1897072478036534e-09,1.1479798689428833e-07
1850,8.146795238417326e-09,1.3170652479743694e-07
1851,1.9348316282474798e-09,1.1544495670534616e-07
1852,6.510545436100301e-10,8.528814832153842e-08
1853,6.569124799682413e-09,6.927440998616419e-08
1854,7.79349651480743e-09,8.832629561084104e-08
1855,2.1227748447927297e-09,1.1887539130839286e-07
1856,5.177189343896771e-09,8.387046346314264e-08
1857,0.0,8.347380320294917e-08
1858,0.0,1.614913109904137e-07
1859,2.800695320104296e-08,8.402086115744112e-08
1860,4.57718396518203e-09,1.199222216530238e-07
1861,8.488735048217677e-09,6.649509032286005e-08
1862,7.68057684119583e-09,1.2017843453726584e-07
1863,1.5982786649715308e-08,8.241124138663736e-08
1864,1.1986819536957682e-08,9.445613924352614e-08
1865,5.6482134525026595e-09,1.6144476688850773e-07
1866,4.379051787850585e-09,1.7029645893451573e-07
1867,7.279217228983725e-09,1.441285029102346e-07
1868,7.409810987013543e-09,1.1411108769010525e-07
1869,9.767038733343725e-09,1.1183258896707571e-07
1870,9.17447806614291e-09,1.2041502639448254e-07
1871,1.0621176826930423e-08,1.6250400691752986e-07
1872,1.7537283625301825e-08,1.2094678492058364e-07
1873,2.3944018323618366e-08,1.3109349694673256e-07
