year,moins_ADV omis_VERB,moins_ADV commis_VERB
1800,0.0,4.087413785214267e-08
1801,4.7623651688866175e-09,1.6668277424969347e-08
1802,0.0,6.713520406265161e-09
1803,0.0,7.801356893821776e-09
1804,0.0,2.2246657849223084e-08
1805,0.0,8.528632911009026e-09
1806,0.0,2.5935023018064385e-08
1807,0.0,1.4234775136401367e-08
1808,0.0,1.3596443970698147e-08
1809,0.0,1.8072244145628247e-08
1810,0.0,1.4040760554223652e-08
1811,0.0,0.0
1812,0.0,1.600324850414836e-08
1813,0.0,2.300593315851529e-08
1814,0.0,4.405347908686963e-08
1815,0.0,1.3486118000116676e-08
1816,2.3176038865813098e-09,9.270415546325239e-09
1817,0.0,1.2454987263765815e-08
1818,1.1921177378582115e-09,5.960588467246453e-09
1819,0.0,1.5526575580793178e-08
1820,1.1866481131050932e-09,2.966620371580575e-08
1821,5.9168927535324656e-09,2.465372084259343e-08
1822,0.0,1.4035862250239006e-08
1823,0.0,1.4824030003524058e-08
1824,0.0,2.5263338088166165e-08
1825,0.0,2.553578504205234e-08
1826,0.0,1.0569580766173203e-08
1827,0.0,2.3043183361437514e-08
1828,9.172301251858528e-10,4.494427585655103e-08
1829,0.0,4.715246859632316e-08
1830,1.0436835840010872e-09,3.444155893816969e-08
1831,1.5591206103948707e-09,1.7150327380477393e-08
1832,2.705993873419743e-09,1.488296597074168e-08
1833,0.0,6.950177322551099e-09
1834,0.0,3.547121707470069e-08
1835,7.563087933704082e-10,5.218530674255817e-08
1836,0.0,3.091545153210973e-08
1837,0.0,2.0177884252348122e-08
1838,3.787297142565649e-09,2.5879863585487328e-08
1839,7.690622361167243e-09,9.788065469251706e-09
1840,6.369688665408546e-10,1.0828470564661075e-08
1841,0.0,4.044945711711989e-08
1842,1.341653010911159e-09,1.7441490030023488e-08
1843,6.497602011990011e-09,1.7130041385371442e-08
1844,7.1351298203126134e-09,1.975882035765153e-08
1845,0.0,1.4508592549589139e-08
1846,1.1709002656346001e-09,1.5221703009160592e-08
1847,1.0786447290911383e-09,1.5101026207275936e-08
1848,8.045221711050488e-10,3.539897619475596e-08
1849,0.0,4.4410899846525353e-08
1850,0.0,2.9192683825840504e-08
1851,3.8696632564949596e-09,6.449438760824933e-09
1852,1.3021090872200602e-09,7.161600201754936e-09
1853,0.0,2.149895550473957e-08
1854,4.676098175337984e-09,2.286092382064453e-08
1855,4.2455496895854594e-09,1.5920811335945473e-08
1856,0.0,5.694908100650764e-09
1857,4.881509085841174e-10,1.7085282522089074e-08
1858,4.404308473482388e-09,2.202154192332273e-08
1859,2.5460866748261424e-09,9.675129142294736e-09
1860,1.373155145145688e-09,2.8378540406492903e-08
1861,3.772770984511453e-09,1.650587222457034e-08
1862,4.517986262886353e-10,2.3041730301542884e-08
1863,5.494082966350788e-09,1.748117206545885e-08
1864,0.0,2.1576274988888144e-08
1865,2.8241067262513297e-09,2.4946274379544775e-08
1866,4.865612912574591e-10,2.092213513549268e-08
1867,9.7056229719783e-10,1.649955905236311e-08
1868,1.4819622196071691e-09,1.1361710683388537e-08
1869,1.4650557433881772e-09,2.0510780629479086e-08
1870,4.013834153937523e-09,2.5803219116937726e-08
1871,2.1242354542039266e-09,2.549082545044712e-08
1872,2.4189357183956872e-09,3.1446163006876304e-08
1873,0.0,1.496501056408306e-08
1874,6.572069999322139e-09,2.9873046258899194e-08
1875,5.721527140956084e-10,1.830888685105947e-08
1876,7.255217759905008e-09,1.5115036333668286e-08
1877,1.2369631985365004e-09,2.1028373708986692e-08
1878,1.2078177347163432e-09,8.4547240319921e-09
1879,0.0,2.7491964260661916e-08
1880,4.492492600149944e-09,1.9895322722618403e-08
1881,2.7890030285249168e-09,1.673401861523871e-08
1882,5.989846840748214e-09,3.0614771162618126e-08
