year,différents_DET camps_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,9.493184904840746e-09
1821,4.930744257336528e-09
1822,0.0
1823,9.882686891060644e-10
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,2.2689263801112247e-09
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,5.095750932326837e-09
1841,6.420548537278137e-10
1842,2.0124795163667386e-09
1843,5.906911071384968e-10
1844,0.0
1845,0.0
1846,2.9272506640865004e-09
1847,5.393223645455691e-10
1848,8.045221711050488e-10
1849,0.0
1850,1.0183494048021657e-08
1851,6.449438760824933e-10
1852,0.0
1853,5.971931837933653e-10
1854,1.0391328908454511e-09
1855,3.980202833986368e-08
1856,0.0
1857,1.122747050885664e-08
1858,1.1255455234504552e-08
1859,5.092173349652285e-10
1860,3.661747127736703e-09
1861,0.0
1862,2.0782737308877586e-08
1863,1.9978483312144135e-09
1864,3.3563094525845827e-09
1865,1.882737743486018e-09
1866,2.432806400776144e-09
1867,3.88224918879132e-09
1868,0.0
1869,9.767038289254515e-10
1870,1.1468097582678638e-09
1871,0.0
1872,1.8142017887967654e-09
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,4.621187876807653e-09
1885,3.86738152613475e-09
1886,0.0
1887,1.9586774424595887e-09
1888,3.804368819970705e-09
1889,1.2530273485467092e-09
1890,0.0
1891,6.374220040683554e-10
1892,3.1342561879199593e-09
1893,0.0
1894,0.0
1895,3.0093072478365457e-09
1896,0.0
1897,0.0
1898,1.13167097914868e-09
1899,1.1055156790007459e-09
1900,1.038210628578895e-09
1901,5.58873880507349e-09
1902,5.892340837476695e-09
1903,3.7801539676252105e-09
1904,3.7622376325430196e-09
1905,5.676835002077496e-09
1906,2.572092316910357e-09
1907,1.028568674676933e-09
1908,9.822778146428846e-10
1909,3.300590023513905e-09
1910,0.0
1911,3.1922244847493175e-09
1912,5.209421227725386e-10
1913,1.590896969716482e-09
1914,5.357394972094198e-09
1915,1.767114277129167e-08
1916,1.538244731591476e-08
1917,2.0836205649743533e-08
1918,9.189101035644853e-09
1919,4.603924352863942e-09
1920,3.786115865267448e-09
1921,6.815472630705699e-09
1922,2.2133805899215986e-09
1923,3.1847844361720945e-09
1924,5.156649773851996e-09
1925,1.0998177923937646e-09
1926,0.0
1927,4.4596899506643695e-09
1928,4.570416489713125e-09
1929,6.684243825105796e-09
1930,1.0503603542488804e-09
1931,0.0
1932,4.383814644626227e-09
1933,3.4411986593596566e-09
1934,2.3963160344919743e-09
1935,8.377798899061872e-09
1936,4.849885826274658e-09
1937,6.295559185076627e-09
1938,1.2965214457594243e-09
1939,4.588215141154706e-09
1940,0.0
1941,8.854508237732261e-09
1942,2.1239483061208375e-08
1943,2.0322646676618206e-08
1944,2.5705489292704442e-08
1945,1.742803235060819e-08
1946,1.3921104269343232e-08
1947,3.337843779149807e-08
1948,1.0871888278529696e-08
1949,9.817008539414473e-09
1950,2.1270722072586068e-08
1951,1.5992101864981123e-08
1952,7.381362632230548e-09
1953,2.0470272588113403e-08
1954,8.795282724349818e-09
1955,5.631364707880948e-09
1956,5.232684952005684e-09
1957,5.301022731885041e-09
1958,6.617794756635931e-09
1959,1.1626121398933265e-08
1960,7.612916519406099e-09
1961,5.55852741612739e-09
1962,1.0147130247162295e-08
1963,7.759263453976928e-09
1964,1.520992043424485e-08
1965,5.47204326295514e-09
1966,7.754704434148607e-09
1967,8.874604162656397e-09
1968,1.2126823101255013e-08
1969,7.72098829315837e-09
1970,5.978342709767048e-09
1971,1.644287195290417e-08
1972,1.539044092169206e-08
1973,7.718485406371656e-09
1974,7.875800456247362e-09
1975,1.0851811893530794e-08
1976,1.314111219841152e-08
1977,1.23412418062685e-08
1978,7.72276909088987e-09
1979,1.6385525825057812e-08
1980,1.819248218737357e-08
1981,1.2651098835192442e-08
1982,1.1794254461960918e-08
1983,1.326216381158929e-08
1984,9.858314165001048e-09
1985,1.6242006850575308e-08
1986,2.2779044428489215e-08
1987,1.588812459374367e-08
1988,1.3792074149421296e-08
1989,1.92084268491044e-08
1990,1.0352437129768077e-08
1991,1.2895223555631219e-08
1992,1.2672871640972971e-08
1993,2.2710750613441633e-08
1994,1.476979427650349e-08
1995,2.6570008415660595e-08
1996,2.1352368761995422e-08
1997,2.5412941084823615e-08
1998,2.1456582288692516e-08
1999,1.828080442578539e-08
2000,1.9439339027371716e-08
2001,2.93541191354052e-08
2002,2.6287329646379476e-08
2003,2.4584844382502524e-08
2004,3.567880924038036e-08
2005,2.477062288619436e-08
2006,3.294312023172097e-08
2007,1.917350189728495e-08
2008,2.299017509699297e-08
2009,1.7165493915172192e-08
2010,1.6060896612657416e-08
2011,1.3383901986685487e-08
2012,2.3148919225945974e-08
2013,2.4265387921218462e-08
2014,1.8622827724357194e-08
2015,1.7067630864175953e-08
2016,1.2220906064897008e-08
2017,2.1382696502314502e-08
2018,1.7812119779136992e-08
2019,1.5305927192343916e-08
