year,gros_ADJ anneaux_NOUN,gros_ADJ canaux_NOUN
1800,3.772997558826319e-08,0.0
1801,1.1905913055443307e-07,9.524730337773235e-09
1802,5.594600338554301e-08,1.3427040812530322e-08
1803,6.436119548425268e-08,1.950339223455444e-09
1804,4.69651695311768e-08,7.4155526164076946e-09
1805,3.695740957709859e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,2.039466551195801e-08,2.2660739951163578e-09
1809,6.325285539787728e-08,0.0
1810,4.914266327205041e-08,0.0
1811,5.0141537144554604e-08,0.0
1812,3.200649700829672e-08,0.0
1813,3.163315653864629e-08,1.4378708002027452e-08
1814,7.552024783308298e-08,9.440030979135372e-09
1815,4.045835311217161e-08,2.4275012222574333e-08
1816,6.257530316133852e-08,0.0
1817,5.1376822796100896e-08,0.0
1818,1.3113295338484932e-08,0.0
1819,2.4842520929269085e-08,1.035105001712111e-09
1820,7.001224133773576e-08,1.3053129244156025e-08
1821,4.930744168518686e-08,0.0
1822,2.5064039732569654e-08,4.010246357211145e-09
1823,5.336650943377208e-08,2.075364236020505e-08
1824,9.179012749882531e-08,1.6842225392110777e-08
1825,4.754939197937347e-08,7.044354433105582e-09
1826,3.963592831723872e-08,5.284790383086602e-09
1827,3.2260455640198415e-08,1.1060727445055818e-08
1828,2.2013523448549677e-08,1.8344602503717056e-09
1829,7.715858174606183e-09,1.1145129263923081e-08
1830,5.114049628218709e-08,3.1310507520032616e-09
1831,3.741889287312006e-08,3.1182413096075834e-08
1832,4.058990654698391e-08,9.470978667991403e-09
1833,5.21263281427764e-08,2.0850531967653296e-08
1834,8.401077877806529e-08,1.5868701908061666e-08
1835,8.092504089063368e-08,5.218530674255817e-08
1836,4.099657502365517e-08,6.048674894287842e-09
1837,7.166627824517491e-08,2.6439986200443855e-08
1838,4.86036455527028e-08,7.574594285131298e-09
1839,5.173691519644308e-08,1.6080392128969834e-08
1840,4.713569623504554e-08,8.280594876453051e-09
1841,4.365973182984817e-08,9.630822361827995e-09
1842,5.500777433553594e-08,1.0062397137744483e-08
1843,3.5441466650354414e-08,2.0674189471492355e-08
1844,2.9638231424655714e-08,9.879410178825765e-09
1845,3.4039391749729475e-08,1.3950569588416784e-08
1846,6.030136034951283e-08,3.5127007969038004e-09
1847,4.2067142658197554e-08,1.77976389181822e-08
