year,sommes_VERB ouverts_ADJ,sommes_VERB couverts_ADJ
1800,0.0,1.5720821977538435e-08
1801,0.0,1.6668277424969347e-08
1802,0.0,2.2378401354217203e-09
1803,0.0,7.801356893821776e-09
1804,0.0,2.4718509905596875e-08
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,1.581321384946932e-08
1810,0.0,2.8081521108447305e-08
1811,0.0,7.521229861140455e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,5.751483289628823e-09
1814,0.0,9.754699448194515e-08
1815,0.0,1.8880564667256294e-08
1816,1.1588019432906549e-08,0.0
1817,0.0,3.113746815941454e-09
1818,0.0,2.384235475716423e-09
1819,0.0,1.6561680027393777e-08
1820,0.0,7.119888678630559e-09
1821,0.0,5.9168927535324656e-09
1822,0.0,1.604098542884458e-08
1823,9.882686891060644e-10,1.087095569118901e-08
1824,0.0,3.3684450784221553e-08
1825,0.0,3.522177216552791e-09
1826,0.0,1.4092774947016551e-08
1827,0.0,8.295545583791863e-09
1828,0.0,1.1006761724274838e-08
1829,8.57317605795771e-10,6.001223074036943e-09
1830,0.0,1.1480519646056564e-08
1831,0.0,3.1182412207897414e-09
1832,0.0,1.3529969367098715e-09
1833,0.0,3.4750886612755494e-09
1834,0.0,1.0267983796552471e-08
1835,0.0,1.2100940693926532e-08
1836,0.0,1.2769425516978572e-08
1837,0.0,2.0873671680021744e-09
1838,0.0,1.009945904684173e-08
1839,0.0,3.4957374772659477e-09
1840,0.0,5.095750932326837e-09
1841,0.0,5.778493683550323e-09
1842,6.708265054555795e-10,7.379091560011375e-09
1843,0.0,6.497602011990011e-09
1844,0.0,6.037417232818143e-09
1845,0.0,9.48638767539478e-09
1846,0.0,5.269050973311096e-09
1847,0.0,1.1325769655456952e-08
1848,0.0,4.82713291560799e-09
1849,0.0,2.513824481908955e-09
1850,0.0,3.394498016007219e-09
1851,0.0,3.2247193804124663e-09
1852,0.0,8.463708844885787e-09
1853,0.0,2.388772735173461e-09
1854,0.0,6.234797567117312e-09
1855,0.0,9.552486801567284e-09
1856,0.0,1.9155599773057475e-08
1857,0.0,9.763017949637742e-09
1858,4.893676019968041e-10,3.4255731584664773e-09
