year,plusieurs_DET offres_NOUN,plusieurs_DET coffres_NOUN
1800,6.288328968651058e-09,9.432493897065797e-09
1801,2.3811825844433088e-09,2.3811825400343878e-08
1802,1.5664880947952042e-08,2.6854081625060644e-08
1803,1.5602713787643552e-08,3.900678446910888e-09
1804,4.943701892301533e-09,7.4155526164076946e-09
1805,1.421438877713399e-08,3.695740957709859e-08
1806,0.0,2.305335300434308e-08
1807,0.0,1.9928686256776018e-08
1808,1.1330369531492579e-08,2.7192887941396293e-08
1809,0.0,3.6144488291256494e-08
1810,2.106114038724627e-08,3.2761775514700275e-08
1811,5.0141535368197765e-09,1.4791753244480788e-07
1812,2.400487453257938e-08,8.00162469616339e-09
1813,1.1502966579257645e-08,1.4378708002027452e-08
1814,9.440030979135372e-09,1.2586708564299443e-08
1815,3.506390555685357e-08,2.697223555614414e-09
1816,4.6352077731626196e-09,4.4034472068688046e-08
1817,4.670620334934483e-09,3.7364962679475866e-08
1818,2.384235475716423e-09,1.668964877410417e-08
1819,7.245735234029382e-09,1.2421260464634543e-08
1820,2.3732962262101864e-08,1.779972080839798e-08
1821,3.4515207469887343e-08,2.465372084259343e-08
1822,4.511527151862538e-08,3.107940926838637e-08
1823,4.842516432290722e-08,9.882686669016039e-09
1824,3.115811608722652e-08,3.3684449896043134e-08
1825,5.283266046873791e-09,2.201360693732113e-08
1826,7.839106330731482e-08,5.372870504061211e-08
1827,4.055600300034712e-08,8.295545583791863e-09
1828,3.668920500743411e-09,1.0089530988466322e-08
1829,2.743416338546467e-08,4.6295149047637096e-08
1830,1.4611569953970616e-08,9.39315203396518e-09
1831,4.677361609140007e-09,2.0268567268999504e-08
1832,3.111892965534935e-08,4.058990921151917e-09
1833,1.7375443306377747e-08,3.4750887167867006e-08
1834,9.334531148041947e-09,3.827157701863371e-08
1835,1.0588323107185715e-08,2.949604294144592e-08
1836,6.250297912568925e-08,1.747394939854985e-08
1837,4.5226290268374214e-08,1.8090515752078318e-08
1838,6.438405097952682e-08,3.408567295082321e-08
1839,1.747868882961967e-08,3.0063343814390464e-08
1840,2.1019971874203236e-08,1.4013315396965709e-08
1841,1.412520722610111e-08,2.8250413564023802e-08
1842,2.2808102073668124e-08,1.408735705865638e-08
1843,3.6622846977252266e-08,2.4809025944705354e-08
1844,2.7991662432391706e-08,9.879410234336916e-09
1845,2.7901139176833567e-08,2.0088821106600818e-08
1846,6.439951683034906e-09,1.6392604607062822e-08
1847,4.1527822958187244e-08,1.941560512364049e-08
1848,2.896279838182636e-08,1.448139919091318e-08
1849,1.5920887719289567e-08,1.3407063903514427e-08
1850,3.530277936647508e-08,1.425689166723032e-08
1851,1.6123596680017727e-08,9.029214709244116e-09
1852,1.4974254280986088e-08,2.6042181744401205e-09
1853,1.015228412448721e-08,1.0749477752369785e-08
1854,2.7537021551893304e-08,1.4028293915391288e-08
1855,1.1144567935161831e-08,3.02495415382964e-08
1856,6.212626857404757e-09,2.485050742961903e-08
1857,3.758761835115365e-08,3.270611159678083e-08
1858,2.5447114637699997e-08,1.663849857891364e-08
1859,2.3423997630445115e-08,1.2221216039165483e-08
1860,1.0069804545764782e-08,1.4189270203246451e-08
1861,2.1221836732365773e-08,1.4147891136406798e-08
1862,1.7168348520613108e-08,4.9697850279528666e-09
1863,2.2475793670651e-08,5.494082966350788e-09
1864,2.1096802971243278e-08,6.233146332412787e-09
1865,2.3063536858103362e-08,1.4120533187167439e-08
1866,1.751620715140234e-08,1.702964524952222e-08
1867,1.4073153309368536e-08,1.6984840200962026e-08
1868,1.6301584304656558e-08,9.879747797647553e-09
1869,1.0743741896135361e-08,1.4162205741463652e-08
1870,1.0321287824410774e-08,2.4656408914580652e-08
1871,1.4869648179427486e-08,2.8677177965619194e-08
1872,1.028047680318167e-08,1.0885210843802895e-08
1873,2.2148215872430654e-08,4.788803575905831e-09
1874,5.377148060148329e-09,2.2106053876314036e-08
1875,2.689117817311626e-08,1.9453191668628023e-08
1876,2.5997862973525798e-08,1.3301232781870453e-08
1877,1.1132669008873108e-08,1.7935966489801558e-08
1878,1.2078177569208037e-08,1.5701630218245555e-08
1879,1.4051448005147904e-08,1.5273313280772527e-08
1880,1.7328185553111553e-08,1.0910338410496934e-08
1881,2.440377727674914e-08,1.1853262871230896e-08
1882,1.4641846846075168e-08,2.3959386474814437e-08
1883,2.401348808689363e-08,1.5798347796636136e-08
