year,deux_DET ouverts_ADJ,deux_DET couverts_NOUN
1800,2.5153315874604232e-08,6.288328791015374e-08
1801,0.0,5.952956638743956e-08
1802,3.1329761895904085e-08,3.5805442166747525e-08
1803,0.0,3.1205427575287104e-08
1804,0.0,3.460591457837836e-08
1805,0.0,9.950071655495663e-08
1806,0.0,3.7461697743879085e-08
1807,0.0,1.7081730696588693e-08
1808,0.0,9.517511045942229e-08
1809,0.0,9.262025457701384e-08
1810,0.0,9.126494404654295e-08
1811,0.0,7.52123057168319e-08
1812,0.0,2.6672083208723052e-08
1813,2.8757416448144113e-09,6.326631774022928e-08
1814,0.0,1.2586708564299443e-08
1815,0.0,4.045835311217161e-08
1816,4.6352077731626196e-09,3.244645441213834e-08
1817,0.0,7.161617721074265e-08
1818,0.0,5.6029532125023707e-08
1819,0.0,4.864993607966994e-08
1820,0.0,7.475883379015613e-08
1821,4.930744257336528e-09,7.494731035784241e-08
1822,2.0051231786055723e-09,4.912551787583652e-08
1823,9.882686891060644e-10,1.2551012140704643e-07
1824,0.0,7.831634629695827e-08
1825,0.0,4.40272158730437e-08
1826,0.0,4.492072036565986e-08
1827,9.217273055917019e-10,4.7929820112813104e-08
1828,0.0,7.24611813329723e-08
1829,0.0,5.915491518848626e-08
1830,0.0,5.948996473215118e-08
1831,1.5591206103948707e-09,8.419251518176907e-08
1832,1.3529969367098715e-09,8.659180084080731e-08
1833,1.1583628500844156e-09,6.834340493533375e-08
1834,0.0,7.374279498151282e-08
1835,0.0,1.0210168710500511e-07
1836,0.0,1.0753199997104446e-07
1837,1.3915781860163179e-09,5.496733890275607e-08
1838,0.0,7.195864526465812e-08
1839,6.9914751765765e-10,6.292327547896548e-08
1840,1.2739377330817092e-09,7.83471718612816e-08
1841,0.0,7.255219758306453e-08
1842,1.341653010911159e-09,6.439934185920038e-08
1843,4.134837805480629e-09,8.210606550207444e-08
1844,0.0,7.629099935124728e-08
1845,1.1160455892778032e-09,1.0435025954436128e-07
1846,2.3418005312692003e-09,6.732676571807872e-08
1847,1.0786447290911383e-09,4.6921045715464516e-08
1848,0.0,6.194820745264451e-08
1849,0.0,7.290091197376114e-08
1850,0.0,7.400005852531422e-08
1851,6.449438760824933e-10,4.9660678236307376e-08
1852,0.0,4.3620652867559784e-08
1853,1.7915795513800958e-09,3.881755694656874e-08
1854,0.0,7.793496559216351e-08
1855,1.5920811335945473e-09,1.050773583699538e-07
1856,3.1063134287023786e-09,6.367942417817574e-08
1857,0.0,8.445010646340734e-08
1858,4.893676019968041e-10,5.774537714664518e-08
1859,0.0,9.471442119490803e-08
1860,9.154367819341758e-10,9.474770745754313e-08
1861,2.357981809808507e-09,8.677373308785263e-08
1862,9.035972525772706e-10,6.867339452654164e-08
1863,4.994620828036034e-10,7.491931608427649e-08
1864,0.0,8.007195617665275e-08
1865,4.706844358715045e-10,6.871992663803894e-08
1866,0.0,5.6441109563820646e-08
1867,0.0,6.745408320796287e-08
1868,0.0,7.558007242280951e-08
1869,1.4650557433881772e-09,8.49732297858452e-08
1870,0.0,8.199689816024147e-08
