year,les_DET arts_NOUN,les_DET quarts_NOUN
1800,4.5247672190384947e-05,2.7668647550882497e-07
1801,3.912521257376511e-05,3.809892181738661e-07
1802,4.153655066829742e-05,9.7569829904387e-07
1803,4.048904326481306e-05,2.886501917487294e-07
1804,4.027881173840342e-05,4.053835631623315e-07
1805,4.311792697819783e-05,3.980028751016107e-07
1806,4.534018168556031e-05,5.302271457452434e-07
1807,4.801389907527209e-05,3.64410263742343e-07
1808,3.9787727871498646e-05,2.4246992147425317e-07
1809,3.578756209066114e-05,3.772580852157148e-07
1810,3.754265478050911e-05,4.937667554827385e-07
1811,3.647796724237651e-05,2.4318644520349153e-07
1812,3.812240651512866e-05,4.3475493427536094e-07
1813,3.824448761946542e-05,2.731954538148784e-07
1814,3.671857689724334e-05,5.066150379207102e-07
1815,3.341859902938893e-05,2.6163067445850174e-07
1816,2.9528590809846378e-05,2.665244505095643e-07
1817,3.207470657606848e-05,6.180787446297131e-07
1818,3.106420353304884e-05,3.886303805433755e-07
1819,3.446175026766696e-05,2.246177808196137e-07
1820,3.125393749314753e-05,3.097151690667488e-07
1821,3.4561559809631603e-05,3.71778096308617e-07
1822,3.086786915673656e-05,1.73443154949382e-07
1823,2.9126255565614656e-05,4.793103265399168e-07
1824,2.7163984043454548e-05,3.781079627174222e-07
1825,3.2852227807467216e-05,4.261834467556014e-07
1826,2.961596720396642e-05,2.87140279553455e-07
1827,3.0185647712954733e-05,5.051065485872641e-07
1828,2.7465538266824296e-05,3.5405084020112554e-07
1829,3.197537445842613e-05,2.78628220939936e-07
1830,2.8974743937482117e-05,3.485903032895976e-07
1831,2.6205700084602768e-05,6.860130614683158e-07
1832,2.9242323105194146e-05,5.154918198968517e-07
1833,2.843896600168705e-05,3.8573481653259023e-07
1834,2.7117744961557833e-05,3.3791001374794405e-07
1835,2.3476582086345843e-05,3.690786769539045e-07
1836,2.2072288142993557e-05,3.6023219340819423e-07
1837,2.318299692127823e-05,5.065344828025786e-07
1838,2.260953234767271e-05,3.175017440071315e-07
1839,2.385701067453283e-05,3.8592941642434653e-07
1840,2.2706028898866748e-05,2.8408811925118016e-07
1841,2.277496923497324e-05,2.6324250157472306e-07
1842,2.118336024992118e-05,3.588921826391811e-07
1843,2.33163508323031e-05,3.561867263357499e-07
1844,2.134227001704403e-05,2.524738098585999e-07
1845,2.0550305787736534e-05,2.7845337591259067e-07
1846,2.145616139870299e-05,3.1555762269874776e-07
1847,2.196498213535847e-05,2.9015544278365724e-07
1848,1.9405075526890414e-05,3.515762005967815e-07
1849,1.7859885637960815e-05,9.167079930705313e-07
1850,1.9543482764561304e-05,3.6728467733837533e-07
1851,1.8847195018878438e-05,2.6120227758497094e-07
1852,2.088648052200881e-05,3.0990197785740747e-07
1853,2.1364585627736687e-05,4.747685817818592e-07
1854,1.9926931617675336e-05,4.3331840693383583e-07
1855,2.0755961188001493e-05,3.6564797412097505e-07
1856,2.0478371190790767e-05,2.935466427711475e-07
1857,1.9153577291319834e-05,3.4512268509701016e-07
1858,1.9120571487007965e-05,2.965567782453604e-07
1859,2.097771677611604e-05,3.1316866255792775e-07
1860,1.9160548887953155e-05,3.744136556349531e-07
1861,2.0510198549317238e-05,3.107819996905903e-07
1862,1.912373269163936e-05,3.691194701005429e-07
1863,1.9033002427448764e-05,2.302520245578421e-07
1864,1.851580022815824e-05,2.924783926161467e-07
1865,1.6150124572789082e-05,3.539546913344793e-07
1866,1.6014678227094237e-05,3.3475416394423974e-07
1867,1.6944077479763564e-05,3.4115265634682146e-07
1868,1.7036142814674804e-05,4.2433518387952063e-07
1869,1.5496871320408445e-05,3.2377731873367566e-07
1870,1.6873012150142586e-05,3.159460941759562e-07
1871,1.148255466887349e-05,2.6340520764556175e-07
