year,nos_DET arts_NOUN,nos_DET quarts_NOUN
1800,6.38265364116819e-07,1.2576657937302116e-08
1801,9.45329502677339e-07,2.3811825844433088e-09
1802,8.682819725436275e-07,2.6854081625060644e-08
1803,6.221581958509859e-07,0.0
1804,6.822308380449726e-07,0.0
1805,6.026900787325928e-07,0.0
1806,9.394241118343416e-07,0.0
1807,1.207109001200024e-06,0.0
1808,1.2644693296870457e-06,4.5321479902327155e-09
1809,8.539135638585549e-07,3.162642769893864e-08
1810,8.424456368061328e-07,2.3401266702194334e-08
1811,8.549131917945374e-07,0.0
1812,7.734904023948275e-07,0.0
1813,9.576219959228638e-07,0.0
1814,6.765356008742174e-07,3.1466772298927026e-08
1815,7.902865224451716e-07,0.0
1816,5.608601494344612e-07,4.6352077731626196e-09
1817,8.329272809248778e-07,0.0
1818,8.845513477240274e-07,0.0
1819,9.885252687524826e-07,5.175524897538253e-09
1820,8.342135995320632e-07,7.119888678630559e-09
1821,6.784703837636741e-07,9.86148829262845e-10
1822,6.747239353899204e-07,0.0
1823,6.858584820079727e-07,2.9648061783404955e-09
1824,7.107419053298258e-07,0.0
1825,1.0804278349763052e-06,2.641632912414593e-09
1826,9.644742933190287e-07,0.0
1827,9.005275920515032e-07,3.6869092223668076e-09
1828,6.136269755652179e-07,7.337841001486822e-09
1829,6.455601662125332e-07,0.0
1830,6.387343500779963e-07,0.0
1831,5.987022868580993e-07,1.2472964883158966e-08
1832,7.63090292288382e-07,1.3529969367098715e-09
1833,8.652970500122592e-07,1.1583628278799551e-08
1834,6.608848170941428e-07,1.8669061851994684e-09
1835,5.052142952877148e-07,1.2100940693926532e-08
1836,5.699196027886266e-07,1.3441500135158435e-09
1837,5.350618107469174e-07,1.3915781860163179e-09
1838,5.396898217213675e-07,6.312161904276081e-10
1839,3.873277290011856e-07,0.0
1840,4.758157468032209e-07,0.0
1841,7.300163495926881e-07,3.2102742686390684e-09
1842,4.0853334271062636e-07,8.049918065466954e-09
1843,5.564310487926605e-07,7.678984559333912e-09
1844,4.4841545054907783e-07,3.2931368743049916e-09
1845,3.5434446576942946e-07,1.1160455892778032e-09
1846,4.2562225166520307e-07,1.1709002656346001e-09
1847,3.6296395222734645e-07,1.6179670936367074e-09
1848,3.588168988599705e-07,8.045221711050488e-10
1849,3.9383250038937945e-07,1.6758829879393033e-09
1850,3.5031218370562556e-07,5.431196825611551e-09
1851,3.173123972466385e-07,6.449438760824933e-10
1852,4.2904493113837816e-07,6.510545436100301e-10
1853,3.881755823442745e-07,3.5831591027601917e-09
1854,3.7408784853143473e-07,1.0391328908454511e-09
1855,3.1045581394550936e-07,0.0
1856,3.8259427448394945e-07,4.141751275277272e-09
1857,3.5781460994144254e-07,5.857810736475955e-09
1858,3.298337523105488e-07,1.468102750479261e-09
1859,4.450559367707996e-07,1.0693564256314403e-08
1860,3.5610490378701343e-07,4.577183909670879e-10
