year,sentiers_NOUN ouverts_ADJ,sentiers_NOUN couverts_ADJ
1800,9.432493897065797e-09,6.288328968651058e-09
1801,0.0,1.6668277424969347e-08
1802,0.0,4.475680270843441e-09
1803,1.950339223455444e-09,9.751696339321825e-09
1804,0.0,1.4831105232815389e-08
1805,0.0,0.0
1806,2.0171682990621775e-08,2.0171682990621775e-08
1807,0.0,1.4234775136401367e-08
1808,9.064295980465431e-09,1.5862518409903714e-08
1809,0.0,1.3554183553310395e-08
1810,0.0,1.1700633351097167e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,5.3344164641089264e-09
1813,3.163315653864629e-08,0.0
1814,0.0,3.776012391654149e-08
1815,0.0,5.3944472000466703e-08
1816,2.3176038865813098e-09,3.0128852301913867e-08
1817,3.269434145636296e-08,2.80237220096069e-08
1818,0.0,1.7881765401739358e-08
1819,0.0,1.0351049795076506e-08
1820,2.3732962262101864e-09,4.390598107306687e-08
1821,1.3806083387635226e-08,5.9168927535324656e-09
1822,0.0,6.015369535816717e-09
1823,4.941343334508019e-09,2.2730180404550993e-08
1824,0.0,1.2631669044083083e-08
1825,8.805443041381977e-10,2.905796137042671e-08
1826,0.0,1.5854372037438225e-08
1827,9.217273055917019e-10,8.295545583791863e-09
1828,2.7516904310687096e-09,9.172301251858528e-10
1829,1.2859763920403111e-08,1.2859763920403111e-08
1830,4.174734336004349e-09,4.174734336004349e-09
1831,0.0,1.4032085715598441e-08
1832,1.6235963684607668e-08,2.1647950987357945e-08
1833,2.3167257001688313e-09,2.6642345218874652e-08
1834,0.0,8.401078055442213e-09
1835,0.0,3.100866052818674e-08
1836,0.0,1.4113575197427508e-08
1837,4.87052354003481e-09,2.435261770017405e-08
1838,5.680945491803868e-09,1.7042836475411605e-08
1839,1.3982950353153e-09,2.1673573158409454e-08
1840,1.9109065441114126e-09,9.554533164646273e-09
1841,6.420548537278137e-10,1.6051371787284552e-08
1842,2.683306021822318e-09,2.683306021822318e-08
1843,5.906911071384968e-10,7.678984559333912e-09
1844,5.488561272137815e-10,4.9397050894128824e-09
1845,1.1160455892778032e-09,2.7343116215661212e-08
1846,1.7563503984519002e-09,1.8148954339380907e-08
1847,3.235934187273415e-09,2.0494249852731627e-08
1848,0.0,2.494018680465615e-08
1849,1.005529792763582e-08,8.379414495607307e-09
1850,0.0,6.788996032014438e-09
1851,0.0,1.4188765717904062e-08
1852,0.0,1.8229528109259263e-08
1853,1.1943863675867306e-09,2.09017620989016e-08
1854,0.0,9.871762074453727e-09
1855,4.776243400783642e-09,3.237231638308913e-08
1856,6.212626857404757e-09,4.141751386299575e-09
1857,1.4644527812635033e-09,1.5620829074691756e-08
1858,4.893676019968041e-10,2.3489644007668176e-08
1859,2.036869339860914e-09,1.884104072757964e-08
1860,4.577183909670879e-10,2.1512764902809067e-08
1861,9.903524222920623e-09,1.9335450573976232e-08
1862,4.066187830886747e-09,1.2650361647104091e-08
1863,2.4973103585068657e-09,2.3974180862751382e-08
1864,9.589455896019672e-10,2.1096802527154068e-08
1865,4.706844358715045e-10,1.4591217123438582e-08
1866,4.865612912574591e-10,2.092213513549268e-08
1867,0.0,9.220341823379385e-09
1868,0.0,9.87974857480367e-09
1869,9.767038289254515e-10,3.1742874995188686e-08
1870,1.7202146374017957e-09,2.0069171213776826e-08
1871,2.1242354542039266e-09,2.0180236148803488e-08
1872,0.0,2.3584624031514068e-08
1873,1.1972008939764578e-09,2.2746817762708815e-08
1874,5.974609140757536e-10,2.3898437007119355e-08
1875,0.0,3.4901315615343265e-08
1876,6.04601479992084e-10,1.6928840551599933e-08
1877,3.0924081073635534e-09,1.4843558382438005e-08
1878,7.850815109122777e-09,1.2078177569208037e-08
1879,3.0546627449723474e-09,1.710611030603104e-08
1880,8.343199908722454e-09,1.8611753915820373e-08
1881,0.0,2.091752193678076e-08
1882,0.0,1.7969540522244642e-08
1883,1.8958017378167824e-09,1.9589950994713945e-08
1884,6.601696966868076e-10,1.9805090900604227e-08
1885,6.445635691854079e-10,1.2246707647989297e-08
1886,0.0,1.2906927970846027e-08
1887,6.528924623161458e-10,1.5016526688782506e-08
1888,0.0,1.014498351992188e-08
1889,0.0,2.0048437576747347e-08
1890,6.554386478008212e-10,1.7041404731799048e-08
1891,0.0,1.6572972327821844e-08
1892,1.2537024751679837e-09,1.3790726782758611e-08
1893,0.0,1.6627724974682678e-08
1894,0.0,1.449354058991048e-08
1895,0.0,1.0833506536300774e-08
1896,0.0,8.845543852942228e-09
1897,0.0,2.9716238358901137e-08
1898,0.0,1.0750873968845553e-08
1899,0.0,1.5477219506010442e-08
1900,1.038210628578895e-09,1.245852754294674e-08
1901,0.0,8.38310842965484e-09
1902,0.0,1.718599307309887e-08
1903,0.0,1.5120615870500842e-08
1904,1.6123875568041512e-09,3.7622376325430196e-09
1905,0.0,1.2901897328276846e-08
1906,0.0,9.773950537805831e-09
1907,2.057137349353866e-09,2.108565766434367e-08
1908,0.0,2.4556944921982904e-08
1909,0.0,1.980354014108343e-08
1910,0.0,1.977335806202518e-08
1911,0.0,1.2236860413850081e-08
1912,0.0,1.0418842677495377e-08
1913,5.30298971401777e-10,8.484783542428431e-09
1914,6.696743715117748e-10,5.357394972094198e-09
1915,0.0,3.7698438148936475e-08
1916,2.197492410260793e-09,8.789969641043172e-09
1917,0.0,2.1932848870420685e-09
1918,0.0,5.743188147278033e-09
1919,9.207848372660976e-10,2.2098836538475553e-08
1920,0.0,1.3630017114962811e-08
1921,4.543648568500203e-09,2.3475516641724425e-08
1922,0.0,8.853522359686394e-09
1923,2.1231896241147297e-09,7.431163684401554e-09
1924,1.289162443462999e-09,2.1915761649893284e-08
1925,0.0,8.798542339150117e-09
1926,1.1146138456652466e-09,1.114613823460786e-08
1927,0.0,1.6723836537835268e-08
1928,0.0,5.713020723163709e-09
1929,0.0,1.3368487650211591e-08
1930,0.0,6.302162347537887e-09
1931,0.0,2.167017854048936e-08
1932,0.0,5.4797681947604815e-09
1933,1.1470662197865522e-09,5.735331320977366e-09
1934,3.5944740517379614e-09,9.585264137967897e-09
1935,0.0,5.98414207075848e-09
1936,0.0,7.274828739411987e-09
1937,0.0,2.5182236296217297e-09
1938,0.0,0.0
1939,0.0,1.5294050470515685e-09
1940,0.0,2.5357829169792012e-09
1941,0.0,2.9515025978810172e-09
1942,0.0,6.068423541449874e-09
1943,0.0,8.709705845433291e-09
1944,0.0,2.2492303131116387e-08
1945,0.0,6.535512131478072e-09
1946,0.0,5.568441707737293e-09
1947,0.0,3.5762612871081956e-09
