year,avez_VERB assez_ADV,avez_VERB cassé_VERB
1800,2.6096566330124915e-07,9.432493897065797e-09
1801,2.905042890688492e-07,2.1430643926123594e-08
1802,2.4840025503181096e-07,1.7902721083373763e-08
1803,3.842168325718376e-07,7.606323038089613e-08
1804,3.6583392670763715e-07,2.9662210465630778e-08
1805,3.411453235457884e-07,5.685755422035754e-09
1806,3.9478865687669895e-07,0.0
1807,2.0213381901612593e-07,1.5942949005420815e-07
1808,2.5606635745134554e-07,2.945896149242344e-08
1809,2.439753075123008e-07,6.551188391767937e-08
1810,5.171680186322192e-07,3.205973655440175e-07
1811,2.2563691004506836e-07,7.521229861140455e-09
1812,3.7340916492212273e-07,2.1337666566978442e-07
1813,2.70319702622146e-07,5.176335093892703e-08
1814,2.926409763404081e-07,5.034683425719777e-08
1815,2.8590568490471924e-07,2.211723284517575e-07
1816,3.383701709935849e-07,1.3905623319487859e-08
1817,2.6778221240419953e-07,1.71256075987003e-08
1818,2.777634335870971e-07,1.668964877410417e-08
1819,2.7637304356176173e-07,1.9666995143552413e-08
1820,4.260066646111227e-07,5.6959109429044474e-08
1821,6.222599040484056e-07,3.254291058851777e-08
1822,4.822321102437854e-07,2.4061478143266868e-08
1823,3.755421005280368e-07,1.9765373338032077e-08
1824,3.9831863318795513e-07,1.0105335235266466e-08
1825,3.0114614446574706e-07,3.3460683113162304e-08
1826,2.536699525990116e-07,1.409277530228792e-07
1827,2.912658203513274e-07,1.4839810091871186e-07
1828,3.3754068340385857e-07,2.7241733846494753e-07
1829,3.000611741299508e-07,1.4917326041086199e-07
1830,3.1101771469366213e-07,7.097048637660919e-08
1831,2.307498476739056e-07,4.677361609140007e-09
1832,3.030713173757249e-07,1.7588959622116818e-08
1833,3.3013341749210667e-07,1.2741991461950875e-08
1834,2.202949360707862e-07,1.120143711119681e-08
1835,3.6832238947681617e-07,1.663879345414898e-08
1836,3.299888362562342e-07,8.736974699274924e-09
1837,2.783156389796204e-07,7.653680356156656e-09
1838,2.840472745901934e-07,5.049729523420865e-09
1839,3.544678008893243e-07,4.894032734625853e-09
1840,2.5287664584539016e-07,1.9746034141121527e-08
1841,3.280900386926078e-07,1.6051371787284552e-08
1842,2.978469808567752e-07,2.2137275124123335e-08
1843,2.3686713745973975e-07,1.3585895075607368e-08
1844,2.8101433713345614e-07,9.330554107123135e-09
1845,2.7566326821215625e-07,8.37034175305007e-09
1846,2.0256574373433978e-07,1.4636253098387897e-08
1847,2.2651539666185272e-07,1.6179670936367074e-08
1848,2.252662056889676e-07,4.82713291560799e-09
1849,1.835091865132199e-07,4.1897072478036534e-09
1850,2.1860567755993543e-07,4.073397619208663e-09
1851,2.0315732740527892e-07,2.5152811389261842e-08
1852,2.3763490730743797e-07,1.4323200403509873e-08
1853,2.645565757575241e-07,9.555090940693844e-09
1854,3.704508628743497e-07,5.7152309551611324e-09
1855,2.573864605892595e-07,4.776243400783642e-09
1856,2.3763298884205142e-07,5.694908100650764e-09
1857,2.7434080607235956e-07,8.298565390418844e-09
1858,3.303231324025546e-07,2.202154192332273e-08
1859,3.3710188063196256e-07,2.5460867192350634e-08
1860,3.2040287578638527e-07,2.70053845952134e-08
1861,3.636008045759809e-07,1.4147890858851042e-08
1862,2.493928548119584e-07,1.490935552794781e-08
1863,3.046718575205887e-07,1.6981710260211003e-08
1864,3.548098561623192e-07,2.7329949858767577e-08
1865,2.8711750132970337e-07,1.8827376990770972e-08
1866,2.598237358597544e-07,9.731225603104576e-09
1867,2.717574432153924e-07,1.0190904120577216e-08
1868,2.277281936358122e-07,1.0867722721741302e-08
1869,2.4515264840374584e-07,2.0999133099053324e-08
1870,1.9209063850667008e-07,1.4335121534259088e-08
1871,2.2623108009156567e-07,1.0621176826930423e-08
1872,2.2979889990892843e-07,9.071008832961525e-09
1873,2.2986256453805254e-07,1.1972009161809183e-08
1874,2.2345038530602324e-07,2.2106053876314036e-08
1875,3.0038017939659767e-07,1.0298748520654044e-08
1876,3.0048693133721827e-07,5.441413541973361e-09
1877,2.6347316861574654e-07,2.040989244278535e-08
1878,1.9204301793251943e-07,1.872117572077059e-08
1879,2.4620581484668946e-07,1.2829582729523281e-08
1880,2.0601287076260633e-07,1.6686399817444908e-08
1881,2.440377784296288e-07,4.183504653809678e-09
1882,2.51573567311425e-07,2.1962771157291172e-08
1883,1.6493474674916797e-07,7.58320695126713e-09
1884,1.676830976293786e-07,1.4523733327109767e-08
1885,2.4300047130054736e-07,1.0313017106966527e-08
1886,1.6714471939849318e-07,1.355227396970804e-08
1887,1.7823964526542113e-07,3.264462256069578e-09
1888,2.0797216393475537e-07,9.510921827882157e-09
1889,1.917131839945796e-07,1.0024218788373673e-08
1890,1.9269896256446373e-07,2.3595791986963377e-08
1891,1.338586201882208e-07,2.103492668936724e-08
1892,1.1283322010058328e-07,1.6298132621272998e-08
1893,1.5026536459572526e-07,1.970693297437265e-08
1894,1.8274464252954203e-07,1.5753848003896564e-08
1895,1.4023372330029815e-07,1.8657704714541978e-08
1896,1.9047404009597813e-07,1.1794058174530164e-08
1897,1.7363606730214087e-07,8.740070001067579e-09
1898,1.5673643360969436e-07,4.5266837389590364e-08
1899,1.69696662055685e-07,2.7637891975018647e-08
1900,1.6663280177908746e-07,1.0901211489056095e-08
1901,1.4363058653543703e-07,1.900171220370339e-08
1902,1.4338029075133818e-07,1.2275709337927765e-08
1903,1.0854442678009946e-07,9.720396931811592e-09
1904,1.4189009789333795e-07,3.2247751136083025e-09
1905,1.847551800437941e-07,9.28936660926638e-09
1906,1.4866692765735934e-07,1.0802787109298606e-08
