year,petits_ADJ anneaux_NOUN,petits_ADJ canots_NOUN
1800,8.803660733747165e-08,6.60274537267469e-08
1801,1.5953923071521103e-07,9.048493865293494e-08
1802,1.544109693440987e-07,3.849085032925359e-07
1803,1.501761204281138e-07,7.996391104825307e-08
1804,1.458392091535643e-07,9.145848167690929e-08
1805,1.051864728651708e-07,1.421438877713399e-08
1806,9.509508203109363e-08,9.797675204481493e-08
1807,5.693910054560547e-08,8.256169792275614e-08
1808,9.290903024705699e-08,6.345007363961486e-08
1809,2.078308103392601e-07,9.262025457701384e-08
1810,4.446240753352981e-08,3.0889674462741823e-07
1811,1.0529722516139373e-07,4.512738271955641e-08
1812,1.0935553973467904e-07,6.668020802180763e-08
1813,1.0640244352266848e-07,4.601186631703058e-08
1814,1.1642705599612668e-07,3.776012391654149e-08
1815,4.8550024445148665e-08,6.74305908887618e-08
1816,1.1356259221884102e-07,5.0987285504788815e-08
1817,7.940054302935096e-08,7.940054302935096e-08
1818,7.27191817873063e-08,5.841376804482934e-08
1819,5.4860564646652676e-08,9.729986771844779e-08
1820,1.0323838495196469e-07,1.1273156985680544e-07
1821,4.2404398215012407e-08,6.212737702071536e-08
1822,3.0076847679083585e-08,7.719724237631453e-08
1823,1.1958050549765176e-07,8.795591099897138e-08
1824,1.962119187126632e-07,5.726356633317664e-08
1825,1.0742640199623565e-07,9.421824387345623e-08
1826,1.1626539020426208e-07,8.719904798226707e-08
1827,9.95465511688387e-08,8.940754980812926e-08
1828,9.172300963200541e-08,1.1740545602378916e-07
1829,1.0802202154991392e-07,5.486832677092934e-08
1830,9.28878407524536e-08,4.0703660886265425e-08
1831,1.4811645332457601e-07,8.263339168479433e-08
1832,1.569476495433264e-07,9.200379480489573e-08
1833,1.4016190164056752e-07,2.3746439126171026e-07
1834,9.427876079826092e-08,1.0361329572106115e-07
1835,8.621920244422654e-08,8.31939672707449e-08
1836,7.460032341866096e-08,6.317505096831155e-08
1837,1.029767844329399e-07,5.287997240088771e-08
1838,1.7674052799065976e-07,5.617824072601252e-08
1839,1.2864313703175867e-07,3.915226187700682e-08
1840,1.0509986053675036e-07,3.121147429396842e-08
1841,5.393260948949319e-08,5.264849889385914e-08
