year,les_DET arrières_NOUN,les_DET carrières_NOUN
1800,6.917161821107243e-08,1.9525261167885333e-06
1801,4.048010393553625e-08,1.5287191903468056e-06
1802,4.0281122437590966e-08,2.2803590695730236e-06
1803,8.581492494386112e-08,2.5100866523075638e-06
1804,4.2021466750696845e-08,1.9725370234979778e-06
1805,6.538618513296512e-08,1.3702670780268988e-06
1806,5.763338428721454e-08,1.6281430372799832e-06
1807,6.547996633798903e-08,2.6448214001106862e-06
1808,6.345007363961486e-08,2.182229279057424e-06
1809,4.743964066022954e-08,2.015055250659259e-06
1810,6.552355102940055e-08,1.9867675860041345e-06
1811,5.515568801683912e-08,2.965871722437896e-06
1812,1.0402112016194565e-07,2.912591423154254e-06
1813,1.0640243885973177e-07,2.162557677820587e-06
1814,1.888006266881348e-07,1.513551704857008e-06
1815,7.012781289006398e-08,1.639911896944568e-06
1816,9.733936323641501e-08,1.8494479192554536e-06
1817,1.0898113522728181e-07,1.7732787824797924e-06
1818,1.323250695683953e-07,1.5938613717736416e-06
1819,3.622867394970086e-08,1.4036024325037033e-06
1820,4.034603762193001e-08,1.186648070472529e-06
1821,2.2681422962023134e-08,2.69514478723476e-06
1822,6.015369535816717e-08,2.3359686025514748e-06
1823,4.34838209883992e-08,1.6197724352906562e-06
1824,5.642145417539268e-08,1.3709571895503814e-06
1825,6.516027806213742e-08,2.081606691461957e-06
1826,4.844391454650321e-08,1.8884318571110725e-06
1827,3.871254694587378e-08,1.9476097836701456e-06
1828,1.6510142586412258e-08,2.0536782390223607e-06
1829,2.743416338546467e-08,2.3447635566498093e-06
1830,3.026682549034376e-08,1.6605005441761023e-06
1831,9.35472388441383e-09,1.5653571219242934e-06
1832,5.141388381701972e-08,2.1255581765800002e-06
1833,5.6759779543114064e-08,2.5727239082451447e-06
1834,2.893704542650255e-08,2.1124043019238314e-06
1835,2.2689263801112247e-08,2.506407426494661e-06
1836,2.35226247369269e-08,1.914741684316823e-06
1837,3.478945309609571e-08,2.101978865631793e-06
1838,3.850418650586107e-08,2.0792260997382073e-06
1839,1.8876982199600434e-08,2.142188019860214e-06
1840,1.5924221219432155e-08,1.9306526638507293e-06
1841,2.760835782211757e-08,2.260675030285597e-06
1842,1.609983657502312e-08,1.885022479442e-06
1843,1.358589518662967e-08,1.9315599359970292e-06
