year,as_VERB osé_VERB,as_VERB causé_VERB
1800,5.345079756580162e-08,3.144164484325529e-09
1801,1.6668277424969347e-08,2.1430643926123594e-08
1802,8.727576528144709e-08,1.1189200677108602e-08
1803,3.315576790896557e-08,5.851017448321727e-09
1804,5.9324420931261557e-08,0.0
1805,7.675770063997334e-08,4.264316544322355e-08
1806,1.729001475325731e-08,5.76333825108577e-09
1807,1.7081731584767113e-08,2.8469551160981155e-09
1808,3.172503681980743e-08,1.1330369531492579e-08
1809,4.743964154840796e-08,9.036122072814123e-09
1810,4.680253340438867e-08,7.020380277111826e-09
1811,4.011322829455821e-08,2.5070767684098882e-09
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,1.1502966579257645e-08,2.8757416448144113e-09
1814,8.496028414128887e-08,3.776012391654149e-08
1815,2.4275012222574333e-08,2.4275012222574333e-08
1816,2.7811246638975717e-08,2.0858434979231788e-08
1817,3.113746771532533e-08,1.5568733857662664e-08
1818,1.3113295338484932e-08,3.5763532135746345e-09
1819,2.3807414706311647e-08,2.070209959015301e-08
1820,6.051905643289501e-08,1.3053129244156025e-08
1821,7.790576006527772e-08,8.875339574387908e-09
1822,9.123310462655354e-08,1.5038423839541792e-08
1823,6.621399961659336e-08,3.9530747564242574e-09
1824,6.231623217445303e-08,3.3684450784221553e-09
1825,5.987701001686219e-08,4.4027217427355936e-09
1826,2.290075862276808e-08,1.3211976401805714e-08
1827,3.3182182335167454e-08,1.8434546111834038e-09
1828,2.2930752408001354e-08,2.0179061976932644e-08
1829,3.943661042171698e-08,1.457439946506156e-08
1830,8.34946831673733e-08,9.39315203396518e-09
1831,3.897801548191637e-08,0.0
1832,2.841293600397421e-08,1.3529969367098715e-09
1833,3.01174338801502e-08,2.20088942626262e-08
1834,4.760610750054184e-08,5.600718555598405e-09
1835,7.411826175030001e-08,3.781543966852041e-09
1836,7.123995260371885e-08,4.032449929525228e-09
1837,4.0355768504696243e-08,1.6003149028165353e-08
1838,4.229148586887277e-08,6.943378316748294e-09
1839,3.0063343814390464e-08,6.9914749545318955e-09
1840,4.33138822586443e-08,5.095750932326837e-09
1841,4.8154113585496816e-08,1.4767261191650505e-08
1842,3.4882980060046975e-08,4.024959032733477e-09
1843,3.4260082770742883e-08,3.5441467538532834e-09
1844,4.006649589882727e-08,1.1525978393933656e-08
1845,3.459741293454499e-08,1.4508592549589139e-08
1846,3.1614305839866574e-08,1.2879903366069811e-08
1847,1.6179670936367074e-08,1.0786447290911383e-08
1848,3.218088551193432e-08,1.367687652020777e-08
1849,2.011059585527164e-08,1.0893239199560867e-08
1850,2.4440385715251978e-08,4.073397619208663e-09
1851,2.4507867735223954e-08,1.2253933867611977e-08
1852,2.4740073101270355e-08,3.2552727180501506e-09
1853,3.4040009921909586e-08,1.6124216628554677e-08
1854,2.4419623656513068e-08,8.313063126763609e-09
1855,2.865746040470185e-08,1.0083180512765466e-08
1856,3.4169449492083004e-08,8.28350277259915e-09
1857,3.124165814938351e-08,1.2691923956253959e-08
1858,3.474509924217273e-08,1.663849857891364e-08
1859,3.8700516569178944e-08,1.171199848215565e-08
1860,5.034902272882391e-08,1.6935580049448618e-08
1861,4.008569121083383e-08,1.839225838295988e-08
1862,2.801151488540654e-08,2.1234535907410645e-08
1863,3.596127129412707e-08,8.990317823531768e-09
1864,3.691940619887646e-08,8.63051052846231e-09
1865,3.577201823645737e-08,9.88437331983505e-09
1866,3.2113046444237625e-08,2.3354942868536455e-08
1867,5.095451882652924e-08,1.552899675516528e-08
1868,1.5807597009143137e-08,9.87974857480367e-09
1869,4.5905078849273195e-08,1.1720445947105418e-08
1870,2.5229814681893004e-08,1.4335121534259088e-08
