year,auriez_VERB assez_ADV,auriez_VERB cassé_VERB
1800,3.144164484325529e-09,0.0
1801,9.524730337773235e-09,0.0
1802,8.951360541686881e-09,0.0
1803,1.3652374342143503e-08,0.0
1804,9.887403784603066e-09,1.2359254952798437e-08
1805,0.0,0.0
1806,4.034336598124355e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,9.064295980465431e-09,0.0
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,9.440030979135372e-09,0.0
1815,1.3486118000116676e-08,0.0
1816,9.270415546325239e-09,0.0
1817,3.113746771532533e-08,0.0
1818,1.7881765401739358e-08,0.0
1819,6.210630232317271e-09,0.0
1820,1.779972080839798e-08,0.0
1821,1.8736827200882544e-08,0.0
1822,1.303330066093622e-08,1.0025615893027862e-09
1823,2.9648060007048116e-08,0.0
1824,4.463189640091514e-08,8.421112696055388e-10
1825,1.4969252504215547e-08,0.0
1826,1.4092774947016551e-08,8.807984341885344e-10
1827,1.6591091167583727e-08,0.0
1828,3.668920500743411e-09,0.0
1829,4.286587973467704e-09,0.0
1830,8.349468672008697e-09,0.0
1831,2.0268567268999504e-08,0.0
1832,3.3824925083081325e-08,0.0
1833,6.950177322551099e-09,0.0
1834,2.333632664885954e-08,0.0
1835,6.050470346963266e-09,0.0
1836,1.2097349788575684e-08,0.0
1837,6.262101948095733e-09,6.957890930081589e-10
1838,5.680945491803868e-09,0.0
1839,1.5381244722334486e-08,0.0
1840,1.3376346252869098e-08,0.0
1841,8.988767952189392e-09,0.0
1842,3.3541325272778977e-09,0.0
1843,9.451057714215949e-09,0.0
1844,1.4819115712327857e-08,0.0
1845,1.0044410636567136e-08,0.0
1846,2.3418005312692003e-09,0.0
1847,1.240441438454809e-08,0.0
1848,1.769948809737798e-08,8.045221711050488e-10
1849,0.0,8.379414939696517e-10
1850,1.6293590476834652e-08,0.0
1851,1.9993260380601896e-08,6.449438760824933e-10
1852,5.208436348880241e-09,0.0
1853,1.0152284346531815e-08,0.0
1854,8.313063126763609e-09,0.0
1855,7.429711956774554e-09,0.0
1856,1.3978411317339123e-08,0.0
1857,1.3668225662399891e-08,0.0
1858,1.4191660291373864e-08,9.787352039936081e-10
1859,2.036869339860914e-09,0.0
1860,1.7393299245327398e-08,2.288591982591015e-09
1861,1.131831339762357e-08,5.187560159214399e-09
1862,9.487771457372673e-09,0.0
1863,5.9935452156878455e-09,0.0
1864,5.274200631788517e-09,0.0
1865,4.706844247692743e-09,0.0
1866,1.0217787504984699e-08,1.9462451650298362e-09
1867,8.249779526181555e-09,0.0
1868,5.9278488784286765e-09,0.0
1869,8.790334682373668e-09,0.0
1870,9.17447806614291e-09,0.0
1871,1.3807530230280918e-08,0.0
1872,3.628403577593531e-09,0.0
1873,1.0774807712721213e-08,0.0
1874,8.961913877669758e-09,0.0
1875,2.4030413214859436e-08,0.0
1876,1.813804439976252e-09,0.0
1877,5.566334504436554e-09,0.0
1878,1.8117265465633636e-09,0.0
1879,3.665595160740054e-09,0.0
1880,1.6686399817444908e-08,1.2835692508872398e-09
1881,6.9725074602899895e-09,4.183504653809678e-09
1882,5.989846840748214e-09,0.0
1883,3.791603475633565e-09,0.0
1884,1.0562715146988921e-08,0.0
1885,5.80107206715752e-09,0.0
1886,3.872078213618124e-09,0.0
1887,7.1818169189441505e-09,0.0
1888,2.1558090423923204e-08,0.0
1889,8.771191772893872e-09,0.0
1890,1.9663159989136147e-09,0.0
1891,5.099376032546843e-09,0.0
1892,3.761107425503951e-09,0.0
1893,1.539604177480669e-08,0.0
1894,1.8904617871129403e-09,0.0
1895,3.611168697403855e-09,6.018614495673091e-10
1896,1.7691086373616827e-09,0.0
1897,4.078699600285063e-09,0.0
1898,1.1882545614128048e-08,0.0
1899,3.3165470370022376e-09,0.0
1900,8.30568502863116e-09,0.0
1901,4.470991132876634e-09,0.0
1902,8.347482705062248e-09,9.820567692386817e-10
1903,1.5120615870500842e-08,0.0
1904,1.1286712897629059e-08,0.0
1905,1.0321518084666081e-09,0.0
1906,6.173021205313489e-09,0.0
1907,1.028568674676933e-09,0.0
1908,6.384805573134145e-09,0.0
1909,9.351672325408344e-09,0.0
1910,5.878565634276356e-09,0.0
1911,6.384448969498635e-09,0.0
1912,6.251305251225858e-09,0.0
1913,6.363587878865928e-09,0.0
1914,4.018046340092951e-09,0.0
1915,1.1780761921542648e-09,0.0
1916,0.0,0.0
1917,1.0966424435210342e-09,0.0
1918,8.040463406189247e-09,0.0
1919,9.207848372660976e-10,0.0
1920,2.2716695191604686e-09,0.0
1921,4.543648568500203e-09,0.0
1922,2.2133805899215986e-09,0.0
1923,8.492758496458919e-09,0.0
1924,2.578324886925998e-09,0.0
1925,4.399271169575059e-09,0.0
1926,2.229227691330493e-09,0.0
1927,1.0034302277972529e-08,0.0
1928,7.998228745975666e-09,0.0
1929,6.684243825105796e-09,2.2280812750352652e-09
1930,4.201441416995522e-09,0.0
1931,1.1405356659111021e-09,0.0
1932,5.4797681947604815e-09,0.0
1933,9.176529758292418e-09,0.0
1934,3.5944740517379614e-09,0.0
