year,seuls_ADJ arts_NOUN
1800,2.2009151834367913e-08
1801,7.143547975374531e-09
1802,4.475680270843441e-09
1803,1.950339267864365e-08
1804,0.0
1805,2.55858996212055e-08
1806,3.7461699520235925e-08
1807,3.9857372513552036e-08
1808,0.0
1809,2.0331274441787173e-08
1810,0.0
1811,1.2535384286138651e-08
1812,0.0
1813,8.627225156487839e-09
1814,0.0
1815,2.966945977789237e-08
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,3.5763530803478716e-08
1819,0.0
1820,0.0
1821,5.9168927535324656e-09
1822,4.010246357211145e-09
1823,3.9530747564242574e-09
1824,3.3684450784221553e-09
1825,7.924898959288385e-09
1826,2.642395191543301e-09
1827,1.8434546111834038e-09
1828,9.172301251858528e-10
1829,0.0
1830,1.3567886369969528e-08
1831,0.0
1832,0.0
1833,1.0425265983826648e-08
1834,1.4935249481595747e-08
1835,3.781543966852041e-09
1836,8.064899859050456e-09
1837,1.2524203896191466e-08
1838,7.574594285131298e-09
1839,6.9914751765765e-10
1840,3.821813088222825e-09
1841,7.704658244733764e-09
1842,4.024959032733477e-09
1843,4.134837805480629e-09
1844,2.195424508855126e-09
1845,5.580227946389016e-10
1846,7.610851504580296e-09
1847,5.9325460100012606e-09
1848,0.0
1849,8.379414939696517e-10
1850,0.0
1851,1.2898877521649865e-09
1852,7.812654523320361e-09
1853,2.448492075757258e-08
1854,1.9743524148907454e-08
1855,5.837630823180007e-09
1856,1.4496129630003907e-08
1857,0.0
1858,3.4255731584664773e-09
1859,3.5645213447565993e-09
1860,1.373155189554609e-08
1861,1.8863854922557266e-09
1862,1.445755604123633e-08
1863,8.990317823531768e-09
1864,6.233146443435089e-09
1865,9.41368871743009e-10
1866,4.379051787850585e-09
1867,3.88224918879132e-09
1868,4.93987406535723e-10
1869,6.348574999037737e-09
1870,8.601073631098188e-09
1871,0.0
1872,3.0236697590169115e-09
1873,4.190203295451056e-09
1874,0.0
1875,5.149374260327022e-09
1876,6.04601479992084e-10
1877,6.80329748092845e-09
1878,2.4156354694326865e-09
1879,7.331190321480108e-09
1880,2.5671385017744797e-09
1881,0.0
