year,deux_DET oeufs_NOUN,deux_DET queues_NOUN
1800,1.792173778270012e-07,1.6349655140857067e-07
1801,1.5239568051939045e-07,2.404994461358001e-07
1802,1.1636768704192946e-07,1.656001700212073e-07
1803,7.118738443168127e-07,1.8138155155611457e-07
1804,1.8786066657838774e-07,1.0134588990240445e-07
1805,2.5585899399160894e-08,3.553597025529598e-07
1806,2.305335300434308e-08,4.3225035994964855e-08
1807,3.701041606518629e-08,1.1387820109121094e-07
1808,3.3991110370834576e-08,1.1556977064230978e-07
1809,2.710836710662079e-08,1.1069249694628525e-07
1810,2.8081521108447305e-08,1.5444837231370911e-07
1811,1.2535384286138651e-08,1.3036799373367103e-07
1812,2.6672082320544632e-09,2.90725694185312e-07
1813,4.3136124450171565e-08,6.039057609541487e-08
1814,1.2586708564299443e-08,1.5733386149463513e-08
1815,4.0458352890127e-08,5.9338919333740137e-08
1816,1.622322720606917e-08,1.274682119856152e-07
1817,9.029865566390072e-08,7.628679554727569e-08
1818,1.2517236314124602e-07,6.914282835168706e-08
1819,4.140420006848444e-09,2.5670604486549564e-07
1820,2.3732963150280284e-08,1.6375743427943235e-07
1821,1.7750679148775816e-08,6.508582117703554e-08
1822,1.1028177482330648e-08,1.5539704634193185e-07
1823,4.644862983127496e-08,1.3440454438296e-07
1824,1.0947446504872005e-08,1.9536981987755553e-07
1825,2.905796137042671e-08,1.4176762874740234e-07
1826,2.9947145208097936e-08,1.814444772207935e-07
1827,1.3825909916942436e-08,1.8065854590076924e-07
1828,1.9261833017480967e-08,1.5501188954658573e-07
1829,1.2002446148073886e-08,1.534598443875268e-07
1830,1.2524203230057651e-08,2.494403892328023e-07
1831,2.494592976631793e-08,7.795602696702986e-08
1832,5.411987746839486e-09,2.2053849502157163e-07
1833,1.7375443306377747e-08,1.4016190164056752e-07
1834,1.120143711119681e-08,9.334530659543816e-08
1835,2.3445572594482655e-08,1.187404805591541e-07
1836,1.7473950453261722e-08,1.1089237261785456e-07
1837,9.74104708006962e-09,1.5376938633515636e-07
1838,1.009945904684173e-08,1.3318661729044834e-07
1839,1.5381245721535208e-08,1.775834732598014e-07
1840,1.7198159785181133e-08,1.2420893114040155e-07
1841,1.4767261635739715e-08,1.0080261025890991e-07
1842,1.0062397581833693e-08,1.1605298766426131e-07
1843,7.088293230150811e-09,6.556670939517062e-08
1844,1.591682791124427e-08,1.427025893008249e-07
1845,6.696273757711424e-09,6.41726245476093e-08
1846,1.1123552079439492e-08,6.381406336686268e-08
1847,7.011190739092399e-09,5.8786137735467037e-08
1848,1.0458788002321029e-08,1.1343762906790289e-07
1849,1.5920887719289567e-08,6.200767188602185e-08
1850,1.5614690873633208e-08,1.262753244191117e-07
1851,1.3543821175687754e-08,5.997978291816253e-08
