year,des_DET arts_NOUN,des_DET quarts_NOUN
1800,4.483578486258466e-06,1.4463157071986643e-07
1801,3.931332472006943e-06,1.9287578822968499e-07
1802,4.428685599577875e-06,1.879785713754245e-07
1803,3.526213344429152e-06,3.120542828582984e-07
1804,3.3913795363105237e-06,1.2112069214254007e-07
1805,3.223823284770333e-06,2.3311596919484145e-07
1806,3.5992048168509427e-06,1.440834500598953e-07
1807,4.011359820310645e-06,1.1387820109121094e-07
1808,3.7050310908171014e-06,1.2690014727922971e-07
1809,3.1671608553551778e-06,1.9201759471343394e-07
1810,3.896311042694833e-06,3.627196338840122e-07
1811,3.387060658610608e-06,1.5293167621166504e-07
1812,3.6300704806535578e-06,1.6536691305191198e-07
1813,3.255339500185528e-06,5.751483311833283e-08
1814,3.2410774721824964e-06,3.241077397575509e-07
1815,3.331071116718931e-06,8.361392977995763e-08
1816,3.1287652859646187e-06,1.2746820843290152e-07
1817,3.2118297426109166e-06,2.926921922608017e-07
1818,2.9159198788875074e-06,1.0729059574110522e-07
1819,2.927277048314636e-06,2.1840715191956406e-07
1820,2.876435104326447e-06,1.044250339532482e-07
1821,2.9022359342434356e-06,1.0946252082533192e-07
1822,3.4929246055526164e-06,1.4938167680611514e-07
1823,2.9173692723816202e-06,1.0574475273195105e-07
1824,2.833704328963904e-06,8.33690139145915e-08
1825,3.2941162402266855e-06,1.461703531546732e-07
1826,2.9453898733322603e-06,1.0481501078185573e-07
1827,3.0260306473905985e-06,2.1568418995254746e-07
1828,2.8287376423463684e-06,1.3391559594566615e-07
1829,3.052907935341409e-06,7.630126930280312e-08
1830,2.933794661430511e-06,1.1689256496083544e-07
1831,2.5101842915375983e-06,1.3252525432605466e-07
1832,2.9278854398739895e-06,2.93600344036804e-07
1833,3.0430191131358697e-06,1.447953543731728e-07
1834,2.6426057289086202e-06,1.577535733154889e-07
1835,2.160017992025587e-06,1.1117739262545001e-07
1836,2.150639986098213e-06,1.5457725055512128e-07
1837,2.4992744016572033e-06,1.2315467479151465e-07
1838,2.1499224018839413e-06,1.2813688643475984e-07
1839,2.275725186962063e-06,1.4052864649727326e-07
1840,2.2172886460225527e-06,1.267568032758959e-07
1841,2.300482588424302e-06,1.9133235262813741e-07
1842,2.4116211712055247e-06,1.2343207478338059e-07
1843,2.311964927059762e-06,1.588959084308783e-07
1844,1.9797239900753993e-06,9.165897152385583e-08
1845,1.9748427249055567e-06,1.1383665177167046e-07
1846,2.3014045282820916e-06,1.5924244323173298e-07
1847,2.3638499619949016e-06,1.4885297616729076e-07
