year,dix_DET couverts_NOUN
1800,3.144164484325529e-09
1801,4.0480102825313224e-08
1802,6.713520406265161e-09
1803,1.950339267864365e-08
1804,3.9549615138412264e-08
1805,3.695740957709859e-08
1806,2.881669125542885e-09
1807,4.555128185756985e-08
1808,4.5321479902327155e-09
1809,9.036122072814123e-09
1810,4.680253518074551e-09
1811,1.7549536934780008e-08
1812,4.267533171287141e-08
1813,8.627225156487839e-09
1814,2.2026739543434815e-08
1815,8.091670444798638e-09
1816,4.6352077731626196e-09
1817,1.0898113522728181e-08
1818,3.5763532135746345e-09
1819,8.280840013696888e-09
1820,2.3732962262101864e-09
1821,2.3667572568442097e-08
1822,2.90742860897808e-08
1823,4.941343334508019e-09
1824,3.3684450784221553e-09
1825,1.584979747448756e-08
1826,3.082794364228647e-08
1827,3.96342727526644e-08
1828,1.1006761724274838e-08
1829,1.714635172733736e-08
1830,1.669893667788358e-08
1831,4.677361609140007e-09
1832,8.117981842303834e-09
1833,9.266902800675325e-09
1834,1.4935249481595747e-08
1835,9.832014313815307e-09
1836,3.3603750337896088e-09
1837,1.0436836284100082e-08
1838,1.8936485712828244e-09
1839,4.894032734625853e-09
1840,1.1465439264668476e-08
1841,5.778493683550323e-09
1842,1.0062397137744483e-08
1843,8.269675610961258e-09
1844,6.037417232818143e-09
1845,3.9061593959388574e-09
1846,1.6978053851701702e-08
1847,8.089835468183537e-09
1848,2.333114323960217e-08
1849,2.0948537127196687e-08
1850,7.467895635215882e-09
1851,1.1608989769484879e-08
1852,7.161600201754936e-09
1853,1.2541057081705276e-08
1854,1.9223959313308114e-08
1855,1.1144567935161831e-08
1856,1.9673318973900678e-08
1857,3.7099469329948676e-08
1858,1.6149130865894534e-08
1859,1.6294954496842706e-08
1860,9.154368096897514e-09
1861,1.3204698667834691e-08
1862,1.445755648532554e-08
1863,1.2986014596982898e-08
1864,1.0068928579798353e-08
1865,8.001635354304426e-09
1866,1.1190909532388105e-08
1867,1.6984840200962026e-08
1868,1.2349685052370774e-08
1869,2.4417596389270102e-08
1870,1.490852685748223e-08
1871,1.593176635061866e-08
1872,1.3304146118109372e-08
1873,4.190203295451056e-09
1874,1.4339061937818087e-08
1875,1.0870901845372316e-08
1876,4.836811839936672e-09
1877,6.184816214727107e-09
1878,8.454723920969798e-09
1879,1.8938908663557186e-08
1880,7.701415505323439e-09
1881,9.761510710859511e-09
1882,1.0648616211028639e-08
1883,1.2638677659992936e-08
1884,2.5746619058963915e-08
1885,2.0626034213933053e-08
1886,1.4842966855610484e-08
1887,3.0685946228459215e-08
1888,5.706553229956057e-09
1889,3.759082101151279e-09
1890,1.4419650640196124e-08
1891,7.649063604731055e-09
1892,8.149066310636499e-09
1893,5.542574843531156e-09
1894,7.561847370496366e-09
1895,2.4074457982692365e-09
1896,2.0049897742069334e-08
1897,9.322741689743452e-09
1898,1.1316709347397591e-08
1899,1.713549302451156e-08
1900,1.6611370612373833e-08
1901,5.029864968975062e-09
1902,1.2275709337927765e-08
1903,5.940242076007962e-09
1904,6.449550227216605e-09
1905,8.257214467732865e-09
1906,1.2860461140462576e-08
1907,1.131425531042396e-08
1908,5.40252820258047e-09
1909,1.7053048750881317e-08
1910,1.6032451588543495e-08
1911,1.4365010514438836e-08
1912,7.814131564032323e-09
1913,4.772690687104841e-09
1914,1.875088173619588e-08
1915,2.0027295377644805e-08
1916,0.0
1917,5.483212106582869e-09
1918,8.040463406189247e-09
1919,1.2890987832747669e-08
1920,6.057785384427916e-09
1921,1.5145494858259667e-09
1922,5.1645547283207804e-09
1923,7.431163684401554e-09
1924,2.836157442231979e-08
1925,7.698724324711748e-09
1926,1.114613823460786e-08
1927,1.1149224654616319e-08
1928,5.713020723163709e-09
1929,1.2254447234738564e-08
1930,5.2518016602221e-09
1931,4.5621426636444085e-09
1932,6.575722188983946e-09
1933,9.176529758292418e-09
1934,2.3963160344919743e-08
1935,1.196828414151696e-08
1936,9.699771652549316e-09
1937,1.2591118148108649e-09
1938,1.2965214679638848e-08
1939,1.070583532936098e-08
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,0.0
1943,5.806470415592457e-09
1944,0.0
1945,2.6142048525912287e-08
1946,1.2528993842408909e-08
1947,5.960435700558264e-09
1948,7.610321262063735e-09
1949,6.8719057111366055e-09
1950,1.0635361036293034e-08
1951,3.1984206394497505e-09
1952,3.1634410646574906e-09
1953,1.4005975934594517e-08
1954,6.840775057526116e-09
1955,4.6928039232341234e-09
1956,7.849027205963921e-09
1957,6.184526224473075e-09
1958,1.1581140491045971e-08
1959,1.5501495642666896e-09
1960,8.997083078554624e-09
1961,3.47407969059077e-09
1962,1.0147130247162295e-08
1963,9.052474325699222e-09
1964,4.8671746077921796e-09
1965,3.830430195250756e-09
1966,9.970334780007306e-09
1967,6.409436092980059e-09
1968,8.084548530629121e-09
1969,4.087581995104728e-09
1970,6.438214850135182e-09
1971,5.652237344833111e-09
1972,7.69522046084603e-09
1973,9.372446041489013e-09
1974,5.625571564138454e-09
1975,7.4249242310031605e-09
1976,3.999468700666142e-09
1977,1.7630346071939584e-09
1978,4.158414057542359e-09
1979,7.022368020415115e-09
1980,1.0233271119375331e-08
1981,3.795329661659963e-09
1982,7.449002747961231e-09
1983,3.78918940668882e-09
1984,2.8995041922996734e-09
1985,6.015557829641693e-09
1986,1.3787316177626963e-08
1987,4.888653482026939e-09
1988,7.795520118314414e-09
1989,7.683370939481904e-09
1990,9.262706657242603e-09
1991,4.689171995142516e-09
1992,4.4079553340736766e-09
1993,7.200969598386564e-09
1994,6.329912094482637e-09
1995,3.795715741716776e-09
1996,4.804283193493575e-09
1997,3.3564262480467733e-09
1998,2.3840645013706308e-09
1999,5.484241505371301e-09
2000,5.7434407230161355e-09
2001,1.0514908582726079e-08
2002,1.3143664545633982e-08
2003,3.333538334260311e-09
2004,1.1011977996133737e-08
2005,4.053374635937246e-09
2006,2.4707338397433887e-09
2007,5.192823504529542e-09
2008,5.5346713878634546e-09
2009,6.198650481792356e-09
2010,9.919964960580785e-09
2011,9.942326933964907e-09
2012,1.1234034147378225e-08
2013,8.367374848550213e-09
2014,1.2559581735738234e-08
2015,1.041790459455072e-08
2016,1.3670844289936923e-08
2017,9.559323110863716e-09
2018,1.2391039860837338e-08
2019,7.397864432157064e-09
