year,bois_NOUN ouverts_ADJ,bois_NOUN couverts_ADJ
1800,0.0,2.5153315874604232e-08
1801,0.0,9.524730337773235e-09
1802,1.3427040812530322e-08,1.7902721083373763e-08
1803,7.801356893821776e-09,1.1702034896643454e-08
1804,0.0,2.7190360185613827e-08
1805,0.0,4.5486043376286034e-08
1806,2.881669125542885e-09,1.729001475325731e-08
1807,5.693910232196231e-09,8.540865792383556e-09
1808,1.5862518409903714e-08,2.2660739951163578e-09
1809,0.0,2.25903047379461e-08
1810,0.0,3.042164919975221e-08
1811,0.0,4.763445815569867e-08
1812,1.600324850414836e-08,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,3.776112933451259e-08
1816,0.0,1.1588019432906549e-08
1817,0.0,1.0898113522728181e-08
1818,0.0,1.668964877410417e-08
1819,0.0,1.8631890696951814e-08
1820,0.0,3.678609061807947e-08
1821,3.94459531705138e-09,8.875339574387908e-09
1822,0.0,3.107940926838637e-08
1823,0.0,5.336650943377208e-08
1824,0.0,1.2631669044083083e-08
1825,5.283265824829186e-09,2.289415235168235e-08
1826,1.0569580766173203e-08,3.8755132436563144e-08
1827,2.7651818612639545e-09,5.346018383534101e-08
1828,1.8344602503717056e-09,1.2841221419535032e-08
1829,2.571952872898464e-09,4.715246859632316e-08
1830,0.0,3.444155893816969e-08
1831,3.1182412207897414e-09,2.494592976631793e-08
1832,1.3529969367098715e-09,2.841293600397421e-08
1833,1.1583628500844156e-09,2.20088942626262e-08
1834,0.0,8.401078055442213e-09
1835,0.0,2.2689263801112247e-08
1836,0.0,2.419469957715137e-08
1837,2.7831563720326358e-09,1.3219993100221927e-08
1838,3.1560809521380406e-09,3.850418650586107e-08
1839,0.0,3.4957377437194737e-08
1840,0.0,1.2102408297742784e-08
1841,1.2841097074556274e-09,8.988767952189392e-09
1842,6.708265054555795e-10,6.77534757187459e-08
1843,2.953455480181333e-09,2.185557090861323e-08
1844,0.0,1.866110821424627e-08
1845,5.580227946389016e-10,1.4508592549589139e-08
1846,3.5127007969038004e-09,1.2294452789163302e-08
1847,5.393223645455691e-10,1.5640349459999925e-08
1848,0.0,1.528592186161859e-08
1849,1.6758829879393033e-09,2.4300303991253713e-08
1850,6.788996032014438e-10,1.0183494048021657e-08
1851,0.0,2.192809134271556e-08
1852,0.0,2.4740073101270355e-08
1853,0.0,2.388772735173461e-08
1854,1.0391328908454511e-09,2.8576155219894872e-08
1855,0.0,1.1675261646360013e-08
1856,5.177189232874468e-10,1.449613024062657e-08
1857,0.0,6.150701459262109e-08
1858,0.0,4.257498176230001e-08
1859,2.036869339860914e-09,4.379269036292044e-08
1860,4.577183909670879e-10,3.387115943276342e-08
1861,1.4147891747029462e-09,1.5091083938045813e-08
1862,4.517986262886353e-10,1.4005757470458846e-08
1863,3.995696662428827e-09,1.8979559812670743e-08
1864,4.794728170054441e-09,1.1507347075223606e-08
1865,9.41368871743009e-10,1.553258677233771e-08
1866,9.731225825149181e-10,1.8002767832037136e-08
1867,0.0,2.9602150064533816e-08
1868,1.975949626142892e-09,1.9265508743870896e-08
1869,0.0,2.783605923539767e-08
1870,1.1468097582678638e-09,3.7844721578750296e-08
1871,0.0,2.9739295692721157e-08
1872,6.047339295989218e-10,5.2611850875905475e-08
1873,0.0,3.471882759065181e-08
1874,0.0,1.3741600912720031e-08
1875,2.2886108563824337e-09,2.2886108119735127e-08
1876,1.813804439976252e-09,1.874264610179921e-08
1877,5.566334504436554e-09,2.7831672189115864e-08
1878,0.0,2.4156353806148445e-08
1879,6.109325489944695e-09,3.237942414191508e-08
1880,6.417846254436199e-10,4.171600220814753e-08
1881,0.0,3.346803723047742e-08
1882,0.0,1.3310770263785798e-08
1883,0.0,2.1485752732530727e-08
1884,0.0,3.234831513765357e-08
1885,3.86738152613475e-09,5.092052113297996e-08
1886,6.453463874400711e-10,1.355227396970804e-08
1887,0.0,2.6768591787629248e-08
1888,4.4384300679212174e-09,3.614150223540946e-08
1889,3.759081934617825e-09,4.573549894359985e-08
1890,2.6217545912032847e-09,2.8839299837102317e-08
1891,6.374220040683554e-10,7.967774839912067e-08
1892,6.268512375839919e-10,3.3223115813996174e-08
