year,voulais_VERB ouvrir_VERB,voulais_VERB couvrir_VERB
1800,3.144164484325529e-09,9.432493897065797e-09
1801,7.143547975374531e-09,7.143547975374531e-09
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,4.6352077731626196e-09
1817,6.227493631882908e-09,1.556873407970727e-09
1818,0.0,7.152706427149269e-09
1819,1.035105001712111e-09,0.0
1820,0.0,0.0
1821,4.930744257336528e-09,0.0
1822,0.0,0.0
1823,8.894418535021487e-09,9.882686891060644e-10
1824,4.210556348027694e-09,4.210556348027694e-09
1825,2.641632912414593e-09,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,9.172301251858528e-10,0.0
1829,8.57317605795771e-10,0.0
1830,5.218417697960831e-09,0.0
1831,6.236482441579483e-09,3.1182412207897414e-09
1832,9.470978667991403e-09,2.705993873419743e-09
1833,4.6334514003376626e-09,0.0
1834,9.334531370086552e-09,0.0
1835,8.31939672707449e-09,0.0
1836,3.36037508930076e-09,6.720750067579218e-10
1837,9.74104708006962e-09,2.0873671680021744e-09
1838,3.787297142565649e-09,1.2624323808552163e-09
1839,2.7965900706306e-09,2.0974426639952526e-09
1840,5.732719632334238e-09,0.0
1841,5.1364388298225094e-09,6.420548537278137e-10
1842,6.037438549100216e-09,1.341653010911159e-09
1843,2.953455480181333e-09,0.0
1844,7.1351298203126134e-09,0.0
1845,2.7901139176833567e-09,0.0
1846,0.0,5.854501328173001e-10
1847,0.0,1.6179670936367074e-09
1848,8.045221711050488e-10,8.045221711050488e-10
1849,2.513824481908955e-09,5.865590679832167e-09
1850,4.752297222410107e-09,1.3577992064028876e-09
1851,9.029214709244116e-09,1.2898877521649865e-09
1852,0.0,0.0
1853,0.0,0.0
1854,5.195664454227256e-10,0.0
1855,3.1841622671890946e-09,0.0
1856,4.659470143053568e-09,0.0
1857,3.905207268672939e-09,4.881509085841174e-10
1858,8.808616946964776e-09,4.893676019968041e-10
1859,0.0,2.036869339860914e-09
1860,1.0985241161165504e-08,0.0
1861,4.715963619617014e-09,1.8863854922557266e-09
1862,1.8071945051545413e-09,0.0
1863,1.9978483312144135e-09,9.989241656072068e-10
1864,9.109982990196386e-09,0.0
1865,2.3534221238463715e-09,9.41368871743009e-10
1866,7.298419202328432e-09,0.0
1867,1.455843445796745e-09,0.0
1868,9.87974813071446e-10,0.0
1869,5.371870948067681e-09,4.883519144627257e-10
1870,6.880858549607183e-09,0.0
1871,1.0621177271019633e-09,0.0
1872,2.4189357183956872e-09,8.4662747923403e-09
1873,1.3767810003173508e-08,3.591602570907071e-09
1874,3.5847653734322193e-09,7.169530746864439e-09
1875,7.437985338754061e-09,2.2886108563824337e-09
1876,2.418405919968336e-09,6.04601479992084e-10
1877,1.2369631985365004e-09,6.184815992682502e-10
1878,0.0,0.0
1879,7.331190321480108e-09,0.0
1880,6.417846254436199e-10,0.0
1881,2.091752326904839e-09,0.0
1882,1.9966155395678697e-09,0.0
1883,0.0,1.8958017378167824e-09
1884,6.601696966868076e-09,0.0
1885,3.86738152613475e-09,0.0
1886,1.2906927748801422e-09,1.2906927748801422e-09
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,6.265136742733546e-10
1890,6.554386478008212e-10,2.6217545912032847e-09
1891,1.529812720946211e-08,0.0
1892,6.268512375839919e-10,8.775916882086676e-09
1893,4.310891643655168e-09,4.310891643655168e-09
1894,2.520615716150587e-09,3.780923574225881e-09
1895,0.0,0.0
1896,5.89702897624278e-10,0.0
1897,5.826713556089658e-10,0.0
1898,1.6975064687230201e-09,5.6583548957434e-10
1899,0.0,1.1055156790007459e-09
1900,2.595526460424935e-09,0.0
1901,2.794369402536745e-09,0.0
1902,9.820567692386817e-10,0.0
1903,2.1600881083827517e-09,0.0
1904,4.837162670412454e-09,5.374625189347171e-10
1905,1.0321518084666081e-09,0.0
1906,1.5432553013283723e-09,2.572092316910357e-09
1907,1.028568674676933e-09,0.0
1908,5.40252820258047e-09,9.822778146428846e-10
1909,5.500983557560346e-10,5.500983557560346e-10
1910,5.344150677544235e-10,0.0
1911,5.320374141248863e-10,0.0
1912,1.0418842455450772e-09,1.5628263128064646e-09
1913,1.590896969716482e-09,4.772690687104841e-09
1914,6.696743715117748e-10,1.3393487430235496e-09
1915,3.534228465440492e-09,9.424609537234119e-09
1916,0.0,0.0
1917,2.1932848870420685e-09,0.0
1918,0.0,0.0
1919,0.0,8.287063479883727e-09
1920,2.2716695191604686e-09,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,6.369568872344189e-09,0.0
1924,2.578324886925998e-09,0.0
1925,6.598906754362588e-09,2.1996355847875293e-09
1926,3.343841648018042e-09,0.0
1927,0.0,6.689535148041159e-09
1928,1.1426041224282812e-09,3.4278122562625413e-09
1929,1.1140406375176326e-09,0.0
1930,1.0503603542488804e-09,1.0503603542488804e-09
1931,0.0,3.4216069977333063e-09
1932,0.0,1.0959536611565568e-09
1933,4.588264879146209e-09,2.2941324395731044e-09
1934,0.0,3.5944740517379614e-09
1935,7.180970484910176e-09,1.196828414151696e-09
1936,2.424942913137329e-09,2.424942913137329e-09
1937,0.0,1.2591118148108649e-09
1938,1.2965214457594243e-09,0.0
1939,0.0,0.0
1940,1.0143131667916805e-08,2.5357829169792012e-09
1941,2.9515025978810172e-09,0.0
1942,3.034211770724937e-09,0.0
1943,0.0,8.709705845433291e-09
1944,3.2131861615880553e-09,0.0
1945,6.535512131478072e-09,0.0
1946,6.960552134671616e-09,0.0
1947,1.1920870957027319e-09,2.3841741914054637e-09
1948,5.435944139264848e-09,0.0
1949,0.0,9.817008317369869e-10
1950,2.1270722960764488e-09,1.0635361480382244e-09
1951,2.1322803522849654e-09,0.0
1952,3.1634410646574906e-09,0.0
1953,3.232148326759443e-09,2.1547654771580937e-09
1954,0.0,0.0
1955,0.0,2.815682353940474e-09
1956,1.2209598665435806e-08,1.744228317335228e-09
1957,7.068030161150318e-09,4.417518795207798e-09
1958,5.790570245522986e-09,0.0
1959,3.100299128533379e-09,7.750747821333448e-10
1960,6.920833350854139e-10,6.920833350854139e-10
