year,yeux_NOUN ouverts_ADJ,yeux_NOUN couverts_ADJ
1800,4.936338200423052e-07,1.6978488304175698e-07
1801,4.2385050846860395e-07,7.619784270218588e-08
1802,6.176438773763948e-07,8.503792514602537e-08
1803,4.5247870161801984e-07,1.2677205063482688e-07
1804,4.523487291407946e-07,1.4336735887354735e-07
1805,4.918178433399589e-07,1.051864728651708e-07
1806,3.486819650788675e-07,1.2679343797117326e-07
1807,4.014206638203177e-07,5.693910054560547e-08
1808,4.804076638720289e-07,7.704651494577774e-08
1809,2.936739633696561e-07,1.197286110254936e-07
1810,6.037527038316171e-07,1.778496283577624e-07
1811,5.365144488678197e-07,4.262030373070047e-08
1812,2.5871921138787e-07,9.335229123053068e-08
1813,6.15408737303369e-07,1.2940837734731758e-07
1814,3.933346306439489e-07,2.5173417128598885e-08
1815,5.016835871174408e-07,6.203614333344376e-08
1816,6.373410883497854e-07,8.806894413737609e-08
1817,5.231094633018074e-07,8.874178547557676e-08
1818,5.149948378857516e-07,1.6689648418832803e-07
1819,4.0265584289045364e-07,8.384350280721264e-08
1820,5.47044790799589e-07,1.1747816586193949e-07
1821,4.427808180107462e-07,1.4890846955495363e-07
1822,3.8698877347087546e-07,6.316138012607553e-08
1823,4.2693207547017664e-07,6.81905376609393e-08
1824,4.6400330688811664e-07,6.905312233129735e-08
1825,4.5700249984292896e-07,7.220463515977826e-08
1826,5.725189566874178e-07,7.04638765114396e-08
1827,3.1338728945229377e-07,6.359918103271411e-08
1828,4.347670881088561e-07,1.008953134373769e-07
1829,3.712185332460649e-07,8.658907546532646e-08
1830,4.46696560629789e-07,1.033246732617954e-07
1831,3.5080213933724735e-07,7.795603096383275e-08
1832,4.843728902415023e-07,6.900284432731496e-08
1833,3.602508382716252e-07,9.730248251571538e-08
1834,5.572714947277291e-07,8.774458848392896e-08
1835,4.681551430962827e-07,7.260564416355919e-08
1836,5.154815312380379e-07,7.796069922960669e-08
1837,5.642849600917543e-07,9.880205453782764e-08
1838,5.131787474965677e-07,1.2813688332613538e-07
1839,4.4256037767809175e-07,6.292327725532232e-08
1840,4.541588154438614e-07,4.7772665823231364e-08
1841,5.213485678723373e-07,6.163726595787011e-08
1842,6.439934168156469e-07,7.244926081284575e-08
1843,5.617472167984694e-07,7.088293108026278e-08
1844,4.758582621833263e-07,5.8178749151593934e-08
1845,5.250994377092866e-07,8.760957825870719e-08
1846,5.520794843505428e-07,5.913046408068112e-08
1847,3.8669413804370834e-07,4.2067142658197554e-08
1848,3.901932481564785e-07,5.148941845112276e-08
1849,5.195237235966488e-07,6.284561493430374e-08
1850,3.9919297911694684e-07,5.838536765168101e-08
1851,4.3404722305240284e-07,5.1595509420465646e-08
1852,5.514431760111904e-07,6.901178295493082e-08
1853,5.231412274486757e-07,4.359510086260343e-08
1854,4.769620039479783e-07,5.7671875830500596e-08
1855,4.935451514143097e-07,7.960405667972736e-08
1856,4.752659799045489e-07,6.212626857404757e-08
1857,5.281793074574104e-07,5.369659850096298e-08
1858,4.893675820127896e-07,5.676664183162927e-08
1859,4.603324832430644e-07,3.7172863898149444e-08
1860,5.497198003467929e-07,8.330474798867726e-08
1861,5.20170795603736e-07,5.75347591791342e-08
1862,5.995367544919805e-07,5.557123117228002e-08
