year,véritables_ADJ hôtes_NOUN,véritables_ADJ côtes_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,0.0
1802,0.0,8.951360541686881e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,1.7081731584767113e-08
1808,0.0,2.2660739951163578e-09
1809,0.0,1.3554183553310395e-08
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,3.776012391654149e-08
1815,0.0,5.394447111228828e-09
1816,0.0,1.8540831092650478e-08
1817,0.0,2.1796227045456362e-08
1818,0.0,1.3113295338484932e-08
1819,0.0,3.1053151161586356e-09
1820,0.0,2.1359666035891678e-08
1821,0.0,3.254291058851777e-08
1822,0.0,1.0025615893027862e-08
1823,0.0,1.1859224713361982e-08
1824,0.0,2.105278085196005e-08
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,6.452091305675367e-09
1828,0.0,9.172301140836225e-09
1829,0.0,4.286587973467704e-09
1830,0.0,9.39315203396518e-09
1831,0.0,1.5591206103948707e-09
1832,1.3529969367098715e-09,9.470978667991403e-09
1833,0.0,1.2741991461950875e-08
1834,0.0,2.7070139907436896e-08
1835,0.0,4.764745398233572e-08
1836,0.0,1.1425274948351216e-08
1837,0.0,3.339787468803479e-08
1838,3.1560809521380406e-09,1.8936486156917454e-08
1839,0.0,2.7965899818127582e-08
1840,3.821813088222825e-09,6.3696887764308485e-09
1841,0.0,1.0914932957462042e-08
1842,0.0,8.049918065466954e-09
1843,5.906911071384968e-10,8.269675610961258e-09
1844,3.2931368743049916e-09,8.781698035420504e-09
1845,8.37034175305007e-09,1.4508592549589139e-08
1846,0.0,6.439951683034906e-09
1847,0.0,1.0786447290911383e-08
1848,0.0,1.689496542667257e-08
1849,5.865590679832167e-09,1.3407063903514427e-08
1850,0.0,1.3577992064028876e-08
1851,5.8044946626978344e-09,5.8044946626978344e-09
1852,0.0,5.208436348880241e-09
1853,0.0,1.3735443005202796e-08
1854,0.0,1.0910895298366086e-08
1855,1.5920811335945473e-09,2.1227748447927297e-09
1856,5.694908100650764e-09,3.1063134287023786e-09
1857,0.0,4.881508974818871e-09
1858,2.936205500958522e-09,1.0276719919488642e-08
1859,3.5645213447565993e-09,1.018434669930457e-09
1860,2.288591982591015e-09,3.204028820036342e-09
1861,4.715963730639317e-10,4.2443675241088386e-09
1862,9.035972525772706e-10,1.3553959066214816e-09
