year,vos_DET hôtes_NOUN,vos_DET côtes_NOUN
1879,4.215434401544371e-08,2.5659165459046562e-08
1880,2.5029599726167362e-08,4.7492061838738664e-08
1881,3.2073535383148055e-08,2.3009274485730202e-08
1882,2.9283695024417966e-08,2.5290463057103807e-08
1883,2.5277355875097385e-08,1.7062214752172622e-08
1884,4.951272813968899e-08,1.5844073608661802e-08
1885,2.1915161241281567e-08,2.5782542378838258e-08
1886,1.677900662855336e-08,3.033127882190456e-08
1887,3.852065649789793e-08,1.697520346510828e-08
1888,2.8532765483646472e-08,2.2826213585958044e-08
1889,5.200063640797836e-08,7.204907576108255e-08
1890,4.9813338010018526e-08,2.818386235503567e-08
1891,3.505821177807178e-08,1.211101796627645e-08
1892,4.0118478983330874e-08,1.1283322720601063e-08
1893,3.263960834942736e-08,1.970693297437265e-08
1894,3.528862180246506e-08,4.663139208105349e-08
1895,5.717683748684976e-08,4.814891596538473e-09
1896,3.597187830939319e-08,3.4202767285052005e-08
1897,4.719637813899169e-08,2.5637540090883704e-08
1898,4.413516851986543e-08,6.224190496340043e-09
1899,4.09040801230276e-08,3.537649995166703e-08
1900,4.9315005412609025e-08,1.9206896184620348e-08
1901,3.017919070202879e-08,2.850256930475581e-08
1902,4.0755355756871836e-08,1.964113471863982e-08
1903,3.456140884594561e-08,1.296052865029651e-08
1904,3.70849146946739e-08,1.9886112312406112e-08
1905,3.973784545863168e-08,2.3223416079076742e-08
1906,4.3211148437194424e-08,1.0802787109298606e-08
1907,3.0857059740707626e-08,1.902852098112362e-08
1908,3.388858482722412e-08,1.5716445034286153e-08
1909,3.4106097501762633e-08,2.2003934119219082e-08
1910,3.099607326362275e-08,2.404867771588215e-08
1911,2.6069833292119426e-08,3.6710581241550244e-08
1912,4.167537132060417e-08,2.1879568379290504e-08
1913,4.719660995355923e-08,2.2802856103343316e-08
1914,5.759199694921335e-08,1.808120764223986e-08
1915,1.2958838335741518e-08,2.709575319670421e-08
1916,4.944358011904626e-08,2.5271162940043723e-08
1917,3.2899274082787144e-08,2.9609346086090227e-08
1918,4.824278221349232e-08,1.722956355365568e-08
1919,3.775218004875569e-08,1.1049418269237776e-08
1920,3.558949046578164e-08,1.590168707821249e-08
1921,4.4679211053111345e-08,1.817459427400081e-08
1922,5.1645549503653854e-08,1.696925089333945e-08
1923,5.095654964648588e-08,1.4862327368803108e-08
1924,5.801231095503567e-08,1.5469948877466777e-08
1925,3.299453288363452e-08,1.4297631523163545e-08
1926,3.7896870752618383e-08,1.114613823460786e-08
1927,8.36191900166483e-08,1.2264147031260109e-08
1928,5.5987601665918874e-08,1.0283437212876834e-08
1929,4.9017787162597415e-08,1.7824650200282122e-08
1930,3.151081084951102e-08,2.3107928015519974e-08
1931,3.649714130915527e-08,1.8248570654577634e-08
1932,2.411098010135504e-08,2.301502632917618e-08
1933,2.408839128165141e-08,3.4411986593596566e-09
1934,3.235026646564165e-08,1.3179738189705859e-08
1935,3.590485153637246e-08,1.196828414151696e-08
1936,3.273673021553236e-08,9.699771652549316e-09
1937,3.1477796369472344e-08,1.0072894518486919e-08
1938,3.759912203804561e-08,1.2965214679638848e-08
1939,1.6823456405745674e-08,7.647025235257843e-09
1940,1.5214697057785997e-08,5.0715658339584024e-09
1941,3.246652768851277e-08,5.9030051957620344e-09
1942,3.9444752131245764e-08,4.5513175450651033e-08
1943,2.6129116648121453e-08,4.645176332473966e-08
1944,8.354284375400312e-08,2.2492303131116387e-08
1945,2.6142048525912287e-08,1.9606536838523425e-08
1946,3.3410650246423756e-08,2.5057987684817817e-08
1947,4.291513655552137e-08,3.337843779149807e-08
1948,3.0441286602567175e-08,1.7395020535104777e-08
1949,2.846932423139492e-08,9.817008539414473e-09
1950,4.4668517773516214e-08,7.444753258312176e-09
1951,6.823297127311889e-08,2.1322804077961166e-08
1952,5.588746121443222e-08,9.490323193972472e-09
1953,3.016671712430252e-08,1.2928593307037772e-08
1954,3.3226621232174125e-08,1.4658803948464083e-08
1955,2.627970197011109e-08,6.569925492527773e-09
1956,1.831439710997529e-08,1.1337484062678982e-08
1957,3.4456648034808524e-08,1.767007518083119e-08
1958,2.2335058080802384e-08,1.4062814024384807e-08
1959,3.2553141071645086e-08,1.4726420971555854e-08
1960,4.429333444466721e-08,1.3841666979264033e-08
1961,3.9604509172175284e-08,7.64297514166401e-09
1962,2.7904608068674008e-08,2.72704117065814e-08
1963,2.9743844720542256e-08,1.2932106940866106e-08
1964,2.8594651535485127e-08,2.981144392455448e-08
1965,2.9549034552545095e-08,1.5321720781003023e-08
1966,2.4925836616951358e-08,8.308612464702492e-09
1967,4.141481846353656e-08,1.3311906243984595e-08
1968,4.042274154292258e-08,2.110965446888713e-08
1969,1.77128555989281e-08,3.088395361672269e-08
1970,3.3570694335516293e-08,1.3336302728816918e-08
1971,4.11071787720374e-08,1.8498230613950284e-08
1972,2.4624704386688734e-08,8.208234980600082e-09
1973,2.536073706593811e-08,2.260413545229767e-08
1974,2.2502286256553816e-08,1.2376257352286757e-08
1975,3.1413141421410273e-08,7.996072248772634e-09
1976,2.799628240346408e-08,1.7140580510499603e-08
1977,1.7042667388444954e-08,9.402850775774851e-09
1978,2.376236551970834e-08,1.544553818177974e-08
1979,1.4044736262874835e-08,1.8726314388040066e-08
1980,2.274060340035078e-08,1.1938816213419301e-08
1981,2.9730082895529364e-08,1.1385989540091401e-08
1982,2.7933760193832313e-08,9.9320033308814e-09
1983,3.03135170298674e-08,1.3262164144656197e-08
1984,1.565732282715615e-08,1.8556828074167697e-08
1985,2.6468455205375108e-08,7.218669662023558e-09
1986,2.697518497463136e-08,1.498621315931814e-08
1987,2.3832185669370176e-08,1.7721369260925712e-08
1988,2.6984492806914062e-08,1.199310784016916e-08
1989,2.2501300045441042e-08,2.140367671987775e-08
1990,2.2884334038852927e-08,9.262707045820662e-09
1991,2.6376593353916178e-08,5.861465368628416e-09
1992,2.5345742504789825e-08,7.162927584403178e-09
1993,3.545092630563573e-08,1.772546376344053e-08
1994,2.637463225596548e-08,1.318731612798274e-08
1995,3.687266492136132e-08,1.1929391696696712e-08
1996,3.256236058568618e-08,8.007138063703678e-09
1997,3.5002728271393835e-08,7.671831170341648e-09
1998,2.622471095836687e-08,1.3350762273489636e-08
1999,2.7878227060185168e-08,1.0511462728013399e-08
2000,2.3857369746416168e-08,1.1045078740501424e-08
