year,véritables_ADJ anneaux_NOUN,véritables_ADJ canaux_NOUN
1800,0.0,2.829747991484055e-08
1801,2.3811825844433088e-09,1.6668277424969347e-08
1802,1.3427040812530322e-08,4.475680270843441e-09
1803,5.851017448321727e-09,2.7304748684287006e-08
1804,7.4155526164076946e-09,1.730295728918918e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,3.701041606518629e-08
1808,2.2660739951163578e-09,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,1.0028307073639553e-08
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,0.0
1818,2.384235475716423e-09,2.026600220972341e-08
1819,3.1053151161586356e-09,1.0351049795076506e-08
1820,7.119888678630559e-09,1.1866481131050932e-09
1821,0.0,1.0847637454958203e-08
1822,0.0,0.0
1823,1.2847492847356534e-08,6.917880934764753e-09
1824,0.0,1.0947446504872005e-08
1825,0.0,2.641632912414593e-09
1826,0.0,1.0569580766173203e-08
1827,1.3825909306319772e-08,1.474763688946723e-08
1828,3.668920500743411e-09,4.035812395386529e-08
1829,8.57317605795771e-10,7.715858174606183e-09
1830,1.7742621594152297e-08,3.235419043789989e-08
1831,0.0,2.494592976631793e-08
1832,0.0,2.841293600397421e-08
1833,3.4750886612755494e-09,1.9692167896323554e-08
1834,1.8669061851994684e-09,2.8937046536725575e-08
1835,1.1344631900556124e-08,1.663879345414898e-08
1836,4.704525213838906e-09,1.6129799718100912e-08
1837,5.5663127440652715e-09,2.99189295560609e-08
1838,5.049729523420865e-09,1.3255539776935166e-08
1839,6.9914751765765e-10,1.677954131196202e-08
1840,6.369688665408546e-10,2.4841785517537573e-08
1841,5.1364388298225094e-09,9.630822361827995e-09
1842,0.0,1.2745703159566801e-08
1843,0.0,1.9492807368237663e-08
1844,2.195424508855126e-09,7.683985892015244e-09
1845,1.1160455892778032e-09,1.897277535078956e-08
1846,7.025401593807601e-09,7.025401593807601e-09
1847,8.089835468183537e-09,5.3932236454556914e-09
1848,0.0,1.689496542667257e-08
1849,2.513824481908955e-09,7.54147322368226e-09
1850,2.7155984128057753e-09,1.8330290174617403e-08
1851,6.449438760824933e-10,1.096404567135778e-08
1852,1.3021090872200602e-08,1.1718981340891332e-08
1853,1.3735443005202796e-08,2.448492075757258e-08
1854,5.195664454227256e-10,1.0391328686409906e-08
1855,2.653468555990912e-09,1.1144567935161831e-08
1856,5.177189343896771e-09,2.3815070804289462e-08
1857,4.393358121745905e-09,3.905207268672939e-09
1858,9.787352261980686e-09,1.0276719919488642e-08
1859,5.601390462572908e-09,6.110608019582742e-09
1860,4.57718396518203e-09,1.5562426014525954e-08
1861,5.659156698811785e-09,1.5562680033553988e-08
1862,2.710791813242963e-09,1.536115412648087e-08
1863,4.994620828036034e-10,7.991393324857654e-09
1864,5.274200631788517e-09,1.1986819536957682e-08
1865,1.1767110841276462e-08,2.023943146411966e-08
1866,2.919367858567057e-09,1.8489329178805747e-08
1867,8.73506067478047e-09,1.358787216076962e-08
1868,7.903798504571569e-09,4.198892966655876e-08
1869,1.3185501579471293e-08,3.564969119906891e-08
1870,5.734048791339319e-09,1.4335121534259088e-08
1871,6.37270636261178e-09,3.823623728749226e-08
1872,7.256807155187062e-09,2.116568786902917e-08
1873,9.577607151811662e-09,3.052862140862089e-08
1874,1.1351757756017378e-08,2.9873046258899194e-08
1875,4.577221712764867e-09,4.691652222277298e-08
1876,1.6324239737741664e-08,3.3253080289341597e-08
1877,9.27722432209066e-09,2.4120781816350245e-08
1878,6.039088784604019e-09,2.294853729267743e-08
1879,3.0546627449723474e-09,2.1993571408529533e-08
1880,2.5671385017744797e-09,8.343199908722454e-09
1881,1.045876096839038e-08,1.673401861523871e-08
1882,7.986462158271479e-09,4.45910792734594e-08
1883,6.951272890631799e-09,2.401348808689363e-08
1884,0.0,1.650424152899177e-08
1885,8.379326565943757e-09,2.0626034213933053e-08
1886,3.2267319927115068e-09,1.871504551331782e-08
1887,3.264462256069578e-09,1.1099172247952538e-08
1888,7.60873763994141e-09,2.0924028731883482e-08
1889,7.51816386923565e-09,2.944614330147033e-08
1890,3.2771931834929546e-09,3.080561583601593e-08
1891,7.0116419337296065e-09,3.1871099537283953e-08
1892,6.8953633913793055e-09,1.191017329205124e-08
1893,6.15841644346915e-09,3.4487133149241345e-08
1894,8.192000855444803e-09,2.0164925729204697e-08
1895,3.611168697403855e-09,1.444467478961542e-08
1896,3.5382172747233653e-09,3.951009475144929e-08
1897,8.740070001067579e-09,1.5149455023788505e-08
1898,6.7900258748920805e-09,3.281845906144554e-08
1899,1.7688250864011934e-08,2.432134493801641e-08
1900,5.191053142894475e-10,3.1665425836990835e-08
1901,6.147612641171918e-09,1.5089595351014395e-08
1902,2.9461704187383475e-09,2.6515532880466708e-08
1903,5.940242076007962e-09,1.7280704867062013e-08
1904,1.6123875568041512e-09,1.7736262236667244e-08
1905,3.096455536422127e-09,4.076999715607599e-08
1906,5.658602919567102e-09,2.211999294843281e-08
1907,2.057137349353866e-09,2.8799922446864912e-08
1908,7.858222517143076e-09,9.331639461152008e-09
1909,2.2003934230241384e-09,1.1001967337165297e-08
1910,6.412980813053082e-09,1.6566866989364826e-08
1911,2.6601871816467337e-09,2.4473720827700163e-08
