year,trois_DET anneaux_NOUN,trois_DET canots_NOUN
1800,7.231578535993322e-08,3.772997558826319e-08
1801,1.166779455274991e-07,1.1905912922216544e-08
1802,1.3427040812530322e-07,4.4756802708434407e-08
1803,2.0478562134940148e-07,7.801356893821776e-09
1804,6.673997354766925e-08,4.449331569844617e-08
1805,7.107194477384837e-08,4.5486043376286034e-08
1806,6.916005901302924e-08,8.645007376628655e-09
1807,1.708173016368164e-07,0.0
1808,1.0423940466353088e-07,4.305540457494317e-08
1809,6.325285539787728e-08,1.1521056020313836e-07
1810,9.594519667643908e-08,3.978215534772289e-08
1811,7.270522672797597e-08,6.016983888912364e-08
1812,5.867858021701977e-08,3.200649700829672e-08
1813,9.202373263406116e-08,2.5881675469463516e-08
1814,5.3493510066005e-08,0.0
1815,5.664169577812572e-08,5.1247248222807684e-08
1816,2.0858435334503156e-07,6.489290882427667e-08
1817,1.5724421587037796e-07,2.6466847380390846e-08
1818,8.225612191381515e-08,1.668964877410417e-08
1819,1.0868602373648173e-07,2.277231081482256e-08
1820,1.0561168028999646e-07,8.781196214613374e-08
1821,1.173517123476131e-07,6.508582117703554e-08
1822,1.1028177482330648e-07,3.308453244699194e-08
1823,1.1760397722326843e-07,4.941343334508019e-08
1824,8.58953512761218e-08,4.294767297352564e-08
1825,1.0478476886177646e-07,2.3774695989686734e-08
1826,1.4180854890355477e-07,4.4039921931471326e-08
1827,1.4378945456527958e-07,1.8434546333878643e-08
1828,1.9720447141935438e-07,3.66892045633449e-08
1829,6.3441500608441e-08,1.7146351893870815e-08
1830,7.514521627172144e-08,1.1167414015744725e-07
1831,6.080570358335535e-08,4.989185953263586e-08
1832,1.8671357793209609e-07,2.7059939289308943e-08
1833,9.614411311531512e-08,2.351476595663371e-07
1834,1.4001796966311986e-07,8.494422965021897e-08
1835,1.194967893525245e-07,6.655517381659593e-08
1836,6.855165191055335e-08,4.5701099793404865e-08
1837,1.0854309540064833e-07,6.053365098068753e-08
1838,9.65760751370226e-08,2.146135025249407e-08
1839,8.599514256246721e-08,2.9364196407755117e-08
1840,9.490836117009849e-08,4.076600601532476e-08
1841,6.292137655350416e-08,5.1364388298225094e-08
1842,5.9032732480091e-08,3.6895459576413714e-08
1843,6.14318764746713e-08,2.3627643841450663e-08
1844,1.0098952429871133e-07,7.683985892015244e-09
1845,1.2109094349455063e-07,2.343695709727811e-08
1846,1.6099879163178343e-07,3.8639710542298644e-08
1847,5.555020443637204e-08,1.941560423546207e-08
1848,6.516629724728773e-08,1.7699488319422585e-08
1849,8.882179525215861e-08,2.0948537127196687e-08
1850,5.634866795389826e-08,4.5486273414496736e-08
1851,8.513259008857688e-08,1.5478653025979838e-08
1852,1.3737250981193938e-07,1.4323200403509873e-08
1853,1.5885338111587544e-07,1.791579506971175e-08
1854,7.377843314060328e-08,1.558699302961486e-08
1855,1.1038429192922194e-07,9.552486801567284e-09
1856,1.1803991606385011e-07,1.5531566865956137e-08
1857,9.323682093054231e-08,2.9777204924030798e-08
1858,7.095829879233406e-08,5.0404863338737727e-08
1859,6.416138353948497e-08,1.78226069458276e-08
1860,1.180913438147968e-07,1.7393299245327398e-08
1861,6.31939118811431e-08,2.4051415081771665e-08
1862,9.623310881501368e-08,2.168633472798831e-08
1863,8.191178224592477e-08,1.7980634980929722e-08
1864,1.2370398394523363e-07,1.2945765792693464e-08
1865,1.1343495209814591e-07,1.129642651642726e-08
1866,1.508339952938087e-07,2.2868380966656332e-08
1867,1.1889388318309102e-07,1.5043715606566366e-08
1868,1.8425730985427435e-07,1.4819622418116296e-08
1869,1.2745985555895345e-07,2.5882651577546767e-08
1870,1.6284698034496614e-07,3.383088609254514e-08
1871,1.1683294864894833e-07,1.5931766128574054e-08
1872,1.8988644878703553e-07,2.7213026165817666e-08
1873,1.741927366794016e-07,1.3169209722718733e-08
1874,1.654966768072086e-07,1.8521287614703397e-08
1875,2.208509455314811e-07,2.1741802469499305e-08
1876,1.281755084292513e-07,3.9903697679477546e-08
1877,1.4286924776563126e-07,6.18481589276243e-08
1878,1.8056875550342966e-07,6.824170073471691e-08
1879,1.484566007903254e-07,1.1668811494836007e-07
1880,1.2322264808517502e-07,2.3746030253235517e-08
1881,1.8686320046867877e-07,5.0899306103247e-08
1882,1.4508739010210547e-07,6.788492612486152e-08
1883,1.2385904679668158e-07,5.497824862032985e-08
1884,2.0003141543156744e-07,3.630933331777442e-08
1885,1.7338759850105134e-07,2.9649923460883798e-08
1886,1.6520867607283662e-07,3.355801170279449e-08
1887,2.0957847546299035e-07,4.635536360320103e-08
1888,1.6231972921332272e-07,3.614150267949867e-08
1889,1.2467622223510944e-07,1.628935508701801e-08
1890,1.1339088656914242e-07,3.080561628010514e-08
1891,1.2748440303411712e-07,1.1473596295275001e-08
1892,1.435489271894852e-07,2.382034658410248e-08
1893,1.4657031588427571e-07,2.832871559554917e-08
1894,1.001944731626736e-07,1.3863386438828229e-08
1895,1.1495553797757907e-07,3.611168786221697e-08
1896,1.1204354855021137e-07,1.9460195621601173e-08
1897,1.2760502143827068e-07,3.379493840327541e-08
1898,1.2391797232780277e-07,1.3014216593276728e-08
1899,9.839089720742322e-08,1.7688250864011934e-08
1900,1.1783691000744057e-07,9.34389543516545e-09
1901,8.941982132526505e-08,1.0618603774048552e-08
1902,1.3257766395824433e-07,7.365425602756659e-09
1903,6.210253333804872e-08,4.320176349992266e-08
1904,1.3275323862416144e-07,2.2573425795258117e-08
1905,1.150849282538502e-07,1.2385821979155054e-08
1906,1.2294600715279103e-07,2.2119993614566624e-08
1907,9.668545342123025e-08,1.3885677496716653e-08
1908,1.1148853396036884e-07,1.0805055739027125e-08
1909,1.0066800104624463e-07,1.3202360427122528e-08
1910,7.054278938767311e-08,9.0850561518252e-09
1911,9.576673143385506e-08,2.0217421181634165e-08
1912,6.199211188828713e-08,1.1460727034062757e-08
