year,nos_DET couverts_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,7.4155526164076946e-09
1805,0.0
1806,0.0
1807,4.270432762965015e-08
1808,0.0
1809,1.3554183553310395e-08
1810,4.680253518074551e-09
1811,0.0
1812,0.0
1813,4.026038169513413e-08
1814,1.5733386149463513e-08
1815,0.0
1816,0.0
1817,0.0
1818,3.5763532135746345e-09
1819,2.070210003424222e-09
1820,0.0
1821,0.0
1822,3.0076847679083585e-09
1823,0.0
1824,3.3684450784221553e-09
1825,0.0
1826,4.403992281964975e-09
1827,0.0
1828,2.7516903755575584e-09
1829,0.0
1830,2.0873671680021744e-09
1831,0.0
1832,0.0
1833,0.0
1834,3.733812370398937e-09
1835,3.781543966852041e-09
1836,1.0753200108126748e-08
1837,1.3915781860163179e-09
1838,6.312161904276081e-10
1839,3.4957374772659477e-09
1840,0.0
1841,4.494383976094696e-09
1842,8.049918065466954e-09
1843,0.0
1844,4.9397050894128824e-09
1845,0.0
1846,7.025401815852206e-09
1847,1.0786447290911383e-08
1848,4.02261068899179e-09
1849,5.865590679832167e-09
1850,6.788996032014438e-10
1851,6.449438538780328e-09
1852,6.510545436100301e-10
1853,1.7915795513800958e-09
1854,2.0782658372020535e-09
1855,7.429711956774554e-09
1856,2.5885946719483854e-09
1857,9.763018171682347e-10
1858,1.1744822003834088e-08
1859,1.018434669930457e-09
1860,2.746310290291376e-09
1861,1.8863854922557266e-09
1862,8.132375661773494e-09
1863,4.994620717013731e-09
1864,1.3904711160250827e-08
1865,4.7068443587150455e-09
1866,4.379051676828283e-09
1867,1.067618526917613e-08
1868,6.9158236915001225e-09
1869,6.836926913500463e-09
1870,5.160643912205387e-09
1871,7.434823867669138e-09
1872,5.442605477412599e-09
1873,7.781805866358127e-09
1874,5.377148282192934e-09
1875,2.860763570478042e-09
1876,3.627608879952504e-09
1877,1.48435581603934e-08
1878,4.22736201599605e-09
1879,1.3440515367335593e-08
1880,3.8507077526617195e-09
1881,1.1156012114099667e-08
1882,6.655385131892899e-09
1883,2.5277355764075082e-09
1884,6.601696966868076e-09
1885,1.933690763067375e-09
1886,7.098810428374236e-09
1887,9.140494694470647e-09
1888,1.1413106904001324e-08
1889,5.638623234993645e-09
1890,7.865263995654459e-09
1891,1.2748440525456317e-08
1892,3.1342561879199593e-09
1893,4.926733299104313e-09
1894,3.780923574225881e-09
1895,4.814891596538473e-09
1896,6.486732040400511e-09
1897,2.330685422435863e-09
1898,5.6583546736987955e-09
1899,6.080336234504102e-09
1900,9.34389543516545e-09
1901,6.147612863216523e-09
1902,5.892340837476695e-09
1903,1.6200660812870638e-09
1904,1.6123875568041512e-09
1905,5.160759042333041e-10
1906,5.144184522798412e-10
1907,1.5428529565042481e-09
1908,1.964555629285769e-09
1909,5.500983557560346e-10
1910,4.809735720812114e-09
1911,3.1922244847493175e-09
1912,1.0418842455450772e-09
1913,7.954484182448596e-09
1914,1.0714789944188396e-08
1915,9.424609537234119e-09
1916,0.0
1917,1.5352993543160665e-08
1918,1.1486376294556067e-09
1919,2.762354567309444e-09
1920,8.329454459499175e-09
1921,1.5145494858259667e-09
1922,1.4755870969551665e-09
1923,1.0615948120573648e-08
1924,1.0313299547703991e-08
1925,1.0998177923937646e-09
1926,2.229227691330493e-09
1927,6.689535148041159e-09
1928,6.85562484559199e-09
1929,5.570202965543558e-09
1930,1.0503603542488804e-09
1931,9.124285327288817e-09
