year,avions_VERB ouvert_VERB,avions_VERB couvert_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,1.1189200677108602e-08
1803,0.0,0.0
1804,0.0,0.0
1805,2.2743021688143017e-08,0.0
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,1.0668832928217853e-08,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,9.270415546325239e-09,0.0
1817,6.227493631882908e-09,0.0
1818,0.0,3.5763532135746345e-09
1819,2.070210003424222e-09,2.070210003424222e-09
1820,0.0,0.0
1821,1.97229765852569e-09,0.0
1822,3.0076847679083585e-09,8.02049271442229e-09
1823,0.0,0.0
1824,8.421112696055388e-09,0.0
1825,3.522177216552791e-09,3.522177216552791e-09
1826,6.1655889282974385e-09,0.0
1827,1.1982455028203276e-08,0.0
1828,5.503380862137419e-09,9.172301251858528e-10
1829,5.143905745796928e-09,0.0
1830,0.0,0.0
1831,1.870944643656003e-08,0.0
1832,9.470978667991403e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,6.534171426153534e-09,9.334530925997342e-10
1835,1.3613558280667348e-08,9.075705520444899e-09
1836,1.344150035720304e-08,0.0
1837,1.2524203896191466e-08,6.957890930081589e-10
1838,6.943378316748294e-09,0.0
1839,5.5931801412612e-09,1.3982950353153e-09
1840,1.3376346252869098e-08,5.732719632334238e-09
1841,6.420548537278137e-09,3.2102742686390684e-09
1842,2.0124795163667386e-09,0.0
1843,8.860366662588604e-09,1.1813822142769936e-09
1844,4.9397050894128824e-09,1.6465684371524958e-09
1845,7.812318791877715e-09,5.580227946389016e-10
1846,2.1661655580373917e-08,0.0
1847,1.0247124926365814e-08,0.0
1848,8.04522137798358e-09,0.0
1849,1.1731181359664333e-08,9.217356655710773e-09
1850,8.82569484161877e-09,0.0
1851,7.094382858952031e-09,6.449438760824933e-10
1852,3.2552727180501506e-09,6.510545436100301e-10
1853,1.2541057081705276e-08,1.7915795513800958e-09
1854,8.313063126763609e-09,2.5978321716024766e-09
1855,9.021793090369101e-09,0.0
1856,2.9509978460851016e-08,0.0
1857,1.0739319655783675e-08,1.4644527812635033e-09
1858,1.0276719919488642e-08,2.4468380654951716e-09
1859,1.018434669930457e-08,5.092173349652285e-10
1860,9.612086238064421e-09,9.154367819341758e-10
1861,8.960331143725853e-09,0.0
1862,1.0843167252971853e-08,0.0
1863,9.489779628779615e-09,0.0
1864,5.274200631788517e-09,0.0
1865,2.8241067262513297e-09,0.0
1866,6.811858188626729e-09,1.9462451650298362e-09
1867,2.5719900875742496e-08,9.7056229719783e-10
1868,1.679557115608077e-08,0.0
1869,8.30198221279943e-09,4.883519144627257e-10
1870,1.548193218070537e-08,0.0
1871,1.4869648623516696e-08,0.0
1872,1.814201766592305e-08,1.8142017887967654e-09
1873,2.3944017879529156e-09,9.577607151811662e-09
1874,4.779687312606029e-09,0.0
1875,8.010138330405425e-09,0.0
1876,1.0882827083946722e-08,0.0
1877,1.9791411176584006e-08,1.2369631985365004e-09
1878,1.1474268646338714e-08,0.0
1879,1.0996785704264767e-08,0.0
1880,6.417846254436199e-09,0.0
1881,2.7890030285249168e-09,0.0
1882,1.7969540522244642e-08,0.0
1883,2.5277355764075082e-09,0.0
1884,3.300848483434038e-09,6.601696966868076e-10
1885,5.80107206715752e-09,0.0
1886,9.680196200179125e-09,0.0
1887,1.0446279397058333e-08,6.528924623161458e-10
1888,1.5851536971922542e-08,1.9021844099853524e-09
1889,1.1277245803853475e-08,0.0
1890,5.898947996740844e-09,4.5880703680722945e-09
1891,2.2309770031370135e-08,1.9122659011827636e-09
1892,1.0656471260972467e-08,1.8805537127519756e-09
1893,7.390100087434348e-09,0.0
1894,9.452309157609307e-09,0.0
1895,1.8657704714541978e-08,1.8055843487019274e-09
