year,vos_DET anneaux_NOUN,vos_DET canaux_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,4.0480102825313224e-08
1802,0.0,2.2378401354217203e-09
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,1.3554183553310395e-08
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,2.400487453257938e-08
1813,0.0,5.751483289628823e-09
1814,3.1466771410748606e-09,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,6.952811659743929e-09
1817,0.0,2.1796227045456362e-08
1818,4.768470951432846e-09,2.98029441125891e-08
1819,0.0,3.1053151161586356e-09
1820,1.1866481131050932e-09,0.0
1821,1.8736827200882544e-08,4.1418250940061796e-08
1822,2.105379337535851e-08,7.017931125119503e-09
1823,1.087095569118901e-08,9.882686669016039e-09
1824,1.6842225392110777e-09,1.6842225392110777e-08
1825,8.805443041381977e-10,1.1447076175841175e-08
1826,0.0,1.76159691278599e-08
1827,1.8434546111834038e-09,9.217273166939322e-09
1828,0.0,2.2930752408001354e-08
1829,1.714635211591542e-09,1.3717081692732336e-08
1830,0.0,1.982998831806526e-08
1831,0.0,2.182768810143898e-08
1832,4.058990921151917e-09,2.705993829010822e-08
1833,4.6334514003376626e-09,1.1583628500844156e-09
1834,2.8003592777992026e-09,7.467624740797874e-09
1835,7.563087933704082e-10,1.663879345414898e-08
1836,6.720750067579218e-10,2.688300027031687e-09
1837,2.0873671680021744e-09,1.3219993100221927e-08
1838,6.312161904276081e-10,5.680945491803868e-09
1839,3.4957374772659477e-09,1.8177836125232716e-08
1840,2.5478754661634184e-09,1.3376346252869098e-08
1841,3.2102742686390684e-09,2.3756030032018316e-08
1842,2.683306021822318e-09,1.0733224087289273e-08
1843,4.7255288571079745e-09,1.8311423488626133e-08
1844,0.0,9.330554107123135e-09
1845,5.022205318283568e-09,1.3950569588416784e-08
1846,4.0981511517657054e-09,1.5807153586067102e-08
1847,3.235934187273415e-09,7.011190739092399e-09
1848,4.02261068899179e-09,2.413566457803995e-09
1849,8.379414939696517e-10,4.4410899846525353e-08
1850,6.788996032014438e-10,1.0862393651223101e-08
1851,8.384270611117017e-09,7.739326512989919e-09
1852,7.161600201754936e-09,1.1718981340891332e-08
1853,1.1943863675867306e-09,1.911018188138769e-08
1854,2.0782657816909023e-09,8.313063126763609e-09
1855,7.960405667972736e-09,2.0697054736729115e-08
1856,1.3978411317339123e-08,9.836659209394583e-09
1857,1.122747050885664e-08,2.9289055625270066e-09
1858,4.893676075479192e-09,1.9085335978274998e-08
1859,5.092173349652285e-10,1.2221216039165483e-08
1860,6.408057529050382e-09,3.661747127736703e-09
1861,7.073945429425521e-09,7.545541969022906e-09
1862,2.2589931314431766e-09,1.581295272501393e-08
1863,4.495158911765884e-09,2.347471755870245e-08
1864,6.233146443435089e-09,1.4863656416785886e-08
1865,1.882737743486018e-09,1.9298061815220535e-08
1866,3.8924903300596725e-09,9.244664589402873e-09
1867,2.426405742994575e-09,1.3102591012170706e-08
1868,7.903798504571569e-09,8.397785578040384e-09
1869,8.790334682373668e-09,9.767038733343725e-09
1870,1.834895568819661e-08,9.17447806614291e-09
1871,0.0,3.18635318130589e-09
1872,1.5118347462816928e-08,0.0
1873,7.183205141814142e-09,9.577607151811662e-09
1874,4.182226343019124e-09,5.377148060148329e-09
1875,2.2886108563824337e-09,5.149374260327022e-09
1876,6.04601479992084e-09,1.5115036333668286e-08
1877,5.566334504436554e-09,2.5976227391311113e-08
1878,5.4351798062235446e-09,1.4493813149663026e-08
1879,1.1607718231054776e-08,1.5273313280772527e-08
1880,7.059631101924424e-09,2.888030792291829e-08
1881,9.064259565150223e-09,2.091752326904839e-09
1882,1.9966155395678697e-09,1.6638463051776853e-08
1883,0.0,1.8958017378167824e-09
1884,6.601696966868076e-09,5.281357573494461e-09
1885,0.0,8.379326565943757e-09
1886,1.0325542088018835e-08,3.872078324640427e-09
1887,3.264462256069578e-09,1.1752063988623718e-08
