year,quelques_DET ans_NOUN,quelques_DET camps_NOUN
1800,3.458580977167003e-08,0.0
1801,2.857419123536431e-08,2.1430643926123594e-08
1802,6.713520406265161e-09,1.1189200677108602e-08
1803,3.900678446910888e-09,7.801356893821776e-09
1804,4.2021465418429216e-08,0.0
1805,1.9900143755080535e-08,0.0
1806,2.5935023018064385e-08,2.0171682990621775e-08
1807,3.131650672116848e-08,2.562259560079383e-08
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,5.421673243688474e-08,2.25903047379461e-08
1810,3.978215445954447e-08,6.786367379163494e-08
1811,1.504245972228091e-08,2.0056614147279106e-08
1812,2.1337665856435706e-08,0.0
1813,1.1502966579257645e-08,2.8757416448144113e-09
1814,1.2586708564299443e-08,5.349351184236184e-08
1815,2.966945888971395e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,1.5568734412774177e-08,0.0
1818,1.907388358368678e-08,3.5763532135746345e-09
1819,1.9666995143552413e-08,0.0
1820,1.7799721696576398e-08,1.0679833017945839e-08
1821,7.297501347647284e-08,4.930744257336528e-09
1822,6.115625694746996e-08,2.7069162911175226e-08
1823,2.371844876059015e-08,0.0
1824,1.0021123841852386e-07,2.5263338088166165e-09
1825,2.2894151241459326e-08,3.522177216552791e-09
1826,2.201995996653494e-08,3.170874407487645e-08
1827,2.1199728195142598e-08,1.566936447261469e-08
1828,1.742737265608696e-08,3.210305266065916e-08
1829,1.2859763920403111e-08,2.0575622983187714e-08
1830,2.817945699007396e-08,2.1917355041978226e-08
1831,9.510635434750725e-08,3.897801548191637e-08
1832,1.488296597074168e-08,8.117981842303834e-09
1833,9.26690302271993e-09,2.3167257001688313e-09
1834,1.866906118586087e-08,2.8937046536725575e-08
1835,3.025235173481633e-08,1.4369867074037757e-08
1836,3.22596004909137e-08,2.419469957715137e-08
1837,5.427154992077021e-08,1.3219993100221927e-08
1838,3.1560809521380406e-08,3.029837714052519e-08
1839,1.1186360504567006e-08,2.23727205650448e-08
1840,4.458782187910515e-08,3.3122379505812205e-08
1841,2.6966304744746594e-08,2.760835826620678e-08
1842,3.287049921141261e-08,1.2074877098200432e-08
1843,4.193906921745594e-08,1.7130041385371442e-08
