year,soyons_VERB en_ADP
1800,1.0375743109136693e-07
1801,1.0239085401764214e-07
1802,2.1483265300048515e-07
1803,1.716298487774992e-07
1804,1.928043786847411e-07
1805,1.6772978028711805e-07
1806,1.7001848107156547e-07
1807,1.4804165937576386e-07
1808,1.812859236061115e-07
1809,1.9427662523163747e-07
1810,1.825298929780672e-07
1811,9.777599530025327e-08
1812,1.7603574198332694e-07
1813,1.4091134414861983e-07
1814,1.6677388892105682e-07
1815,1.3755839445295237e-07
1816,1.7613789893289322e-07
1817,1.8059731665687195e-07
1818,1.7047283051851991e-07
1819,1.9045932164729606e-07
1820,1.09171627293847e-07
1821,2.3568957230324372e-07
1822,2.466301509684854e-07
1823,2.5892639676783347e-07
1824,1.5073791725939145e-07
1825,1.8139212443202268e-07
1826,2.149148130570211e-07
1827,2.608488376409923e-07
1828,1.981217110369471e-07
1829,1.5774643502552976e-07
1830,1.6385832068976924e-07
1831,1.387617305503852e-07
1832,1.8941957613538563e-07
1833,1.9344658908071466e-07
1834,2.5389924296348454e-07
1835,2.8664101847653e-07
1836,3.037778961711979e-07
1837,1.4333255471399298e-07
1838,1.4454851471334962e-07
1839,1.8876983554072524e-07
1840,2.3121969405792697e-07
1841,2.2600331384126093e-07
1842,2.1734779132032145e-07
1843,2.3804851867481602e-07
1844,2.310684303896693e-07
1845,2.2767329976858264e-07
1846,2.195438026930674e-07
1847,1.41841778322771e-07
1848,1.8986723571146058e-07
1849,1.684262369572309e-07
1850,1.6361480792426164e-07
1851,1.5607641223880364e-07
1852,2.0378006926335956e-07
1853,1.719916327136417e-07
1854,2.0990484550509336e-07
1855,2.3562800066656564e-07
1856,2.2469001015323897e-07
1857,1.5864905167362053e-07
1858,2.290240326274784e-07
1859,2.067422393281504e-07
1860,2.110081744888248e-07
1861,1.7873502589083046e-07
1862,2.5933240310749284e-07
1863,2.1426922813816418e-07
1864,2.3590061459799472e-07
1865,1.8262555645520706e-07
1866,2.715011984122384e-07
1867,2.0624448993089572e-07
1868,2.297041383769738e-07
1869,2.236651774900622e-07
1870,2.2878854721852804e-07
1871,3.1120050447697167e-07
1872,2.025858667487057e-07
1873,1.7359412307627053e-07
1874,1.9716210086784258e-07
1875,2.374433829555045e-07
1876,2.1161051932949704e-07
1877,1.997695564526225e-07
1878,1.7573747568278009e-07
1879,1.90000021049741e-07
1880,1.7713256372786645e-07
1881,2.3567076112840368e-07
1882,2.0565139990935677e-07
1883,1.7378181382809998e-07
1884,2.482238032897044e-07
1885,2.28175507377415e-07
1886,2.1360964863603726e-07
1887,2.800908763256338e-07
1888,1.800734548140781e-07
1889,2.1802675548299177e-07
1890,2.4054597957956503e-07
1891,1.7210394709366028e-07
1892,2.4071087811883274e-07
1893,2.426416054746028e-07
1894,2.14882483362544e-07
1895,2.708376514171107e-07
1896,2.2467680382831645e-07
1897,1.800454427769438e-07
1898,2.0030575820229046e-07
1899,1.6914390421618464e-07
1900,2.0712301895819962e-07
1901,1.9840022980055494e-07
1902,1.8609975871441975e-07
1903,1.8954772507129292e-07
1904,1.9241158000227188e-07
1905,1.919802361527445e-07
1906,1.903348261222959e-07
1907,2.170279973512379e-07
1908,2.337821234377202e-07
1909,2.013359949870619e-07
1910,2.1857575571715415e-07
1911,1.9472569801060047e-07
1912,2.1619097534397724e-07
1913,1.9992271305113718e-07
1914,2.477795089106394e-07
1915,2.2147832678953705e-07
1916,2.1425550444931218e-07
1917,2.544210451205231e-07
1918,2.2513296915604997e-07
1919,2.430871926528688e-07
1920,2.407969752482586e-07
1921,1.8326048156769303e-07
1922,2.0141763190650863e-07
1923,1.8047112426700096e-07
1924,2.5009750692639443e-07
1925,1.9796719907816396e-07
1926,2.0954740787004766e-07
1927,1.9845620746750114e-07
1928,1.965279059490399e-07
1929,2.161238823461531e-07
1930,1.9221594327323288e-07
1931,1.6423713855573396e-07
1932,2.2247858855184433e-07
1933,1.9156006514364776e-07
