year,sommes_VERB assez_ADV
1800,3.458580977167003e-07
1801,4.0480102825313224e-07
1802,2.8196785706313676e-07
1803,2.5354410126965377e-07
1804,3.5594652558756934e-07
1805,2.7860201612384117e-07
1806,3.342736079048336e-07
1807,2.3345032218458073e-07
1808,2.628645745517133e-07
1809,2.0331275152329908e-07
1810,3.814406568380946e-07
1811,2.281439890339243e-07
1812,3.0139452178445936e-07
1813,3.9397659179485345e-07
1814,2.989343386161636e-07
1815,3.3985017466875433e-07
1816,3.1519414278591285e-07
1817,3.144884317407559e-07
1818,2.7537919322639937e-07
1819,3.115665947461821e-07
1820,2.9072879215163994e-07
1821,4.753237305976654e-07
1822,3.9400669038514025e-07
1823,3.281052158854436e-07
1824,3.0905482617527014e-07
1825,3.7247025375108933e-07
1826,3.021138752501429e-07
1827,3.087786524247349e-07
1828,3.6138865766588424e-07
1829,2.803428458264534e-07
1830,4.352160658527282e-07
1831,4.11607828709748e-07
1832,3.504262053866114e-07
1833,4.51761508202253e-07
1834,3.7058086377328436e-07
1835,4.0084364627546165e-07
1836,4.308000711716886e-07
1837,3.8685874415023136e-07
1838,3.717863421570655e-07
1839,3.628575484526664e-07
1840,3.560655841283733e-07
1841,3.839488158519089e-07
1842,3.6492963317869e-07
1843,3.8749337250010285e-07
1844,4.0725123540141794e-07
1845,4.2242325548613735e-07
1846,3.4014652783298516e-07
1847,3.30065290654602e-07
1848,4.296148290450219e-07
1849,3.452318821928202e-07
1850,3.5710118595488893e-07
1851,4.1405397155358514e-07
1852,3.684968703510094e-07
1853,4.2579873138492985e-07
1854,4.187705542335607e-07
1855,3.003726476435986e-07
1856,3.380704640676413e-07
1857,3.7538805486292404e-07
1858,3.2298262908625475e-07
1859,3.9871716239758825e-07
1860,3.757868114462326e-07
1861,3.8906699728613603e-07
1862,4.314676971262088e-07
1863,3.5561700428843324e-07
1864,3.82619276706464e-07
1865,3.1206377570924815e-07
1866,3.800043657520291e-07
1867,3.527993897023407e-07
1868,3.398633339202206e-07
1869,3.613804153701494e-07
1870,4.346408957189851e-07
1871,3.9510780425189296e-07
1872,3.059953712636343e-07
1873,3.280330531651998e-07
1874,3.4951463590005005e-07
1875,3.461524045178521e-07
1876,3.397860268705699e-07
1877,3.3583549452487205e-07
1878,3.5207887094657053e-07
1879,4.032154663491383e-07
1880,3.420712175739027e-07
1881,3.7512091921598767e-07
1882,3.5273541243441286e-07
1883,3.4629977108124876e-07
1884,2.9509584464904037e-07
1885,2.610482567888539e-07
1886,3.09766278405732e-07
1887,2.7747930175792135e-07
1888,2.9927701916676597e-07
1889,3.23281057035274e-07
1890,3.1002247169453767e-07
1891,2.995883505718666e-07
1892,3.1593302196597506e-07
1893,2.703544907944888e-07
1894,2.7789789669441234e-07
1895,3.7857085999348783e-07
1896,2.724427474731783e-07
