year,dix_DET hôtes_NOUN,dix_DET côtes_NOUN
1800,0.0,3.772997558826319e-08
1801,0.0,1.904946067554647e-08
1802,0.0,8.503792514602537e-08
1803,0.0,7.606323038089613e-08
1804,0.0,7.168367943677367e-08
1805,0.0,5.970043304159844e-08
1806,0.0,4.610670600868616e-08
1807,0.0,7.117387923472052e-08
1808,0.0,1.1330369531492579e-08
1809,0.0,1.581321384946932e-08
1810,0.0,9.360507036149102e-09
1811,0.0,5.0141535368197765e-09
1812,0.0,1.0668832928217853e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,1.2586708564299443e-08
1815,0.0,2.6972236000233352e-08
1816,0.0,4.4034472068688046e-08
1817,0.0,1.1987924608547473e-07
1818,0.0,4.2916237674717195e-08
1819,0.0,1.1282644862831148e-07
1820,0.0,5.577246042776096e-08
1821,0.0,1.676452932031225e-08
1822,0.0,6.616906489398389e-08
1823,0.0,1.9765373338032077e-08
1824,0.0,4.21055617039201e-08
1825,0.0,1.47050897680856e-07
1826,0.0,4.492072136486058e-08
1827,0.0,6.359918103271411e-08
1828,0.0,4.586150481600271e-08
1829,0.0,3.0006116702452346e-08
1830,0.0,3.026682549034376e-08
1831,0.0,9.354723218280014e-09
1832,0.0,3.5177919244233635e-08
1833,0.0,2.6642345218874652e-08
1834,0.0,3.733812370398937e-09
1835,0.0,1.2100940693926532e-08
1836,0.0,2.4866775305554256e-08
1837,0.0,3.061472142462662e-08
1838,0.0,3.3454458758797045e-08
1839,0.0,6.9914749545318955e-09
1840,0.0,4.2039946634986336e-08
1841,0.0,4.8796167106957e-08
1842,0.0,1.8112315203211438e-08
1843,0.0,2.539971788451112e-08
1844,6.586273748609983e-09,1.701453911095996e-08
1845,0.0,1.562463758375543e-08
1846,0.0,2.751615646445771e-08
1847,0.0,2.1572894581822766e-08
1848,8.045221711050488e-10,1.528592097344017e-08
1849,0.0,2.011059585527164e-08
1850,0.0,2.1045888587423178e-08
1851,0.0,5.8044946626978344e-09
1852,0.0,7.812654523320361e-09
1853,0.0,2.329053394589664e-08
1854,0.0,8.832629738719788e-09
1855,5.306937111981824e-10,2.4411910715116392e-08
1856,5.177189232874468e-10,8.801221973442352e-09
1857,0.0,2.880090299584026e-08
1858,0.0,2.1042806497284516e-08
1859,0.0,6.110608019582742e-09
1860,1.373155145145688e-09,1.1442959635399319e-08
1861,0.0,8.017138064531082e-09
1862,0.0,4.337266945597662e-08
1863,4.994620828036034e-10,8.490855130105501e-09
1864,0.0,3.8837296933991183e-08
1865,0.0,1.6003271596787272e-08
1866,0.0,1.2650593461671633e-08
1867,0.0,1.7955402498159856e-08
1868,0.0,2.4699369660652337e-08
1869,0.0,2.24641887314192e-08
1870,0.0,2.408300403544672e-08
1871,0.0,4.248470730772169e-08
1872,0.0,1.9956219787786722e-08
1873,0.0,1.496501056408306e-08
1874,3.5847653734322193e-09,1.9716210886144836e-08
1875,0.0,1.4875970233418911e-08
1876,0.0,1.6324239737741664e-08
1877,0.0,3.216104360603822e-08
1878,0.0,9.662541655686141e-09
1879,0.0,1.1607718342077078e-08
1880,0.0,1.7969970400599777e-08
1881,0.0,2.5101027034679646e-08
1882,0.0,5.324308105514319e-09
1883,6.319338941018771e-10,7.583206784733676e-09
1884,0.0,2.0465259709112615e-08
1885,0.0,4.1896630276205826e-08
