year,aux_ADP ans_NOUN,aux_ADP camps_NOUN
1800,2.5153315874604232e-08,2.829747991484055e-08
1801,3.0955374485941434e-08,7.857902772911984e-08
1802,6.713520406265161e-08,8.727576528144709e-08
1803,9.751696339321825e-09,6.826187615160961e-08
1804,4.943701892301533e-09,6.179627121127851e-08
1805,1.1371510844071508e-08,4.264316544322355e-08
1806,7.204172636221529e-08,1.008584202821794e-07
1807,3.131650672116848e-08,1.0818429752035286e-07
1808,2.4926813502190726e-08,9.290903335568146e-08
1809,9.036122072814123e-09,1.2424668138777406e-07
1810,1.4040760554223652e-08,3.2761775070611066e-08
1811,8.774768645025688e-08,5.766276478524901e-08
1812,2.1337665856435706e-08,6.134578844907423e-08
1813,1.7254450312975678e-08,7.764502640839055e-08
1814,1.8880061958270744e-08,9.44003133440674e-08
1815,4.315557688983063e-08,5.933891866760632e-08
1816,2.3176038865813098e-08,3.244645441213834e-08
1817,1.5568734412774177e-08,3.269434145636296e-08
1818,2.6226590676969863e-08,1.7285706999103922e-07
1819,4.968504008218133e-08,3.001804538271813e-08
1820,1.6613073583471305e-08,6.526564444442329e-08
1821,1.0847637454958203e-08,1.3806084098177962e-07
1822,4.110502516141423e-08,1.744457165386848e-07
1823,1.1859224047228167e-08,1.6899395272051976e-07
1824,7.831634540877985e-08,1.372641396102381e-07
1825,2.0252518551089338e-08,1.4528981040484723e-07
1826,1.6735169472426037e-08,8.896064063179665e-08
1827,1.198245475064752e-08,9.770309605805494e-08
1828,1.9261833017480967e-08,2.2563861534763419e-07
1829,1.971830487779158e-08,1.1659519377760219e-07
1830,2.5048405571936883e-08,7.931995216203802e-08
1831,9.354723218280014e-09,7.951515157422762e-08
1832,2.3000947924067816e-08,1.0012177242835207e-07
1833,2.5483982257767934e-08,8.919394212103526e-08
1834,2.7070139907436896e-08,9.054494887195119e-08
1835,1.663879345414898e-08,1.1571524538567246e-07
1836,2.3522625958172227e-08,1.4785649682380608e-07
1837,1.2524203452102256e-08,1.2872098131833098e-07
1838,2.398621434807069e-08,1.5591039770335158e-07
1839,1.6080393461237463e-08,9.368576503465675e-08
1840,3.3759350870354865e-08,1.5414646115097241e-07
1841,8.988767952189392e-09,1.3354741357218813e-07
1842,1.609983613093391e-08,1.2946951066794554e-07
1843,3.366939316240547e-08,8.565021369921766e-08
1844,1.1525978838022866e-08,1.0428266561390842e-07
1845,1.0044410247989077e-08,1.1160456026004795e-07
1846,1.4050803187615202e-08,8.137757157022918e-08
1847,1.887628364727334e-08,1.4885297616729076e-07
1848,2.091757700384278e-08,1.2550545747114228e-07
1849,4.77626631578687e-08,1.7261595175455113e-07
1850,2.2403687793826066e-08,1.1066063532183534e-07
1851,1.805842853030981e-08,1.309236050683893e-07
1852,2.148479971708639e-08,1.0481977841259038e-07
1853,1.4332636411040767e-08,9.97312614714474e-08
1854,1.8184825922862302e-08,9.040456050435353e-08
1855,1.963566731433275e-08,1.0666943595083467e-07
1856,1.4496130074093116e-08,9.733115946541915e-08
1857,2.147864064383498e-08,1.0055908650219436e-07
1858,2.936205545367443e-08,1.0227783153737846e-07
1859,2.4442432078330967e-08,1.2170293905988672e-07
1860,2.8378539518314483e-08,7.598124990293442e-08
1861,2.640939672504672e-08,1.2355824657861447e-07
1862,2.93669109308059e-08,1.5496692729044526e-07
1863,2.697095197179422e-08,1.0538650219160672e-07
1864,2.828889567041415e-08,8.198984458029912e-08
1865,1.7415323849689912e-08,1.299089112949403e-07
1866,2.0435575009969398e-08,1.2601937121603513e-07
1867,2.329349513274792e-08,1.0967353780699796e-07
1868,1.6795571822214583e-08,1.2053292086644518e-07
1869,1.611561362135916e-08,9.083345575700008e-08
1870,1.0321287380321564e-08,1.2098842638863516e-07
1871,1.8056001360733376e-08,1.9542966045449361e-07
1872,1.6932550250814415e-08,1.3304145862758077e-07
1873,1.5563611732716254e-08,1.5922772500509552e-07
1874,2.569081986036892e-08,1.3980585311657023e-07
1875,3.71899266937703e-08,1.0642040670916231e-07
1876,3.5066884507273244e-08,1.5598718183795768e-07
1877,1.5462039648639347e-08,1.4534317871461866e-07
1878,3.200716980344964e-08,6.03908887342186e-08
1879,3.2990356002571275e-08,6.170418664908084e-08
1880,2.1820677709172287e-08,8.343199908722454e-08
1881,1.882577010947628e-08,1.6106492239931214e-07
1882,1.6638462163598433e-08,1.0848277920416649e-07
1883,2.0221884611260066e-08,1.1880357375648742e-07
1884,2.2445769687351458e-08,1.010059609285463e-07
