year,voulions_VERB analyser_VERB
1800,2.5153315874604232e-08
1801,0.0
1802,8.951360541686881e-09
1803,0.0
1804,7.4155526164076946e-09
1805,1.9900143755080535e-08
1806,1.4408345627714425e-08
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,0.0
1818,0.0
1819,7.24573512300708e-09
1820,9.493184904840746e-09
1821,0.0
1822,0.0
1823,2.9648061783404955e-09
1824,0.0
1825,1.4969252504215547e-08
1826,1.7615968683770689e-09
1827,1.013900075008678e-08
1828,9.172301140836225e-09
1829,1.714635211591542e-09
1830,9.39315203396518e-09
1831,2.3386808933878456e-08
1832,0.0
1833,0.0
1834,1.120143711119681e-08
1835,0.0
1836,1.0753200108126748e-08
1837,5.5663127440652715e-09
1838,8.2058102535143e-09
1839,5.5931801412612e-09
1840,6.369688665408546e-10
1841,9.630822361827995e-09
1842,1.542900918138912e-08
1843,8.860366662588604e-09
1844,8.781698035420504e-09
1845,3.348136878855712e-09
1846,2.3418005312692003e-09
1847,2.6966118227278457e-09
1848,9.65426583121598e-09
1849,2.262441967104678e-08
1850,5.431196825611551e-09
1851,7.739326512989919e-09
1852,0.0
1853,1.7915795513800958e-09
1854,2.5978321716024766e-09
1855,2.653468555990912e-09
1856,4.141751386299575e-09
1857,4.881508974818871e-09
1858,7.829881631948865e-09
1859,1.5276520048956854e-09
1860,3.204028820036342e-09
1861,5.187560159214399e-09
1862,3.162590411776023e-09
1863,6.493007020935693e-09
1864,5.274200631788517e-09
1865,1.0825742080555756e-08
1866,6.3252967308358166e-09
1867,1.261730986357179e-08
1868,1.975949626142892e-09
1869,5.860222973552709e-09
1870,5.160643912205387e-09
1871,1.0621176826930423e-08
1872,2.4189357183956872e-09
1873,6.584604861359367e-09
1874,3.5847653734322193e-09
1875,4.005069165202713e-09
1876,3.627608879952504e-09
1877,1.1751150275074451e-08
1878,4.831270938865373e-09
1879,4.27652757650776e-09
1880,6.417846254436199e-10
1881,1.324776466304911e-08
1882,3.3276925659464496e-09
1883,4.423537092179686e-09
1884,7.922036360241691e-09
1885,3.2228177904158883e-09
1886,3.872078213618124e-09
1887,9.793386546164129e-09
1888,1.014498351992188e-08
1889,3.759081934617825e-09
1890,2.6217545912032847e-09
1891,7.0116419337296065e-09
1892,5.014809900671935e-09
1893,1.2316833108982905e-09
1894,2.520615716150587e-09
1895,2.4074457982692365e-09
1896,3.5382172747233653e-09
1897,2.9133566670225264e-09
1898,1.13167097914868e-09
1899,0.0
1900,5.19105292084987e-09
1901,2.235495566438317e-09
1902,7.856454153909453e-09
1903,7.560307935250421e-09
1904,5.912087708281888e-09
1905,6.192911072844254e-09
1906,2.572092316910357e-09
1907,8.228549397415463e-09
1908,0.0
1909,1.1001967115120692e-09
1910,5.878565634276356e-09
1911,5.3203743632934675e-09
1912,8.856016364688912e-09
1913,5.833288518886093e-09
1914,0.0
1915,8.246533234057551e-09
1916,4.394984820521586e-09
1917,5.483212106582869e-09
1918,0.0
1919,7.366278698128781e-09
1920,3.028892692213958e-09
1921,9.087297137000405e-09
1922,5.902348387820666e-09
1923,5.307974060286824e-09
1924,0.0
1925,3.299453377181294e-09
1926,2.229227691330493e-09
1927,5.574612327308159e-09
1928,9.14083297942625e-09
1929,0.0
1930,4.201441416995522e-09
1931,1.2545892325022123e-08
1932,1.3151444377967891e-08
1933,6.882397318719313e-09
1934,5.990790086229936e-09
1935,4.787313656606784e-09
1936,2.424942913137329e-09
1937,6.295559185076627e-09
1938,2.5930428915188486e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,1.2852744646352221e-08
1945,0.0
1946,1.3921104269343232e-09
1947,2.3841741914054637e-09
1948,4.348755133776194e-09
1949,1.9634016634739737e-09
1950,2.1270722960764488e-09
1951,8.529121409139861e-09
1952,1.0544803918932644e-09
1953,1.0773827385790469e-09
1954,9.772536113672459e-10
1955,5.631364707880948e-09
1956,8.72114158667614e-10
1957,6.184526224473075e-09
1958,2.4816730892496253e-09
1959,1.007597205671118e-08
1960,1.3841666701708277e-09
1961,6.948159270159238e-10
1962,4.43936931660005e-09
1963,1.939815863494232e-09
1964,2.4335873316516654e-09
1965,1.6416130677043839e-09
1966,1.6617224263271169e-09
1967,3.451234853457663e-09
1968,1.3474247273492779e-09
1969,9.083515606356229e-10
1970,5.518470125309705e-09
1971,5.138397263237948e-09
1972,1.0260293725750103e-09
1973,6.064523994098181e-09
1974,1.6876715580593782e-09
1975,2.2845920710778955e-09
1976,5.713526984862938e-09
1977,2.938390863960194e-09
1978,5.940591130126904e-09
1979,9.948355028654987e-09
1980,3.97960553399912e-09
1981,3.1627747087981106e-09
1982,4.345251713999687e-09
1983,1.89459470334441e-09
1984,1.739702604197646e-09
1985,3.609334831011779e-09
1986,4.196139880008332e-09
1987,0.0
1988,4.197587610832443e-09
1989,2.1952488715726304e-09
1990,1.6345953479657283e-09
1991,1.7584396161396398e-09
1992,3.856960972825618e-09
1993,2.7696036575264316e-09
1994,6.329911705904578e-09
1995,5.422450821690461e-10
1996,5.338092190498855e-10
1997,9.58978896292706e-10
1998,1.9072516899143466e-09
1999,9.140402323914998e-10
2000,1.3254094488601709e-09
2001,3.943090742808408e-09
2002,2.1906108038649563e-09
2003,4.1669229178253886e-10
2004,1.3214374039449694e-09
2005,3.602999676388663e-09
2006,1.6471559671771274e-09
2007,2.3966877371606188e-09
2008,3.405951742863067e-09
2009,1.907277002999308e-09
2010,1.8895172093635892e-09
2011,1.1471915639660324e-09
2012,1.3617010852229328e-09
2013,1.6734750252211938e-09
2014,1.0827225782605865e-09
2015,1.994917786518613e-09
2016,3.314144070287739e-09
2017,1.0062445321423752e-09
2018,5.162933414126769e-10
2019,2.04079020349468e-09
