year,leurs_DET heures_NOUN,leurs_DET coeurs_NOUN
1800,1.2891074341325748e-07,5.250754604446684e-07
1801,8.572257526040516e-08,2.619300805140057e-07
1802,5.594600338554301e-08,2.7077865638602816e-07
1803,1.09218993626925e-07,3.822664993435865e-07
1804,1.359518086996303e-07,2.990939620417521e-07
1805,1.2224374756897305e-07,2.4164460121767206e-07
1806,7.492339726411501e-08,1.8154515935009385e-07
1807,1.9359294345377975e-07,2.1921555060089304e-07
1808,1.1783584952240744e-07,1.971484318019634e-07
1809,1.423189246452239e-07,2.417162709988929e-07
1810,1.5678848797051614e-07,3.884610411120093e-07
1811,1.3287506384074277e-07,1.2033967777824728e-07
1812,1.2535878601838135e-07,2.0537503786499656e-07
1813,9.777521592368998e-08,1.351598559740097e-07
1814,1.0069366851439554e-07,2.328541039986476e-07
1815,9.979726911524267e-08,3.695196388875388e-07
1816,7.648092648082638e-08,2.178547600095726e-07
1817,8.562803732736768e-08,2.3664476467288864e-07
1818,1.0252212234718172e-07,1.919309580156181e-07
1819,1.345636526650651e-07,1.4180938201491244e-07
1820,1.3053128622431132e-07,2.112233641327066e-07
1821,9.762873609542311e-08,1.883544262781811e-07
1822,1.59407292699143e-07,1.6442010064565693e-07
1823,1.8777104848766157e-07,1.5021684429683546e-07
1824,8.336901657912676e-08,1.5410635612056467e-07
1825,1.2063457122124532e-07,1.171123926724249e-07
1826,1.2419258199614092e-07,1.321197662385032e-07
1827,9.401618683568813e-08,1.4286773070137926e-07
1828,8.438517318243299e-08,1.3208113580631675e-07
1829,1.0459274601970492e-07,1.0973665620639395e-07
1830,1.0854309251406846e-07,7.618890141003476e-08
1831,1.8397622625343502e-07,1.0290196228446291e-07
1832,9.200379180729357e-08,8.523880978827947e-08
1833,2.328309358645697e-07,1.0772774539091756e-07
1834,1.6522120249717887e-07,1.1014746470472403e-07
1835,1.7697626475410289e-07,8.773182003096736e-08
1836,1.962458999749117e-07,8.736975187773055e-08
1837,2.0873672612609084e-07,9.04525836453729e-08
1838,1.8052782357891317e-07,1.0415066897806469e-07
1839,1.6989284734592047e-07,1.2864314080651695e-07
1840,1.7835127719134647e-07,6.624476184269312e-08
1841,2.093098752098399e-07,5.8426993465587884e-08
1842,1.5496091609890073e-07,7.244926214511338e-08
1843,2.2446262226694103e-07,6.14318766967159e-08
1844,1.860622252380928e-07,6.421616971508115e-08
1845,1.7466113871877909e-07,5.3570189728624484e-08
1846,1.7270779140154957e-07,5.034871009002018e-08
1847,1.6449332385093385e-07,5.4471557930924064e-08
1848,2.0756671925692416e-07,2.735375431717202e-08
1849,1.9440242171597788e-07,4.357295679824347e-08
1850,2.0366987740771947e-07,3.6660580349234806e-08
1851,1.2640899682558882e-07,4.6435957301582675e-08
1852,1.8034210880202295e-07,4.2318543780339724e-08
1853,2.0065691574977507e-07,3.702597650701023e-08
1854,1.7821129194572904e-07,4.104574796714999e-08
1855,1.7406753727300384e-07,4.5108965451845506e-08
1856,2.034635382397454e-07,3.986435626046614e-08
1857,2.0941674128138743e-07,2.8800903217884866e-08
1858,2.0113008125655085e-07,3.3766365703513657e-08
1859,2.3576762764321302e-07,4.888486504484035e-08
1860,2.114658939067482e-07,1.9224172476128842e-08
1861,2.381561667874621e-07,3.395494019287071e-08
1862,2.2544750843955796e-07,4.0661877476200203e-08
1863,2.3374826102484647e-07,3.995696573610985e-08
1864,2.579563611604385e-07,5.705726235927244e-08
1865,2.3722496145239802e-07,6.307171596109384e-08
1866,2.194391453547162e-07,5.108893452732133e-08
1867,2.513756260924538e-07,2.329349513274792e-08
1868,2.2278831846023195e-07,3.3097156237893444e-08
1869,2.3587397668389798e-07,3.613804200330861e-08
1870,1.7546189567951842e-07,5.103303291065231e-08
1871,1.4126166081318559e-07,4.5671062487429026e-08
1872,2.0137639766826254e-07,3.265563108811875e-08
1873,2.2986257253165832e-07,2.993002157225533e-08
1874,2.837939360733621e-07,4.122480201651513e-08
1875,1.859496260858684e-07,4.520006413599731e-08
1876,2.2309794722730203e-07,2.9020871039620033e-08
1877,2.473926326018727e-07,3.958282235316801e-08
1878,2.004977452951806e-07,4.408534776123574e-08
1879,2.3948555205599575e-07,3.0546626561545054e-08
1880,1.918936050060438e-07,2.7596738894075656e-08
1881,2.572855430926779e-07,1.9523021199674417e-08
1882,3.21455100760204e-07,4.39255403161809e-08
1883,2.388710070855282e-07,2.9700892412165558e-08
1884,2.356805763881198e-07,9.638477838080917e-08
1885,2.3010919636412552e-07,2.5137978920675152e-08
1886,2.2780727548799007e-07,2.516850983180774e-08
1887,2.7617352182929267e-07,7.965287962541368e-08
1888,2.5616084675661455e-07,3.423931871360253e-08
1889,2.637622570911269e-07,3.8843846972280716e-08
1890,2.6872985370296476e-07,2.1629475099871343e-08
1891,2.56881076743376e-07,3.442078744253507e-08
1892,2.733071322591485e-07,4.011847876128627e-08
1893,3.4548716626447984e-07,3.448713337128595e-08
1894,2.3630772494342978e-07,3.0247389037896255e-08
1895,3.177828538092342e-07,3.9120994221875094e-08
1896,2.6241780315405805e-07,3.007484788986048e-08
1897,2.8842231669656826e-07,4.020432275986252e-08
1898,2.5349430055054967e-07,2.3199254406414127e-08
1899,2.8135373320026247e-07,3.0954439012020885e-08
1900,2.8550792030568317e-07,2.8031686527540955e-08
1901,3.286178409389606e-07,2.7384821577047802e-08
1902,2.700656214216224e-07,2.5042448115186744e-08
1903,2.700110239839404e-07,2.1060859722865644e-08
1904,2.8969229148856357e-07,1.9886112312406112e-08
1905,3.106777046735232e-07,4.231822581246547e-08
1906,3.1945385658982417e-07,3.7552548404207187e-08
