year,soldats_NOUN couverts_ADJ
1800,3.144164484325529e-09
1801,1.1905912700171939e-08
1802,4.0281122437590966e-08
1803,3.90067853572873e-08
1804,3.213406074564773e-08
1805,2.2743021688143017e-08
1806,2.5935023018064385e-08
1807,5.97860605466849e-08
1808,4.985362878073829e-08
1809,3.388545621874073e-08
1810,2.3401266702194334e-08
1811,1.0028307073639553e-08
1812,5.3344164641089264e-09
1813,2.8757416448144113e-09
1814,3.4613449884091096e-08
1815,6.74305908887618e-08
1816,1.8540831092650478e-08
1817,2.1796227045456362e-08
1818,9.536941902865692e-09
1819,2.5877625375869684e-08
1820,7.475883023744245e-08
1821,1.4792232327920374e-08
1822,6.616906489398389e-08
1823,2.3718449426723964e-08
1824,1.6000115010683658e-08
1825,1.584979791857677e-08
1826,2.025836387531399e-08
1827,6.452091305675367e-09
1828,3.485474309172787e-08
1829,2.914879893012312e-08
1830,2.7135772739939057e-08
1831,6.236482441579483e-09
1832,6.764984572527055e-09
1833,1.1583628500844156e-09
1834,1.7735608537350345e-08
1835,1.5126175867408165e-08
1836,3.696412420595152e-08
1837,1.6003149028165353e-08
1838,3.976661844262708e-08
1839,1.2584655095793096e-08
1840,2.1019973317493168e-08
1841,8.346713542550788e-09
1842,1.0733224087289273e-08
1843,1.7130041385371442e-08
1844,1.6465683927435748e-08
1845,1.3950569588416784e-08
1846,1.4050803187615202e-08
1847,1.6718992412734224e-08
1848,1.045878850192139e-08
1849,1.1731181359664333e-08
1850,1.425689166723032e-08
1851,1.870337307252612e-08
1852,1.5625309046640723e-08
1853,8.957897534855874e-09
1854,5.195664343204953e-09
1855,1.0613874223963649e-08
1856,1.7084724746041502e-08
1857,6.345961978126979e-09
1858,1.0766087576996597e-08
1859,1.2221216039165483e-08
1860,1.6477862629926676e-08
1861,2.0750240636857598e-08
1862,1.7620147119146168e-08
1863,2.1476870060155306e-08
1864,1.0068928801842958e-08
1865,1.2708479601997169e-08
1866,1.0704348518686402e-08
1867,1.358787216076962e-08
1868,1.2349684830326169e-08
1869,3.125452252561445e-08
1870,1.0894693147633916e-08
1871,8.496941816815706e-09
1872,6.652073114565837e-09
1873,1.0774807712721213e-08
1874,8.961913877669758e-09
1875,3.432916173551348e-09
1876,1.209202959984168e-08
1877,3.710889595609501e-09
1878,1.2078177569208037e-08
1879,6.720257683667796e-09
1880,1.5402831010646878e-08
1881,2.7890030285249168e-09
1882,3.3276925659464496e-09
1883,1.3270612164717477e-08
1884,9.242375753615306e-09
1885,6.445635580831777e-09
1886,4.5174246565693466e-09
1887,1.1752064210668323e-08
1888,1.014498351992188e-08
1889,5.6386229019267375e-09
1890,5.243509182406569e-09
1891,1.2748440525456317e-08
1892,1.191017329205124e-08
1893,3.079208221734575e-09
1894,1.764431090123253e-08
1895,7.824199066419624e-09
1896,7.66613794667137e-09
1897,4.661370844871726e-09
1898,5.092519295146758e-09
1899,4.9748205555033564e-09
1900,3.633737311048435e-09
1901,1.117747761014698e-08
1902,5.892340837476695e-09
1903,5.400220270956879e-09
1904,1.0749250378694342e-08
1905,1.2901897328276846e-08
1906,3.0865106026567446e-09
1907,5.142843484406967e-09
1908,4.911389073214423e-09
1909,6.60118004702781e-09
1910,4.275320542035388e-09
1911,9.044636151145369e-09
1912,1.5628263128064646e-09
1913,5.302989602995467e-09
1914,1.3393487430235496e-09
1915,2.238344798399794e-08
1916,2.307367097387214e-08
1917,1.315970976634162e-08
1918,4.594550517822427e-09
1919,4.603924352863942e-09
1920,8.329454459499175e-09
1921,3.0290989716519334e-09
1922,2.2133805899215986e-09
1923,3.1847844361720945e-09
1924,1.0313299547703991e-08
1925,7.698724324711748e-09
1926,2.229227691330493e-09
1927,1.4493992672726108e-08
1928,4.570416489713125e-09
1929,1.1140406375176326e-09
1930,5.2518016602221e-09
1931,2.2810713318222042e-09
1932,5.4797681947604815e-09
1933,4.588264879146209e-09
1934,2.3963160344919743e-09
1935,0.0
1936,8.487299751891442e-09
1937,7.554670666820584e-09
1938,5.186085783037697e-09
1939,0.0
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,0.0
1943,0.0
1944,0.0
1945,2.178504043826024e-09
1946,5.568441707737293e-09
1947,2.3841741914054637e-09
1948,3.2615663503321457e-09
1949,9.817008539414473e-09
1950,7.444753258312176e-09
1951,5.330700769690111e-09
1952,0.0
1953,2.1547654771580937e-09
1954,5.863521668203475e-09
1955,1.8771215692936494e-09
1956,2.616342476002842e-09
1957,4.417518795207798e-09
1958,2.4816730892496253e-09
1959,4.650448914844674e-09
1960,4.152500121534786e-09
