year,tes_DET heures_NOUN,tes_DET coeurs_NOUN
1800,1.5720822421627645e-08,3.144164484325529e-09
1801,1.904946067554647e-08,2.3811825844433088e-09
1802,2.2378401354217203e-09,0.0
1803,1.3652374342143503e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877755426798e-08,0.0
1806,6.916005812485082e-08,0.0
1807,8.540865348294346e-09,0.0
1808,6.798221985349073e-09,0.0
1809,1.129515236897305e-08,2.259030518203531e-09
1810,7.020380277111826e-09,0.0
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,1.0668832484128643e-08,2.6672082320544632e-09
1813,1.7254450312975678e-08,0.0
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,8.091670444798638e-09,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,1.0898113522728181e-08,0.0
1818,1.0729059418679299e-08,0.0
1819,5.175524897538253e-09,1.035105001712111e-09
1820,2.254631326081835e-08,0.0
1821,3.648750634965836e-08,0.0
1822,2.4061478143266868e-08,0.0
1823,8.894418312976882e-09,0.0
1824,5.052667617633233e-09,8.421112696055388e-10
1825,7.924898959288385e-09,8.805443041381977e-10
1826,2.1139162309502524e-08,1.7615968683770689e-09
1827,8.295545583791863e-09,0.0
1828,2.109629271274116e-08,4.586150570418113e-09
1829,8.57317605795771e-10,8.57317605795771e-10
1830,1.878630406793036e-08,2.0873671680021744e-09
1831,1.5591206548037917e-08,0.0
1832,2.976593294068408e-08,0.0
1833,5.791814361444381e-09,0.0
1834,3.640467127752345e-08,0.0
1835,3.479020449503878e-08,0.0
1836,2.083432448785061e-08,6.720750067579218e-10
1837,2.5048407792382932e-08,1.3915781860163179e-09
1838,1.009945949093094e-08,0.0
1839,1.328380283549535e-08,0.0
1840,8.917564464638872e-09,0.0
1841,2.3113975622379712e-08,0.0
1842,1.677066219230028e-08,0.0
1843,1.9492807368237663e-08,5.906911071384968e-10
1844,1.0428266361550698e-08,0.0
1845,1.6182660544927785e-08,0.0
1846,2.5174356377277718e-08,5.854501328173001e-10
1847,2.0494250740910047e-08,0.0
1848,4.827132860096839e-09,0.0
1849,1.3407064125559032e-08,0.0
1850,1.1541293254424545e-08,0.0
1851,5.8044946626978344e-09,0.0
1852,1.1067927463415117e-08,0.0
1853,1.4332635966951557e-08,0.0
1854,1.5586993307170616e-08,5.195664454227256e-10
1855,1.8043586180738203e-08,0.0
1856,1.2425254325432178e-08,5.177189232874468e-10
1857,3.368241197065913e-08,0.0
1858,2.104280705239603e-08,4.893676019968041e-10
1859,3.0553040319958313e-08,5.092173349652285e-10
1860,2.2428201018609428e-08,4.577183909670879e-10
1861,2.5466203923407704e-08,9.431927461278633e-10
1862,2.1234535907410645e-08,0.0
1863,2.7470414054597825e-08,4.994620828036034e-10
1864,3.404256776473602e-08,4.794727948009836e-10
1865,2.7299697724636474e-08,0.0
1866,1.0704348518686402e-08,0.0
1867,1.3102591012170706e-08,0.0
1868,6.915823802522425e-09,0.0
1869,1.2697149442963962e-08,0.0
1870,2.3509600044491208e-08,0.0
1871,7.434824311758348e-09,0.0
1872,2.4189356961912267e-08,0.0
1873,1.9155214636690232e-08,0.0
1874,1.732636717433067e-08,0.0
1875,2.1741802469499305e-08,0.0
1876,6.04601479992084e-09,6.04601479992084e-10
1877,1.669900340228736e-08,0.0
1878,2.8987625577681086e-08,0.0
1879,1.7717043832021773e-08,3.0546627449723474e-09
1880,1.2835692064783188e-08,0.0
1881,1.882577094214355e-08,0.0
1882,2.6621540305526992e-08,0.0
1883,2.2749619355000306e-08,0.0
1884,2.178560087884307e-08,0.0
1885,1.353583467533781e-08,1.2891271383708158e-09
1886,1.3552274580330703e-08,0.0
1887,1.8933882017790893e-08,0.0
1888,1.2047167707862627e-08,0.0
1889,1.3156787381785051e-08,0.0
1890,1.5075088732885433e-08,0.0
1891,1.2748439970344805e-08,0.0
1892,7.522214628963297e-09,0.0
1893,2.155445777418663e-08,0.0
1894,1.4493540811955086e-08,0.0
1895,1.6852119699706236e-08,0.0
1896,2.3588115738437665e-08,0.0
1897,2.4472196047398143e-08,0.0
1898,1.6975064021096387e-08,0.0
1899,2.7085134135518274e-08,5.527578395003729e-10
1900,1.5054053892349373e-08,5.191053142894475e-10
1901,1.8442838478627266e-08,0.0
1902,1.1293652624200234e-08,4.910283846193408e-10
1903,2.2140903110923205e-08,5.400220270956879e-10
1904,2.6873125946735854e-08,0.0
1905,2.4771643791776654e-08,0.0
1906,3.652371088902484e-08,0.0
1907,2.828563872014911e-08,1.5428529565042481e-09
