year,gradins_NOUN couverts_ADJ
1800,3.458580977167003e-08
1801,1.1905912700171939e-08
1802,1.1189200677108602e-08
1803,2.145373123596528e-08
1804,0.0
1805,1.1371510844071508e-08
1806,0.0
1807,0.0
1808,9.064295980465431e-09
1809,0.0
1810,1.8721014072298203e-08
1811,4.763445815569867e-08
1812,8.00162425207418e-09
1813,1.1502966579257645e-08
1814,3.1466771410748606e-09
1815,0.0
1816,2.3176038865813098e-09
1817,7.784366928831332e-09
1818,1.1921177378582115e-09
1819,1.0351049795076506e-08
1820,5.933240565525466e-09
1821,2.9584463767662328e-09
1822,8.02049271442229e-09
1823,2.075364236020505e-08
1824,1.1789557774477544e-08
1825,9.68598712347557e-09
1826,1.8496766784892316e-08
1827,7.373818444733615e-09
1828,1.1006761724274838e-08
1829,1.5431716349212365e-08
1830,3.1310507520032616e-09
1831,1.870944643656003e-08
1832,5.411987746839486e-09
1833,0.0
1834,1.120143711119681e-08
1835,1.2100940693926532e-08
1836,2.016224964762614e-09
1837,6.957891152126194e-09
1838,8.2058102535143e-09
1839,6.9914751765765e-10
1840,3.1848443882154243e-09
1841,5.778493683550323e-09
1842,3.3541325272778977e-09
1843,3.5441467538532834e-09
1844,4.390849017710252e-09
1845,1.1160455892778032e-09
1846,1.7563503984519002e-09
1847,1.0786447290911383e-09
1848,3.218088684420195e-09
1849,1.0893239199560867e-08
1850,1.1541293254424545e-08
1851,1.9348316726564008e-08
1852,1.9531636308300904e-09
1853,1.0152284346531815e-08
1854,1.558699391779328e-09
1855,4.776243400783642e-09
1856,5.177189232874468e-10
1857,4.393358121745905e-09
1858,1.468102750479261e-09
1859,4.582956236731661e-09
1860,6.408057640072684e-09
1861,9.431927461278633e-10
1862,1.3553959066214816e-09
1863,6.99246927027275e-09
1864,3.3563094525845827e-09
1865,1.882737743486018e-09
1866,2.919367858567057e-09
1867,1.1161466417775046e-08
1868,1.1855697756857353e-08
1869,1.0255390314739543e-08
1870,5.734048791339319e-09
1871,1.0621177271019633e-09
1872,0.0
1873,1.1972008939764578e-09
1874,1.1949218281515073e-09
1875,8.010138330405425e-09
1876,5.441413541973361e-09
1877,3.0924081073635534e-09
1878,4.831270938865373e-09
1879,9.774920428640144e-09
1880,6.417846254436199e-10
1881,6.972507571312292e-10
1882,6.655385131892899e-10
1883,5.0554711528150165e-09
1884,2.6406787867472303e-09
1885,1.2891271383708158e-09
1886,0.0
1887,1.3057849246322917e-09
1888,1.268122939990235e-09
1889,3.132568426877924e-09
1890,5.898947996740844e-09
1891,5.099376032546843e-09
1892,6.268512375839919e-09
1893,4.310891643655168e-09
1894,1.8904617871129403e-09
1895,2.4074457982692365e-09
1896,9.435246361988447e-09
1897,7.574727511894253e-09
1898,2.26334195829736e-09
1899,1.6582735185011188e-09
1900,6.748368974740515e-09
1901,4.470991132876634e-09
1902,2.455141867585553e-09
1903,7.560307935250421e-09
