year,buissons_NOUN couverts_ADJ
1800,0.0
1801,0.0
1802,1.3427040812530322e-08
1803,1.950339223455444e-09
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,9.036122072814123e-09
1810,0.0
1811,3.259199843341776e-08
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,8.091670444798638e-09
1816,4.6352077731626196e-09
1817,1.556873407970727e-09
1818,1.0729059418679299e-08
1819,1.0351049795076506e-08
1820,7.119888678630559e-09
1821,1.3806083387635226e-08
1822,1.0025615893027862e-09
1823,8.894418535021487e-09
1824,3.3684450784221553e-09
1825,1.7610886082763955e-09
1826,7.927186018719112e-09
1827,9.217273055917019e-10
1828,2.7516904310687096e-09
1829,0.0
1830,6.262101504006523e-09
1831,0.0
1832,4.058990921151917e-09
1833,1.0425265983826648e-08
1834,1.120143711119681e-08
1835,1.5126175867408165e-09
1836,9.409050427677812e-09
1837,1.8090515752078318e-08
1838,3.1560809521380406e-09
1839,2.7965900706306e-09
1840,5.732719632334238e-09
1841,8.988767952189392e-09
1842,4.024959032733477e-09
1843,2.953455480181333e-09
1844,1.097712254427563e-09
1845,3.348136878855712e-09
1846,2.9272506640865004e-09
1847,4.853901280910122e-09
1848,1.6090443422100975e-09
1849,7.54147322368226e-09
1850,4.073397619208663e-09
1851,1.1608989325395669e-08
1852,4.557382027314816e-09
1853,2.388772735173461e-09
1854,1.506742641765868e-08
1855,5.306937111981824e-09
1856,4.141751386299575e-09
1857,1.122747050885664e-08
1858,3.4255731584664773e-09
1859,1.018434669930457e-09
1860,6.865775947773045e-09
1861,1.3204698667834691e-08
1862,1.8071945051545413e-09
1863,1.9978483312144135e-09
1864,3.3563094525845827e-09
1865,6.589582213223366e-09
1866,5.838735717134114e-09
1867,4.367530337390235e-09
1868,4.44588676984381e-09
1869,7.813630631403612e-09
1870,1.7202146374017957e-09
1871,3.18635318130589e-09
1872,2.4189357183956872e-09
1873,1.7958012854535355e-09
1874,4.779687312606029e-09
1875,5.721527140956084e-10
1876,0.0
1877,6.184815992682502e-10
1878,1.6305540029293297e-08
1879,1.832797580370027e-09
1880,4.492492600149944e-09
1881,2.7890030285249168e-09
1882,5.989846840748214e-09
1883,1.0110942305630033e-08
1884,3.9610181801208455e-09
1885,7.090199094506033e-09
1886,1.936039106809062e-09
1887,4.570247291724172e-09
1888,6.340614699951175e-09
1889,7.51816386923565e-09
1890,2.6217545912032847e-09
1891,2.5496880162734215e-09
1892,6.8953633913793055e-09
1893,6.15841644346915e-09
1894,3.780923574225881e-09
1895,2.4074457982692365e-09
1896,0.0
1897,5.2440420894583895e-09
1898,7.921697076085366e-09
1899,7.738609753005221e-09
1900,1.5573159428683425e-09
1901,5.588738916095792e-10
1902,1.4730852093691738e-09
1903,4.320176216765503e-09
1904,1.0749250378694342e-09
1905,2.580379465655369e-09
1906,1.0288369045596824e-09
1907,5.142843373384665e-10
