year,ayons_VERB omis_VERB,ayons_VERB commis_VERB
1800,4.087413785214267e-08,0.0
1801,0.0,9.524730337773235e-09
1802,2.2378401354217203e-09,6.713520406265161e-09
1803,0.0,1.950339223455444e-09
1804,2.4718509461507665e-09,0.0
1805,1.421438877713399e-08,2.842877711017877e-09
1806,5.76333825108577e-09,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,4.5321479902327155e-09
1809,2.259030518203531e-09,2.259030518203531e-09
1810,0.0,1.8721014072298203e-08
1811,0.0,0.0
1812,0.0,0.0
1813,1.4378708002027452e-08,2.8757416448144113e-09
1814,2.2026739543434815e-08,6.293354282149721e-09
1815,2.697223555614414e-09,1.0788894222457657e-08
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,0.0,7.784366928831332e-09
1818,0.0,0.0
1819,1.035105001712111e-09,6.210630232317271e-09
1820,4.746592452420373e-09,0.0
1821,1.97229765852569e-09,2.9584463767662328e-09
1822,0.0,1.1028177482330648e-08
1823,0.0,9.882686891060644e-10
1824,1.431589158329416e-08,0.0
1825,3.522177216552791e-09,4.4027217427355936e-09
1826,1.4973572604048968e-08,1.7615968683770689e-09
1827,5.530363722527909e-09,2.3964910056406552e-08
1828,9.172301251858528e-10,2.8434133270138773e-08
1829,6.001223074036943e-09,4.286587973467704e-09
1830,1.0436835840010872e-09,0.0
1831,0.0,7.795603274018958e-09
1832,0.0,4.058990921151917e-09
1833,0.0,1.3900354645102198e-08
1834,0.0,1.120143711119681e-08
1835,3.781543966852041e-09,3.025235173481633e-09
1836,0.0,3.36037508930076e-09
1837,6.957890930081589e-10,1.1828414692161004e-08
1838,1.2624323808552163e-09,1.8936485712828244e-09
1839,1.2584655095793096e-08,1.2584655095793096e-08
1840,1.2739377330817092e-09,2.1019973317493168e-08
1841,5.1364388298225094e-09,1.2841097074556274e-08
1842,5.366612043644636e-09,2.0124795163667386e-09
1843,6.497602011990011e-09,2.953455480181333e-09
1844,4.390849017710252e-09,7.1351298203126134e-09
1845,9.48638767539478e-09,1.674068350610014e-08
1846,2.9272506640865004e-09,1.2294452567118697e-08
1847,9.168480197274675e-09,2.1572894581822766e-09
1848,5.63165514222419e-09,8.045221711050488e-10
1849,1.005529792763582e-08,0.0
1850,7.467895635215882e-09,6.788996032014438e-09
1851,2.579775504329973e-09,1.2253933867611977e-08
1852,6.510545436100301e-09,6.510545436100301e-09
1853,0.0,1.7915795513800958e-09
1854,1.1430461910322265e-08,1.3508727469968562e-08
1855,4.2455496895854594e-09,4.776243400783642e-09
1856,1.501384794266869e-08,1.346069211649592e-08
1857,3.4170564155999728e-09,1.2203773103180993e-08
1858,6.8511463169329545e-09,4.893676130990343e-09
1859,3.5645213447565993e-09,2.036869339860914e-09
1860,4.577183909670879e-10,5.950338888283113e-09
1861,4.715963619617014e-09,8.488735048217677e-09
1862,3.162590411776023e-09,6.325180823552046e-09
1863,1.4484400345793347e-08,4.495158911765884e-09
1864,5.274200631788517e-09,3.835782358407869e-09
1865,9.88437331983505e-09,5.6482134525026595e-09
1866,2.432806400776144e-09,8.271541673821048e-09
1867,4.367530337390235e-09,6.308654931785895e-09
1868,1.2843672791973404e-08,4.939874287401835e-09
1869,3.906815315701806e-09,4.395167341186834e-09
1870,5.160643912205387e-09,4.013834153937523e-09
1871,0.0,1.1683295220166201e-08
1872,6.047339295989218e-10,1.6327815544059376e-08
1873,2.9930022904522957e-09,2.3944017879529156e-09
1874,2.9873046258899194e-09,1.9118749250424116e-08
1875,8.58229043387837e-09,5.149374260327022e-09
1876,4.836811839936672e-09,1.813804439976252e-09
1877,1.2369632429454214e-08,5.566334504436554e-09
1878,1.8117265465633636e-09,6.039088673581716e-10
1879,7.94212251520321e-09,1.9549840857280287e-08
1880,1.2835692508872398e-09,8.343199908722454e-09
1881,6.972507571312292e-10,2.719277958362909e-08
1882,3.3276925659464496e-09,9.983077475794744e-09
1883,2.5277355764075082e-09,1.2638677659992936e-08
1884,3.300848483434038e-09,6.601696966868076e-10
1885,3.86738152613475e-09,3.86738152613475e-09
1886,1.2906927748801422e-09,1.0325542199041138e-08
1887,9.793386546164129e-09,9.793386546164129e-09
1888,5.706553452000662e-09,1.2047167707862627e-08
1889,7.51816386923565e-09,5.6386229019267375e-09
1890,1.3108772956016423e-09,4.5880703680722945e-09
1891,3.1871101313640793e-09,8.286486163910922e-09
1892,0.0,6.268512375839919e-09
1893,1.847525021858587e-09,0.0
1894,6.301539290376468e-10,3.780923574225881e-09
1895,6.018614495673091e-10,1.8055843487019274e-09
1896,0.0,1.1794058174530164e-08
1897,1.1653427112179315e-09,2.9133566670225264e-09
1898,2.8291773368493978e-09,5.092519295146758e-09
1899,1.1055156790007459e-09,1.879376654301268e-08
1900,1.038210628578895e-09,3.633737311048435e-09
1901,5.58873880507349e-09,8.941982265753268e-09
1902,0.0,1.9641135384773634e-09
1903,3.7801539676252105e-09,9.1803746826713e-09
1904,1.6123875568041512e-09,1.0211787859759625e-08
1905,1.0321518084666081e-09,3.096455536422127e-09
1906,1.5432553013283723e-09,2.0576738091193647e-09
1907,2.057137349353866e-09,6.685696440911215e-09
1908,5.893666887857307e-09,4.911389073214423e-10
1909,1.6502950117569526e-09,5.5009836685826485e-09
1910,0.0,6.947395991829808e-09
1911,2.128149656499545e-09,4.788336838146279e-09
1912,0.0,2.0837684910901544e-09
1913,2.6514948014977335e-09,1.060597942803554e-09
1914,6.696743715117748e-10,9.37544086809794e-09
1915,1.1780761921542648e-09,1.4136913861761968e-08
1916,1.0987462051303964e-09,6.592477230782379e-09
1917,0.0,1.5352993543160665e-08
1918,0.0,1.1486376294556067e-08
1919,2.762354567309444e-09,9.207848372660976e-10
1920,3.786115865267448e-09,1.514446346106979e-09
1921,4.543648568500203e-09,2.2718242842501013e-09
1922,0.0,4.426761179843197e-09
1923,2.1231896241147297e-09,4.246379248229459e-09
1924,2.578324886925998e-09,2.578324886925998e-09
1925,1.0998177923937646e-09,5.499089184013428e-09
