year,bords_NOUN ouverts_ADJ,bords_NOUN couverts_ADJ
1800,0.0,3.144164395507687e-08
1801,0.0,9.524730337773235e-09
1802,0.0,8.951360541686881e-09
1803,0.0,4.095712213825209e-08
1804,0.0,7.662737999680758e-08
1805,2.842877711017877e-09,1.7057265822018053e-08
1806,0.0,2.0171682990621775e-08
1807,0.0,9.679647661187119e-08
1808,0.0,2.2660739062985158e-08
1809,0.0,4.743964154840796e-08
1810,0.0,4.44624070894406e-08
1811,2.0056614147279106e-08,1.504245972228091e-08
1812,0.0,2.9339290108509886e-08
1813,0.0,7.189353823378042e-08
1814,0.0,4.405347908686963e-08
1815,0.0,1.3486118000116676e-08
1816,0.0,6.489290882427667e-08
1817,0.0,1.401186100480345e-08
1818,0.0,2.5034472272977837e-08
1819,0.0,1.9666995143552413e-08
1820,1.0679833017945839e-08,2.966620371580575e-08
1821,0.0,1.0847637454958203e-08
1822,0.0,2.4061478143266868e-08
1823,0.0,2.3718449426723964e-08
1824,0.0,3.789500624407083e-08
1825,0.0,2.1133063299316746e-08
1826,7.0463874735082754e-09,6.34174881497529e-08
1827,0.0,2.1199728195142598e-08
1828,0.0,8.255071293206129e-09
1829,1.714635211591542e-09,2.2290258527846163e-08
1830,0.0,1.878630406793036e-08
1831,0.0,1.7150327380477393e-08
1832,0.0,1.2176972319366541e-08
1833,5.791814139399776e-09,2.548398292390175e-08
1834,0.0,2.240287422239362e-08
1835,0.0,1.5126175867408165e-08
1836,6.720750067579218e-10,1.68018754465038e-08
1837,3.478945576063097e-09,1.6698937344017395e-08
1838,1.5149188570262595e-08,1.3255539776935166e-08
1839,0.0,1.5381244722334486e-08
1840,0.0,1.4013314952876499e-08
1841,0.0,1.6693427085101575e-08
1842,0.0,1.408735705865638e-08
1843,4.134837805480629e-09,7.678984559333912e-09
1844,0.0,4.9397050894128824e-09
1845,0.0,9.48638767539478e-09
1846,2.3418005312692003e-09,1.2294452567118697e-08
1847,0.0,1.1325769655456952e-08
1848,0.0,2.574470947536156e-08
1849,0.0,5.865590679832167e-09
1850,0.0,1.6293590476834652e-08
1851,0.0,8.384270167027807e-09
1852,2.6042181744401205e-09,2.9948509450150596e-08
1853,0.0,1.1346670270029335e-08
1854,1.0391328908454511e-09,7.27393034694046e-09
1855,0.0,1.3798036491152743e-08
1856,0.0,1.8120163147727908e-08
1857,0.0,1.3668225662399891e-08
1858,0.0,6.8511463169329545e-09
1859,0.0,1.2221216039165483e-08
1860,0.0,1.876645328025006e-08
1861,0.0,5.659156698811785e-09
1862,0.0,8.584174260306554e-09
1863,0.0,7.991393324857654e-09
1864,0.0,7.671564716815737e-09
1865,0.0,8.001635798393636e-09
1866,0.0,1.3137154475373336e-08
1867,0.0,1.067618526917613e-08
1868,0.0,1.679557115608077e-08
1869,0.0,1.70923168951731e-08
1870,0.0,7.454262984651905e-09
1871,0.0,7.434824311758348e-09
1872,0.0,1.9956219787786722e-08
1873,1.1972008939764578e-09,6.584604861359367e-09
1874,5.974609140757536e-10,8.961913877669758e-09
1875,0.0,1.4875970677508121e-08
1876,0.0,2.5997863417615008e-08
