year,plusieurs_DET anneaux_NOUN,plusieurs_DET canaux_NOUN
1800,2.200915076855381e-07,2.892631258966105e-07
1801,2.1906879510424915e-07,1.857322473597378e-07
1802,2.4616241489638924e-07,3.9162202369880106e-07
1803,4.446773367305923e-07,4.836841447364293e-07
1804,1.6314216177981677e-07,4.820109236192138e-07
1805,1.2224374379421477e-07,8.244345186536606e-07
1806,1.5849180101668026e-07,2.5070521569858784e-07
1807,1.1672516109229036e-07,4.46971957224207e-07
1808,1.0650547466184435e-07,4.2375582509635024e-07
1809,1.987946802728402e-07,2.6656560070392743e-07
1810,1.9657065308820165e-07,2.7847507855227605e-07
1811,1.3788921648938413e-07,5.61585217440097e-07
1812,1.0935553973467904e-07,4.880990971400934e-07
1813,7.189353823378042e-08,2.1280488238240025e-07
1814,4.090680150170556e-08,3.304011002569496e-07
1815,1.1328339155625144e-07,2.616306851166428e-07
1816,2.201723674488676e-07,1.8077310315334216e-07
1817,1.5724421587037796e-07,3.207159160467654e-07
1818,1.3709353652302525e-07,2.586895480050089e-07
1819,1.0247539705687814e-07,2.939698093840093e-07
1820,5.814575754214957e-08,2.4800946807346236e-07
1821,7.790575695665325e-08,2.3963416140304616e-07
1822,7.017931125119503e-08,1.5639960793123464e-07
1823,1.096978223813494e-07,1.8085317332605655e-07
1824,9.094802067011187e-08,2.5431759009819643e-07
1825,6.251864870243651e-08,2.659243918401444e-07
1826,6.694067877788257e-08,2.5983554241548745e-07
1827,4.792982133405843e-08,2.774399314731113e-07
1828,1.008953110503974e-07,2.91679166153358e-07
1829,6.85854093518401e-08,4.921003240454525e-07
1830,1.6490200493990415e-07,1.680330556919074e-07
1831,6.860130752350813e-08,2.3854545538881666e-07
1832,1.0282776508052649e-07,1.7183061329362204e-07
1833,7.876867158529421e-08,3.231832454986261e-07
1834,1.3255033870507305e-07,2.8376975258481707e-07
1835,1.1117739262545001e-07,3.547088383015762e-07
1836,6.653542494738929e-08,1.794440196434266e-07
1837,6.95789097449051e-08,2.435261894362384e-07
1838,9.02639172295494e-08,2.9162188930342836e-07
