year,avez_VERB osé_VERB,avez_VERB causé_VERB
1800,1.0690159513160324e-07,5.65949598296811e-08
1801,9.28661236798689e-08,6.429193177837078e-08
1802,1.208433673127729e-07,4.923248297927785e-08
1803,9.55666195068261e-08,7.996391104825307e-08
1804,4.2021465418429216e-08,1.557266102736321e-07
1805,6.254330742194725e-08,3.980028751016107e-08
1806,1.3832011802605848e-07,4.8988376022407465e-08
1807,1.1387820109121094e-07,4.555128185756985e-08
1808,9.517511045942229e-08,5.211970233176544e-08
1809,1.0391540428145163e-07,6.09938268780752e-08
1810,6.786367379163494e-08,1.0296557917399696e-07
1811,3.5099073869560016e-08,3.760615285841595e-08
1812,8.801787032552966e-08,4.267533171287141e-08
1813,4.3136125782439194e-08,4.601186631703058e-08
1814,1.7306724942045548e-07,4.090680150170556e-08
1815,9.710004889029733e-08,6.74305908887618e-08
1816,9.733936678912869e-08,4.8669683394564345e-08
1817,1.120948880384276e-07,2.80237220096069e-08
1818,1.192117764503564e-07,2.026600220972341e-08
1819,1.2938812687934842e-07,5.175525075173937e-08
1820,9.611849804969097e-08,6.645229433388522e-08
1821,2.2878653282987216e-07,7.100271659510327e-08
1822,1.9449694832474052e-07,7.819980396561732e-08
1823,1.3045146829426812e-07,2.569498569471307e-08
1824,1.684222468156804e-07,5.136878655775945e-08
1825,8.277116592125822e-08,5.899646993157148e-08
1826,9.512623222462935e-08,6.253669226907732e-08
1827,1.0784209791836474e-07,7.742509211539073e-08
1828,1.2382606939809193e-07,3.760643352279658e-08
1829,7.030004667285539e-08,7.715858174606183e-08
1830,1.5446516954398248e-07,5.218418053232199e-08
1831,1.933309619062129e-07,6.548306430431694e-08
1832,1.7994858581005246e-07,4.464889968858188e-08
1833,1.1931138033105526e-07,5.09679658478035e-08
1834,1.1294782353843402e-07,4.29388435918554e-08
1835,1.2630357559828553e-07,6.126101226300307e-08
1836,7.796069922960669e-08,5.2421849972006385e-08
1837,1.1758835682940116e-07,3.270208637218275e-08
1838,1.0162580821315714e-07,3.092959488526503e-08
1839,8.249940464111205e-08,4.754203075663099e-08
1840,1.1656530318759906e-07,4.0129037870428874e-08
1841,1.2969508134119678e-07,6.934192242624704e-08
1842,9.056157779241403e-08,3.8237111255057243e-08
1843,1.1341269612330507e-07,3.307870244384503e-08
1844,9.220782715146925e-08,7.190015338665035e-08
1845,1.0937246486264485e-07,4.408380149811819e-08
1846,7.845032001796426e-08,3.8639708321852595e-08
1847,6.957258591455684e-08,7.442648808364538e-08
1848,7.401604307233356e-08,3.861706332486392e-08
1849,8.379414850878675e-08,4.9438547478075634e-08
1850,1.1744963046567136e-07,5.499086697113853e-08
1851,9.158203084780325e-08,2.96674187438839e-08
1852,7.877760310748272e-08,4.7526981461487594e-08
1853,9.316213578358656e-08,6.449686651421871e-08
1854,8.105236304345453e-08,2.909572138776184e-08
1855,7.16436545644683e-08,5.041590256382733e-08
1856,1.0561466012859455e-07,6.005539177067476e-08
1857,8.786716421127494e-08,3.758761835115365e-08
1858,1.2772494528690004e-07,7.38945047373818e-08
1859,7.027199444564758e-08,4.124660435422811e-08
1860,7.23195086038686e-08,5.858795404378725e-08
1861,5.847795137015055e-08,4.480165571862926e-08
1862,5.46676339752139e-08,4.879425219428413e-08
1863,6.193329937786984e-08,4.694943456229339e-08
1864,9.301772507797068e-08,5.657778956447146e-08
1865,9.601962602800995e-08,4.89511826629041e-08
1866,7.444387506438943e-08,5.1088935748566655e-08
1867,7.861554252031056e-08,5.968958305402339e-08
1868,6.224241388963492e-08,4.2482916740027576e-08
1869,9.327521865998278e-08,6.934597251984087e-08
1870,8.085008573743835e-08,6.651496420317926e-08
1871,1.0939812256083314e-07,3.823623728749226e-08
1872,8.768641635015229e-08,4.4145576083565174e-08
1873,9.517746946130501e-08,3.8909028887701425e-08
1874,8.244960270076263e-08,6.512323835750067e-08
1875,9.26887366858864e-08,3.776207790906483e-08
1876,9.794543842644998e-08,5.1995726835230016e-08
1877,7.483627229021295e-08,5.1952454782622226e-08
1878,6.76377922559368e-08,5.676743342064583e-08
1879,8.61414832797891e-08,4.520900631632685e-08
1880,5.583526174746112e-08,6.28948910730287e-08
1881,8.157833519817359e-08,4.8807553554297556e-08
1882,7.320923600673268e-08,3.0614771162618126e-08
1883,5.497824773215143e-08,4.676310894069502e-08
1884,5.0833065756705764e-08,4.2250860587955685e-08
1885,5.994441210077639e-08,5.607703101873085e-08
1886,6.969740695694782e-08,2.5813855941692054e-08
1887,4.83140425444617e-08,2.8074376601239237e-08
1888,5.326116436776829e-08,2.599652049184442e-08
1889,4.636201111907212e-08,2.944614330147033e-08
1890,3.211649257650606e-08,5.2435090935887274e-08
1891,4.5894385181100006e-08,1.5935549768641977e-08
