year,leurs_DET anneaux_NOUN,leurs_DET canots_NOUN
1800,1.477757365364596e-07,6.256887248312637e-07
1801,2.6907362138395285e-07,5.738649804243323e-07
1802,1.7902721083373763e-07,1.0428335031065217e-06
1803,4.1737258271723476e-07,3.471603935434331e-07
1804,3.7819320719556515e-07,7.761611939827162e-07
1805,2.6723051860244595e-07,1.3361525041943878e-07
1806,3.659719709503406e-07,2.9393024902901743e-07
1807,1.7366426163789583e-07,3.7010415354643555e-07
1808,1.495608836776796e-07,5.46123843037094e-07
1809,1.7846341471283722e-07,6.099382154900468e-07
1810,2.386929338626942e-07,4.0718206673062696e-07
1811,9.526891631139733e-08,3.4096243339831744e-07
1812,4.5342538612658245e-08,3.120633493836067e-07
1813,1.8979895344273245e-07,4.3423698059541493e-07
1814,5.192017544786154e-07,7.552024783308298e-08
1815,1.2676951022250194e-07,2.8590570444464447e-07
1816,3.939926500606816e-07,7.207748069504305e-07
1817,1.774835741708003e-07,1.868248160619146e-07
1818,2.0504425091161238e-07,3.0875850676181926e-07
1819,2.028805857756666e-07,2.805134560190936e-07
1820,8.781196214613374e-08,7.226686804528981e-07
1821,1.1439326641493608e-07,3.6881965037594e-07
1822,1.1529458276982041e-07,3.40870954573802e-07
1823,4.3483822431689134e-08,3.785069182526968e-07
1824,1.3894836481398443e-07,2.787388195812923e-07
1825,1.3384272956606935e-07,3.6718697060678096e-07
1826,1.453317466371118e-07,3.6200816921905243e-07
1827,1.1152900175614988e-07,5.216976628474868e-07
1828,1.3941898169278488e-07,4.0908464882249973e-07
1829,1.0545006290385572e-07,2.2890380435569568e-07
1830,1.2315466646484197e-07,4.54002353933447e-07
1831,8.575163690238696e-08,2.7596435869803315e-07
1832,1.7183061462588967e-07,3.9101610482816795e-07
1833,1.8881314756136192e-07,1.5220887803479854e-06
1834,1.5868702640808863e-07,7.383613720435278e-07
1835,1.3840450208135735e-07,3.781544037906315e-07
1836,1.431519773831269e-07,3.9181972866231263e-07
1837,1.5237781680887963e-07,4.974892213738258e-07
1838,1.6727228580037945e-07,2.4049336566633883e-07
1839,1.349354770141531e-07,2.502948159843754e-07
1840,1.2293499462856516e-07,2.3758938461071466e-07
1841,1.0529699778771828e-07,2.542537202998574e-07
1842,8.720744260060087e-08,3.8237110899785876e-07
1843,1.228637533934318e-07,2.587227054817731e-07
1844,1.728896743546926e-07,1.7014539999138378e-07
1845,1.43969876020833e-07,2.031202939178911e-07
1846,1.896858374816901e-07,2.470599511639193e-07
1847,1.1865092108820363e-07,2.3082997469003885e-07
1848,1.0136979078367858e-07,2.0595767313835722e-07
1849,8.965974118702036e-08,2.1032331343207034e-07
1850,1.357799135348614e-07,1.6904599497991057e-07
1851,1.2640900282079315e-07,1.6252585854914514e-07
1852,2.3047330799386145e-07,2.0508217835057962e-07
1853,9.435652592593158e-08,2.2991937598249024e-07
1854,1.2105898861136666e-07,1.7457432477385737e-07
1855,1.1144567935161831e-07,2.0113292009682482e-07
1856,1.3305376328487384e-07,1.6463461083304765e-07
1857,1.5376752937612537e-07,1.5962534494207148e-07
1858,1.0961834107092727e-07,2.735564883504793e-07
1859,1.1661077081726035e-07,1.868827688156216e-07
1860,1.6249002543489155e-07,1.533356539518138e-07
1861,1.5515521012421374e-07,2.093887916387871e-07
1862,8.900433101644012e-08,1.902072175319347e-07
1863,1.0538649775071462e-07,2.117719262173523e-07
1864,1.5966443811521458e-07,1.4336237175172073e-07
1865,9.554894009333736e-08,1.6238612632335503e-07
1866,1.3575060658910232e-07,2.802593064288317e-07
1867,1.805245872787964e-07,1.7081895897774757e-07
1868,1.0818324114314493e-07,1.368345077246147e-07
1869,1.1915786946037343e-07,1.8215527086695715e-07
1870,1.0607990086342056e-07,1.553927155839574e-07
1871,6.797553298021342e-08,1.221435397269488e-07
1872,1.4332194619992578e-07,1.3062253145790237e-07
1873,1.3468509507674753e-07,1.0535368222264196e-07
1874,9.619120999726505e-08,1.2725917475364668e-07
1875,6.808617314391086e-08,2.139851087434863e-07
1876,9.552703650328453e-08,1.7231142201978855e-07
1877,1.4781709722910819e-07,2.418263029824175e-07
1878,9.48136901768315e-08,2.3914790681089926e-07
1879,1.0385852688976627e-07,3.561736527935011e-07
1880,9.177520010617002e-08,2.2590818193890527e-07
1881,1.9104670911929134e-07,2.642580412270945e-07
1882,1.5174278344964875e-07,1.8435416482276423e-07
1883,1.1058842935840474e-07,2.098020575047599e-07
