year,premiers_ADJ anneaux_NOUN,premiers_ADJ canaux_NOUN
1800,4.62192190298083e-07,4.087413785214267e-08
1801,4.309940493385511e-07,0.0
1802,5.594600338554301e-07,8.951360541686881e-09
1803,9.829709597397596e-07,3.1205427575287104e-08
1804,6.649278816439619e-07,3.707776485839531e-08
1805,3.3261667908845993e-07,1.1087222873129576e-07
1806,1.0085842205853623e-07,2.5935023018064385e-08
1807,1.1387820109121094e-07,6.832692633906845e-08
1808,2.628645745517133e-07,0.0
1809,3.862942321575247e-07,0.0
1810,4.914266327205041e-08,2.3401267590372754e-09
1811,3.9611813917872496e-07,1.7549536934780008e-08
1812,6.668020802180763e-08,1.0668832928217853e-08
1813,3.4508900625951355e-08,4.888760685162197e-08
1814,1.6362720600682223e-07,1.8880061958270744e-08
1815,1.9420009778059466e-07,0.0
1816,7.903029199951561e-07,1.1588019432906549e-08
1817,6.943655534996651e-07,3.7364962679475866e-08
1818,3.4332990139773756e-07,8.344824387052086e-09
1819,2.7430283466856054e-07,3.001804671498576e-08
1820,1.6494408328071586e-07,7.119888678630559e-09
1821,1.64686852599516e-07,3.94459531705138e-09
1822,1.9249182514613494e-07,1.303330066093622e-08
1823,1.8381797417532653e-07,1.1859224713361982e-08
1824,1.4652735558229324e-07,1.6842225392110777e-08
1825,2.3510533253556787e-07,8.805443485471187e-09
1826,1.814444772207935e-07,8.80798456392995e-09
1827,2.3780565072684112e-07,3.502563927781921e-08
1828,3.0543762363777205e-07,2.384798314380987e-08
1829,2.726270054154156e-07,3.772197487705853e-08
1830,3.12061388285656e-07,4.905312778191728e-08
1831,1.7773975002910447e-07,6.236482441579483e-09
1832,6.805574344070919e-07,2.705993829010822e-08
1833,2.490480142114393e-07,5.21263281427764e-08
1834,3.565790791526524e-07,9.334531370086552e-09
1835,1.4521128832711838e-07,1.1344631900556124e-08
1836,2.527002038732462e-07,1.8146025126952736e-08
1837,3.2354193990613567e-07,3.1310509740478665e-08
1838,3.1497688723902684e-07,1.5149188570262595e-08
1839,2.1673572803138086e-07,2.0974425751774106e-08
1840,5.560738145504729e-07,2.356784811752277e-08
1841,2.4654906383148045e-07,3.146068650039524e-08
1842,1.9990629596122744e-07,2.750388716776797e-08
1843,1.9729083078345866e-07,3.307870244384503e-08
1844,1.888065099819869e-07,1.975882035765153e-08
1845,1.4508592016682087e-07,2.3436957263811564e-08
1846,1.9202764178771758e-07,3.33706573485415e-08
1847,1.2728007448004064e-07,1.6179670936367074e-08
1848,1.2389641312893218e-07,3.218088684420195e-09
1849,2.2289243872819497e-07,1.256912263158938e-08
1850,2.3625706546681613e-07,2.0366988096043315e-08
1851,1.3995281733514275e-07,3.5471913406581734e-08
1852,4.5638924461854913e-07,1.1067927019325907e-08
1853,2.01851293013533e-07,1.911018188138769e-08
1854,1.387242463124494e-07,3.63696517347023e-09
1855,1.4487937960439012e-07,1.326734277995456e-08
1856,7.972871429728912e-08,1.0354378687793542e-08
1857,2.3187168096683308e-07,4.393358121745905e-09
1858,1.7861917456230003e-07,2.936205589776364e-08
1859,1.889196283855199e-07,1.018434669930457e-08
1860,2.041423954324273e-07,2.288591982591015e-09
1861,1.7260427398468892e-07,2.8295783494058924e-09
1862,9.081152541057236e-08,9.939570055905733e-09
1863,1.218687515347483e-07,7.991393324857654e-09
1864,1.7117179140768712e-07,1.3904711160250827e-08
1865,2.433438623938855e-07,1.553258677233771e-08
1866,2.247913215569497e-07,2.092213513549268e-08
1867,1.5237827710734564e-07,1.2132028714972876e-08
1868,3.3294750778622983e-07,7.409810987013543e-09
1869,1.533424978106268e-07,1.0255390314739543e-08
1870,1.7775550986698363e-07,1.8922360567330543e-08
1871,2.0074024575933436e-07,6.478918379571041e-08
1872,3.114379865110095e-07,1.1489944995446422e-08
1873,1.759885321916954e-07,1.2570609442263958e-08
1874,3.525019280914421e-07,1.7326366119618797e-08
1875,1.773673403704379e-07,1.8881038954532414e-08
1876,2.0616910489934526e-07,1.6928840551599933e-08
1877,2.2574577940304152e-07,2.4120781816350245e-08
1878,2.457909147324244e-07,1.2078177347163432e-09
1879,2.7003218860954803e-07,5.498392852132383e-09
1880,2.419527902475238e-07,1.2835692508872398e-08
1881,2.4682677235432493e-07,9.761510710859511e-09
1882,2.4891139105420734e-07,5.324308105514319e-09
1883,1.8642049326444976e-07,1.3902545781263598e-08
1884,1.6372209188375564e-07,1.1222884843675729e-08
1885,1.611408890767052e-07,4.511945039809007e-09
1886,1.9747599822039774e-07,1.355227396970804e-08
1887,1.416776598262004e-07,4.570247291724172e-09
1888,1.4393195613138232e-07,1.014498351992188e-08
1889,1.923396979464087e-07,2.5060546970934183e-09
