year,temples_NOUN ouverts_ADJ,temples_NOUN couverts_ADJ
1800,6.288328968651058e-09,2.2009151834367913e-08
1801,9.524730337773235e-09,2.3811825844433088e-09
1802,1.3427040812530322e-08,0.0
1803,9.751696339321825e-09,2.3404069793286908e-08
1804,7.4155526164076946e-09,4.943701892301533e-09
1805,2.842877711017877e-09,1.421438877713399e-08
1806,5.76333825108577e-09,8.645007376628655e-09
1807,1.1387820464392462e-08,2.562259560079383e-08
1808,3.3991110370834576e-08,4.5321479902327155e-09
1809,2.259030518203531e-09,1.129515236897305e-08
1810,2.106114038724627e-08,9.360507036149102e-09
1811,7.521229861140455e-09,0.0
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,3.4508900625951355e-08,8.627225156487839e-09
1814,7.237357380063258e-08,1.8880061958270744e-08
1815,1.6183340889597275e-08,1.6183340889597275e-08
1816,4.1716869958463576e-08,3.7081662185300956e-08
1817,2.80237220096069e-08,7.784366928831332e-09
1818,1.668964877410417e-08,4.6492591110336434e-08
1819,1.0351049795076506e-08,1.1386155129855524e-08
1820,2.3732962262101864e-09,8.306536791735653e-09
1821,1.1833785507064931e-08,2.6626018723163725e-08
1822,7.017931125119503e-09,1.604098542884458e-08
1823,2.9648061783404955e-09,1.8777104315859106e-08
1824,3.3684450784221553e-09,1.3473780313688621e-08
1825,7.924898959288385e-09,2.6416328680056722e-08
1826,6.1655889282974385e-09,2.554315514657901e-08
1827,5.530363722527909e-09,2.2121454890111636e-08
1828,0.0,1.3758452155343548e-08
1829,2.571952872898464e-09,1.2002446148073886e-08
1830,1.0436835840010872e-09,7.305785310052215e-09
1831,7.795603274018958e-09,6.236482441579483e-09
1832,2.705993873419743e-09,5.411987746839486e-09
1833,6.950177322551099e-09,1.2741991461950875e-08
1834,7.467624740797874e-09,1.9602515166639023e-08
1835,5.294161553592858e-09,1.5882484660778573e-08
1836,5.376600054063374e-09,1.4785650037651976e-08
1837,4.870523429012508e-09,1.0436836284100082e-08
1838,9.468243078458727e-09,2.019891809368346e-08
1839,1.3982950353153e-09,6.292327547896548e-09
1840,8.280594876453051e-09,4.458782232319436e-09
1841,1.0914932957462042e-08,2.3113974734201292e-08
1842,1.0733224087289273e-08,1.8112315203211438e-08
1843,1.7720733769266417e-09,1.0041748765843295e-08
1844,3.2931368743049916e-09,4.390849017710252e-09
1845,1.0602432709561072e-08,7.812318791877715e-09
1846,8.781752214304106e-09,1.5807152919933287e-08
1847,2.6966118227278457e-09,7.550513103637968e-09
1848,8.045221711050488e-10,1.126331028444838e-08
1849,3.3517659758786067e-09,4.1897072478036534e-09
1850,2.7155984128057753e-09,1.968808760466345e-08
1851,8.384270167027807e-09,2.1283147688677673e-08
1852,6.510545436100301e-09,1.1067927019325907e-08
1853,8.957897534855874e-09,1.911018188138769e-08
1854,1.610655964157104e-08,1.0391328686409906e-08
1855,7.429711956774554e-09,4.776243400783642e-09
1856,8.28350277259915e-09,7.765783571755946e-09
1857,4.393358121745905e-09,1.9526036343364694e-09
1858,4.893676130990343e-09,1.1744822003834088e-08
1859,2.5460866748261424e-09,6.619825576592575e-09
1860,5.034902272882391e-09,6.408057640072684e-09
1861,2.8295783494058924e-09,6.6023493339173456e-09
1862,3.162590411776023e-09,1.536115412648087e-08
1863,3.496234635136375e-09,6.493007020935693e-09
1864,9.589456340108882e-09,1.0548401263577034e-08
1865,8.943004559114343e-09,4.23615986733239e-09
1866,3.4059290943133647e-09,1.5083399418358567e-08
1867,4.85281148598915e-09,1.3102591012170706e-08
1868,8.89177353968762e-09,8.89177353968762e-09
1869,2.441759683335931e-09,4.395167341186834e-09
1870,7.454263428741115e-09,9.747882501187632e-09
1871,0.0,0.0
1872,3.0236697590169115e-09,8.4662747923403e-09
1873,5.387403856360606e-09,2.3944017879529156e-09
1874,5.974609140757536e-10,5.974609140757536e-10
1875,8.58229043387837e-09,6.865832347102696e-09
1876,1.7533442031592017e-08,4.836811839936672e-09
1877,3.092407996341251e-09,6.184815992682502e-10
1878,9.058632954861423e-09,6.039088673581716e-10
1879,4.887460214320072e-09,0.0
1880,7.059631101924424e-09,3.2089231272180996e-09
1881,5.578006112560985e-09,0.0
1882,2.6621540527571597e-09,1.9966155395678697e-09
1883,5.0554711528150165e-09,0.0
1884,7.2618666635548834e-09,1.3203393933736152e-09
1885,6.445635580831777e-09,5.156508553483263e-09
1886,1.097088819790315e-08,0.0
1887,1.3057849246322917e-09,6.528924623161458e-10
1888,8.242799331981132e-09,2.53624587998047e-09
1889,2.5060546970934183e-09,3.759081934617825e-09
1890,9.831579994568074e-09,5.898947996740844e-09
1891,1.9122659011827636e-09,2.5496880162734215e-09
1892,1.2537024751679837e-09,6.268512375839919e-10
1893,5.542574843531156e-09,3.079208221734575e-09
1894,9.452309157609307e-09,3.780923574225881e-09
1895,3.0093072478365457e-09,5.416753268150387e-09
1896,2.358811590497112e-09,2.358811590497112e-09
1897,4.078699600285063e-09,0.0
1898,6.224190496340043e-09,2.8291773368493978e-09
1899,2.7637891975018647e-09,1.1055156790007459e-09
1900,4.15284251431558e-09,4.15284251431558e-09
1901,3.353243460679778e-09,0.0
1902,6.38336894454028e-09,3.437198747846537e-09
1903,4.320176216765503e-09,7.560307935250421e-09
1904,5.374625189347171e-09,5.374625189347171e-10
1905,3.096455536422127e-09,2.580379465655369e-09
