year,bras_NOUN ouverts_ADJ,bras_NOUN couverts_ADJ
1800,2.263798393187244e-07,5.0306631749208464e-08
1801,2.690736380372982e-07,3.5717739876872656e-08
1802,2.9091921760482364e-07,2.9091921760482364e-08
1803,2.0673596168307995e-07,5.265916058760922e-08
1804,4.474050285807607e-07,1.4831105232815389e-08
1805,2.9281639513101254e-07,3.1271653710973624e-08
1806,2.2188852710769424e-07,1.4408345627714425e-08
1807,1.8505208743135881e-07,1.4234775136401367e-08
1808,2.1074488643080258e-07,2.039466551195801e-08
1809,2.7334269248058263e-07,4.518061036407062e-09
1810,2.737948250342015e-07,1.6380887757350138e-08
1811,1.930449116116506e-07,1.0028307073639553e-08
1812,1.973734100602087e-07,2.6672083208723052e-08
1813,2.386865673997818e-07,2.0130190847567064e-08
1814,2.7690759907272877e-07,3.1466771410748606e-09
1815,3.1557516422253684e-07,0.0
1816,3.8935746715651476e-07,0.0
1817,2.273035164535031e-07,3.113746815941454e-09
1818,2.6584226020531787e-07,2.026600220972341e-08
1819,2.1323162968656106e-07,1.1386155129855524e-08
1820,2.8123560014137183e-07,3.5599443393152796e-09
1821,2.7710783001566597e-07,2.7612166775270452e-08
1822,3.258325023125508e-07,2.7069162911175226e-08
1823,3.4194096087958314e-07,2.4706716672540097e-08
1824,2.484228218690987e-07,3.452656116564867e-08
1825,2.7384928102947015e-07,1.1447076175841175e-08
1826,3.206106384823215e-07,2.906634755106552e-08
1827,1.97249647726494e-07,3.6869092223668076e-09
1828,2.614105767406727e-07,1.1923991571904935e-08
1829,2.357623429816158e-07,4.286587973467704e-09
1830,2.724014223076665e-07,1.7742621594152297e-08
1831,1.7150327380477393e-07,6.704218691311326e-08
1832,2.4218644512075116e-07,2.705993829010822e-08
1833,3.243415847009601e-07,2.548398292390175e-08
1834,2.753686487722007e-07,1.9602515166639023e-08
1835,2.6017022491942043e-07,2.4201881387853064e-08
1836,2.1170362174416368e-07,3.629205025390547e-08
1837,2.0734515260301123e-07,2.2961039292113128e-08
1838,2.3354999711955315e-07,3.1560809077291196e-08
1839,2.405067505151237e-07,1.957613093850341e-08
1840,1.9236459536386974e-07,3.184844388215424e-08
1841,2.2086686612965423e-07,2.6966304744746594e-08
1842,2.314351377208368e-07,2.750388716776797e-08
1843,2.575413304839458e-07,2.3627643841450663e-08
1844,2.8869831680822244e-07,1.4270259640625227e-08
1845,2.2097702867540647e-07,1.2276501593078137e-08
1846,2.1368930447351886e-07,1.6978054517835517e-08
1847,2.03324532321858e-07,2.534815024546333e-08
1848,2.864098860300146e-07,1.528592186161859e-08
1849,2.220544956799131e-07,2.1786478399121734e-08
1850,2.1589006848898862e-07,1.4935791270431764e-08
1851,2.5281801185883523e-07,1.6768540334055615e-08
1852,1.862016034692715e-07,1.4323200403509873e-08
1853,2.561958751812199e-07,2.09017620989016e-08
1854,2.805658709803538e-07,1.1430461910322265e-08
1855,2.791448991956713e-07,3.661786607267459e-08
1856,2.46951913140947e-07,3.158085348786699e-08
1857,3.304781728274975e-07,3.026535466688074e-08
1858,3.1906768072076375e-07,1.9574704523961373e-08
1859,3.177516134655889e-07,2.6988518087023294e-08
1860,3.8494115983667143e-07,1.2816115280145368e-08
1861,3.093672091836197e-07,2.0750240636857598e-08
1862,2.9502450615837006e-07,1.400575744270327e-08
1863,2.861917778318457e-07,2.447364266799923e-08
1864,2.824094735842664e-07,1.7740493518658695e-08
1865,3.7843028621864505e-07,2.871175119878444e-08
1866,3.2842888231243705e-07,1.0217787504984699e-08
1867,3.173738605255494e-07,1.067618526917613e-08
