year,nombreux_ADJ anneaux_NOUN,nombreux_ADJ canaux_NOUN
1800,3.144164484325529e-09,1.477757365364596e-07
1801,4.7623651688866175e-09,7.381665767525192e-08
1802,1.1189200677108602e-08,2.0364345232337655e-07
1803,7.801356893821776e-09,1.4822578009443532e-07
1804,7.4155526164076946e-09,3.4111542390746763e-07
1805,5.685755422035754e-09,2.2174445746259153e-07
1806,0.0,1.6425514104412287e-07
1807,8.540865792383556e-09,1.679703558465917e-07
1808,2.2660739951163578e-09,1.6995555540688656e-07
1809,0.0,2.0557178004310117e-07
1810,4.212228077449254e-08,1.7550951270095538e-07
1811,7.521229861140455e-09,1.855236746450828e-07
1812,5.3344164641089264e-09,2.427159415674396e-07
1813,2.0130190847567064e-08,3.0482860324809735e-07
1814,3.4613449884091096e-08,1.4160046646338742e-07
1815,0.0,2.5623623400861106e-07
1816,1.8540831092650478e-08,8.1116134253989e-08
1817,3.113746815941454e-09,1.370048607896024e-07
1818,2.384235475716423e-09,1.8477824426099687e-07
1819,3.1053151161586356e-09,1.9770504877669737e-07
1820,5.933240565525466e-09,1.7087732828713342e-07
1821,0.0,1.3510238261460472e-07
1822,1.5038423839541792e-08,9.925359734097583e-08
1823,7.906149512848515e-09,2.193956447626988e-07
1824,1.0105335235266466e-08,1.869486965233591e-07
1825,6.163809906922779e-09,1.7963104426144128e-07
1826,3.52319382557198e-08,2.2724599091361597e-07
1827,1.2904182611350734e-08,1.6591091878126463e-07
1828,1.834460228167245e-08,1.8436325888160354e-07
1829,1.3717081692732336e-08,2.803428458264534e-07
1830,8.349468672008697e-09,1.6490200493990415e-07
1831,1.4032085715598441e-08,1.5903030714525812e-07
1832,2.705993829010822e-08,1.9889054669874895e-07
1833,7.52935847003755e-08,3.0233269399104756e-07
1834,2.6136685704614138e-08,3.229747562727425e-07
1835,1.0588323107185715e-08,2.8512840799521655e-07
1836,2.2850549896702432e-08,1.1223652762737402e-07
1837,5.4967337348443834e-08,2.3865567300163093e-07
1838,1.7042836475411605e-08,2.202944529017259e-07
1839,2.1673573158409454e-08,2.195323247633496e-07
1840,3.503328827036967e-08,2.566984562690777e-07
1841,8.346713542550788e-09,1.913323472990669e-07
1842,3.4212153110502186e-08,1.2946951244430238e-07
1843,1.8311423488626133e-08,1.837049410369218e-07
1844,2.195424464446205e-08,1.844156543029385e-07
1845,2.0088821273134272e-08,1.6796485624581692e-07
