year,autres_ADJ ouvertures_NOUN,autres_ADJ couvertures_NOUN
1800,9.746909768182377e-08,6.288328968651058e-09
1801,6.191074675143682e-08,2.1430643926123594e-08
1802,1.320325679898815e-07,1.1189200677108602e-08
1803,1.6382848855300836e-07,6.241085515057421e-08
1804,1.087614407424553e-07,1.507829097135982e-07
1805,2.388017321663938e-07,1.3077237781544682e-07
1806,1.988351669979238e-07,8.645007376628655e-09
1807,1.0818429529990681e-07,0.0
1808,1.4729481279118772e-07,1.8128591960930862e-08
1809,2.597885213617701e-07,1.8072244589717457e-07
1810,1.778496283577624e-07,0.0
1811,1.4791753244480788e-07,4.262030373070047e-08
1812,3.414026537029713e-07,5.3344164641089264e-09
1813,1.2940837734731758e-07,2.0130190847567064e-08
1814,8.181360300341112e-08,2.2026739543434815e-08
1815,1.1328339155625144e-07,2.157778822287071e-08
1816,6.257530316133852e-08,6.489290882427667e-08
1817,1.370048607896024e-07,1.774835741708003e-07
1818,1.7643343142026424e-07,7.867976847819591e-08
1819,1.801082731844872e-07,4.243930362690662e-08
1820,2.515693893201387e-07,2.8479554714522237e-08
1821,1.64686852599516e-07,7.88919063410276e-09
1822,2.837249439835432e-07,6.015369535816717e-09
1823,2.6584427814668743e-07,1.5416991705485827e-07
1824,1.4821158345057484e-07,3.3684450784221553e-09
1825,1.4176762874740234e-07,1.6730341556581152e-08
1826,2.166764119237996e-07,9.776862697208344e-08
1827,2.3227528345159953e-07,1.3825909306319772e-08
1828,1.3024667566696735e-07,3.668920500743411e-09
1829,2.143294040024557e-07,2.3147574523818548e-08
1830,1.9516882332482055e-07,4.174734336004349e-09
1831,1.2940701310526492e-07,4.677361609140007e-09
1832,1.8400758960979147e-07,2.705993829010822e-08
1833,2.4788965902189375e-07,4.6334514003376626e-09
1834,2.1096039404255862e-07,6.534171426153534e-09
1835,1.777325735474733e-07,2.0420337421001022e-08
1836,1.8011610336543527e-07,2.2178475944656384e-08
1837,2.699661649785412e-07,1.3219993100221927e-08
1838,2.114574186862228e-07,2.840472923537618e-08
1839,1.5451159640633705e-07,1.0487212875887053e-08
1840,1.4140708515242295e-07,1.2102408852854296e-08
1841,1.7271275964958477e-07,5.1364388298225094e-09
1842,1.5026513722204982e-07,2.0124795163667386e-09
1843,1.5121692342745519e-07,7.678984559333912e-09
1844,9.989181393166291e-08,3.2931368743049916e-09
1845,1.4117976832039858e-07,1.0044410636567136e-08
1846,1.200172761173235e-07,1.0538101946622191e-08
1847,1.2188685616365547e-07,1.6179670936367074e-08
1848,9.091100849900613e-08,4.82713291560799e-09
1849,1.6004682379389124e-07,1.5920887719289567e-08
1850,1.398533129304269e-07,1.3577992064028876e-08
1851,1.4188765362632694e-07,7.739326512989919e-09
1852,2.1484800072357757e-07,9.765818376195057e-09
1853,1.355628569399414e-07,1.4332636188996162e-08
1854,1.65741695923316e-07,1.4028294081924741e-08
1855,1.215288563116701e-07,5.306937111981824e-09
1856,1.5997514424270776e-07,8.28350277259915e-09
1857,1.366822601767126e-07,2.2943092758964667e-08
1858,1.6051257034632727e-07,2.936205500958522e-09
1859,1.0082503365538287e-07,9.165912473463322e-09
1860,1.1259872678692773e-07,1.9224172476128842e-08
1861,1.1601270699657107e-07,1.2733101684148096e-08
1862,1.0978706654896087e-07,1.490935552794781e-08
1863,1.2586444597673108e-07,2.597202808374277e-08
1864,1.2514239244865166e-07,1.342523781033833e-08
1865,9.225414743241345e-08,2.0710114512212385e-08
1866,8.174230003987759e-08,1.556996132023869e-08
1867,1.252025327858064e-07,5.338092634588065e-09
1868,9.780950449567172e-08,3.457911734727759e-09
1869,1.2257632420187292e-07,8.30198221279943e-09
1870,1.370437701098126e-07,1.0894693147633916e-08
1871,1.1470871186247678e-07,1.911811864374613e-08
1872,9.675743228854117e-08,6.652073114565837e-09
1873,1.0535367778174987e-07,9.577607151811662e-09
1874,1.2068710475432454e-07,2.3300975371398636e-08
1875,9.383304444554597e-08,1.2015206607429718e-08
1876,1.227341073217758e-07,1.6928840551599933e-08
1877,8.287653230354408e-08,1.36065949618569e-08
1878,9.602150896625972e-08,5.435179861734696e-09
1879,1.1118972054191545e-07,3.665595160740054e-09
1880,8.407378260244514e-08,7.701415505323439e-09
1881,8.645909588267386e-08,2.789003084036068e-09
1882,8.91821585469188e-08,5.324308105514319e-09
1883,9.289428248848708e-08,1.2006744043446815e-08
1884,9.770511155693384e-08,1.3203393933736152e-08
1885,9.539540712921735e-08,1.6114089618213256e-08
1886,9.938334244452562e-08,1.613365974151293e-08
1887,9.989254579068074e-08,6.528924512139156e-09
1888,1.3885946259506454e-07,1.268122939990235e-08
1889,1.0963989183210288e-07,6.265136853755848e-09
1890,9.37277278012516e-08,1.4419650362640368e-08
1891,8.860165934265751e-08,1.0198752065093686e-08
1892,8.086380631766588e-08,1.002961980134387e-08
1893,7.82118902975526e-08,9.23762488724833e-09
1894,9.389293609274318e-08,8.192000855444803e-09
1895,8.365874037963295e-08,1.1435367319734269e-08
1896,8.019959096827733e-08,6.486731929378209e-09
1897,6.409384667449558e-08,1.0488084734028291e-08
1898,8.374365023655628e-08,2.319925584970406e-08
1899,7.517506617205072e-08,1.1055156790007459e-08
1900,9.60344834766147e-08,1.1939421895590385e-08
1901,9.27730638977664e-08,3.912117296778206e-09
1902,2.2489099649192212e-07,2.0132164380015638e-08
1903,7.668312917985531e-08,3.2401321625741275e-09
1904,1.268411580213069e-07,8.061937784020756e-09
1905,1.3263151288356312e-07,7.225062603755106e-09
1906,1.0031159547452262e-07,6.6874399351490865e-09
1907,9.308546822239805e-08,1.6971382910124788e-08
1908,8.103791770963653e-08,6.3848057951787496e-09
1909,6.711199773690169e-08,1.870334465081669e-08
1910,9.672912426594849e-08,1.1222716089775986e-08
1911,8.140172269577306e-08,5.852411444351446e-09
1912,1.0106277414934084e-07,5.2094213387476884e-09
1913,1.0393859639634684e-07,6.363587878865928e-09
1914,7.701255100300841e-08,8.036092680185902e-09
1915,4.7123048574349014e-08,5.890381071793627e-09
1916,4.724608615447323e-08,1.4283700666695154e-08
1917,5.9218692172180454e-08,1.315970976634162e-08
1918,6.776961924970237e-08,3.101321777165822e-08
1919,6.813807829075813e-08,7.366278698128781e-09
1920,6.436396660092214e-08,4.543339038320937e-09
1921,4.1650110915725236e-08,6.058197943303867e-09
1922,7.894391274021473e-08,1.0329109734197317e-08
1923,5.732611896291928e-08,9.554353308516284e-09
1924,6.83256118350073e-08,1.6759112098085893e-08
1925,7.368779364469447e-08,2.0896538499570738e-08
