year,leurs_DET anneaux_NOUN,leurs_DET canaux_NOUN
1800,1.477757365364596e-07,3.867322249107019e-07
1801,2.6907362138395285e-07,2.0240051856745822e-07
1802,1.7902721083373763e-07,1.969299319171114e-07
1803,4.1737258271723476e-07,2.6134544484079925e-07
1804,3.7819320719556515e-07,3.1145321699455053e-07
1805,2.6723051860244595e-07,5.572040322476823e-07
1806,3.659719709503406e-07,1.6425514104412287e-07
1807,1.7366426163789583e-07,2.419911879769643e-07
1808,1.495608836776796e-07,2.01680592226694e-07
1809,1.7846341471283722e-07,2.2364402241237258e-07
1810,2.386929338626942e-07,2.8783560424017196e-07
1811,9.526891631139733e-08,2.3817229077849333e-07
1812,4.5342538612658245e-08,2.3204711530055988e-07
1813,1.8979895344273245e-07,1.6391727308828763e-07
1814,5.192017544786154e-07,3.398411205779439e-07
1815,1.2676951022250194e-07,2.454473477797592e-07
1816,3.939926500606816e-07,2.549364204185167e-07
1817,1.774835741708003e-07,1.5724421587037796e-07
1818,2.0504425091161238e-07,3.3856143311083997e-07
1819,2.028805857756666e-07,1.656167967212241e-07
1820,8.781196214613374e-08,1.4951765958670649e-07
1821,1.1439326641493608e-07,2.0807740952477616e-07
1822,1.1529458276982041e-07,1.4336630727029842e-07
1823,4.3483822431689134e-08,1.6306433980872725e-07
1824,1.3894836481398443e-07,1.2631668688811715e-07
1825,1.3384272956606935e-07,1.805115852349104e-07
1826,1.453317466371118e-07,1.3123897346645208e-07
1827,1.1152900175614988e-07,1.3549391564282587e-07
1828,1.3941898169278488e-07,2.2472138017093357e-07
1829,1.0545006290385572e-07,1.3202691340197248e-07
1830,1.2315466646484197e-07,1.3880991089898487e-07
1831,8.575163690238696e-08,1.5279381671007286e-07
1832,1.7183061462588967e-07,1.9212556345848952e-07
1833,1.8881314756136192e-07,2.6063164781930936e-07
1834,1.5868702640808863e-07,1.5121940766249509e-07
1835,1.3840450208135735e-07,2.3067418908340187e-07
1836,1.431519773831269e-07,1.5726555391282204e-07
1837,1.5237781680887963e-07,2.6370406658315915e-07
1838,1.6727228580037945e-07,1.7421566855801984e-07
1839,1.349354770141531e-07,2.0485022123040153e-07
1840,1.2293499462856516e-07,1.5032464961706182e-07
1841,1.0529699778771828e-07,1.617978160339817e-07
1842,8.720744260060087e-08,1.824648037107579e-07
1843,1.228637533934318e-07,1.1754752904380439e-07
1844,1.728896743546926e-07,1.6246141099074407e-07
1845,1.43969876020833e-07,1.478760331963258e-07
1846,1.896858374816901e-07,2.3359460854521785e-07
1847,1.1865092108820363e-07,1.315946542845836e-07
1848,1.0136979078367858e-07,1.2389641135257534e-07
1849,8.965974118702036e-08,1.5166740574557025e-07
1850,1.357799135348614e-07,1.276331280664067e-07
1851,1.2640900282079315e-07,1.3866293291364684e-07
1852,2.3047330799386145e-07,1.093771651028419e-07
1853,9.435652592593158e-08,1.0630038316250534e-07
1854,1.2105898861136666e-07,9.975675641094028e-08
1855,1.1144567935161831e-07,1.0454665755332826e-07
1856,1.3305376328487384e-07,9.267169076565551e-08
1857,1.5376752937612537e-07,1.0690505214405732e-07
1858,1.0961834107092727e-07,8.710743581996638e-08
1859,1.1661077081726035e-07,1.0235268588232316e-07
1860,1.6249002543489155e-07,1.1397187971162737e-07
1861,1.5515521012421374e-07,1.2355825573795443e-07
1862,8.900433101644012e-08,1.3508779539428417e-07
1863,1.0538649775071462e-07,8.990317523771552e-08
1864,1.5966443811521458e-07,1.1603241589774882e-07
1865,9.554894009333736e-08,7.107334965006373e-08
1866,1.3575060658910232e-07,1.1628814888808847e-07
1867,1.805245872787964e-07,6.26012663929032e-08
1868,1.0818324114314493e-07,1.3732849613035114e-07
1869,1.1915786946037343e-07,1.416220565264581e-07
1870,1.0607990086342056e-07,2.2706832858432335e-07
1871,6.797553298021342e-08,1.5825554244841555e-07
1872,1.4332194619992578e-07,1.0703790653820988e-07
1873,1.3468509507674753e-07,1.1792428755708073e-07
1874,9.619120999726505e-08,1.601195211975437e-07
1875,6.808617314391086e-08,1.1900776542006497e-07
1876,9.552703650328453e-08,1.5235956807302387e-07
1877,1.4781709722910819e-07,1.1627453844198499e-07
1878,9.48136901768315e-08,8.877460278000626e-08
1879,1.0385852688976627e-07,1.1363344909476325e-07
1880,9.177520010617002e-08,1.2193908327517988e-07
1881,1.9104670911929134e-07,1.5269792097427626e-07
1882,1.5174278344964875e-07,1.5240831396923227e-07
