year,sans_ADP analyser_VERB,sans_ADP canaliser_VERB
1800,6.602745239447927e-08,0.0
1801,1.1905913144261149e-08,0.0
1802,0.0,0.0
1803,2.7304748684287006e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,2.842877755426798e-08,0.0
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,3.3991110370834576e-08,0.0
1809,2.25903047379461e-08,0.0
1810,2.106114127542469e-08,0.0
1811,3.5099072981381596e-08,0.0
1812,4.800974551244508e-08,0.0
1813,7.189353823378042e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,0.0
1817,1.8682481006671026e-08,0.0
1818,2.980294278032147e-08,0.0
1819,4.968504008218133e-08,0.0
1820,3.678609150625789e-08,0.0
1821,1.9722976585256902e-08,0.0
1822,3.0076847679083585e-09,0.0
1823,1.7788836625953763e-08,0.0
1824,5.052667617633233e-09,0.0
1825,2.0252518773133943e-08,0.0
1826,2.290075862276808e-08,0.0
1827,1.1060727667100423e-08,0.0
1828,1.559291229469295e-08,0.0
1829,1.7146351893870815e-08,0.0
1830,2.5048406016026092e-08,0.0
1831,1.4032085493553836e-08,0.0
1832,2.4353945526911502e-08,0.0
1833,1.853380560135065e-08,0.0
1834,1.4935249925684957e-08,0.0
1835,9.832014313815307e-09,0.0
1836,2.6210925874181612e-08,0.0
1837,1.2524203452102256e-08,0.0
1838,1.3255540665113585e-08,0.0
1839,2.516931107976461e-08,0.0
1840,3.503328738219125e-08,0.0
1841,1.4767261635739715e-08,0.0
1842,5.0311986576900836e-08,0.0
1843,3.7804230412774587e-08,0.0
1844,1.9209963619815085e-08,0.0
1845,3.069125203980505e-08,0.0
1846,3.219975663881769e-08,0.0
1847,2.6426795862732888e-08,0.0
1848,1.367687652020777e-08,0.0
1849,1.508294689145373e-08,0.0
1850,2.5798184033476446e-08,0.0
1851,2.3217979094880548e-08,0.0
1852,2.3437963569961084e-08,0.0
1853,2.388772735173461e-08,0.0
1854,1.4547860471836316e-08,0.0
1855,1.8043586180738203e-08,0.0
1856,8.801221529353143e-09,0.0
1857,2.880090343992947e-08,0.0
1858,8.808616891453624e-09,0.0
1859,1.9350258950723287e-08,0.0
1860,2.654766717569146e-08,0.0
1861,1.0846716413936974e-08,0.0
1862,1.0843167363994155e-08,0.0
1863,1.748117339772648e-08,0.0
1864,2.1576274988888144e-08,0.0
1865,9.413688495385486e-09,0.0
1866,8.75810357570117e-09,0.0
1867,2.523461972714358e-08,0.0
1868,2.9145256430496147e-08,0.0
1869,3.8091449106048e-08,0.0
1870,2.3509599600401998e-08,0.0
1871,1.6993883633631413e-08,0.0
1872,3.62840353318461e-08,0.0
1873,2.1549616313620845e-08,0.0
1874,2.8080662239915455e-08,0.0
1875,2.2886108119735127e-08,0.0
1876,2.418405919968336e-08,0.0
1877,9.895705699314306e-09,0.0
1878,2.4760264061285397e-08,0.0
1879,2.8102896898474228e-08,0.0
1880,1.6044615414045893e-08,0.0
1881,2.0917522824959178e-08,0.0
1882,3.1945847744907496e-08,0.0
1883,2.274961996562297e-08,0.0
1884,2.3766109080725073e-08,0.0
1885,2.0626034213933053e-08,0.0
1886,9.034849313138693e-09,0.0
1887,2.8074374824882398e-08,0.0
1888,2.2192151005739902e-08,0.0
1889,2.0674950640398038e-08,0.0
1890,1.7041404731799048e-08,0.0
1891,1.9122660788184476e-08,0.0
1892,2.570090096298827e-08,0.0
1893,1.0469308309168923e-08,0.0
