year,ses_DET hôtes_NOUN,ses_DET côtes_NOUN
1800,6.980045093030185e-07,1.314260771323461e-06
1801,8.04839714874106e-07,1.3525117523727204e-06
1802,8.078603173089505e-07,2.0073426867384114e-06
1803,6.806684105242766e-07,1.4627544331347053e-06
1804,8.898663335088486e-07,1.6709712724605197e-06
1805,6.11218728963081e-07,1.552211266186987e-06
1806,4.6971206302259816e-07,8.846724171007736e-07
1807,4.725945452754843e-07,1.0676081281246752e-06
1808,7.749972930071181e-07,1.216881756249677e-06
1809,8.539135398777375e-07,1.4209301895107274e-06
1810,9.992340768150143e-07,9.454111982165614e-07
1811,6.844319777599139e-07,1.4892036546143572e-06
1812,8.054968922976968e-07,1.1575683753761723e-06
1813,7.419413681208908e-07,1.1991842683301002e-06
1814,9.786165975356198e-07,1.233497398445138e-06
1815,7.98378162691904e-07,1.1490172013850497e-06
1816,7.810324902379762e-07,1.154166728412065e-06
1817,7.379579884947418e-07,1.2813068224204471e-06
1818,9.811129420000952e-07,1.1074774093344786e-06
1819,7.235383803205764e-07,1.0682283111407287e-06
1820,9.83731283099587e-07,1.3219259926700033e-06
1821,8.086420359987301e-07,8.214619882096486e-07
1822,1.0386538491502506e-06,8.301210243644164e-07
1823,1.0870955682307226e-06,9.408318035752927e-07
1824,9.052695890687801e-07,8.825326212047457e-07
1825,1.090113897816991e-06,1.1447075962678355e-06
1826,1.1467996063885266e-06,1.005871780535017e-06
1827,8.802495581328174e-07,1.0867164874639457e-06
1828,9.355747412342907e-07,1.1795579446527427e-06
1829,1.076790958620677e-06,1.244825142521222e-06
1830,1.2440708676564327e-06,1.1156977279824787e-06
1831,1.4265953467429426e-06,1.0118693012373114e-06
1832,1.0688675837755568e-06,1.0188067065541873e-06
1833,1.4537453374430243e-06,1.4977632076806913e-06
1834,1.2657623997824885e-06,1.3423055236216896e-06
1835,1.6154755897446194e-06,1.1526145868856474e-06
1836,1.2890398988218976e-06,9.059570871272626e-07
1837,1.0499457054891081e-06,8.551248100729936e-07
1838,1.114096633614281e-06,1.1393451728736181e-06
1839,1.2528723072335879e-06,1.1459028215199396e-06
1840,1.390502982978603e-06,1.7261855731476317e-06
1841,1.0542541080127421e-06,1.1788127380896185e-06
1842,1.2121835304412798e-06,1.9574717313730616e-06
1843,1.4064355244869375e-06,1.6816976291522678e-06
1844,1.3392089055486167e-06,1.0252632307583553e-06
1845,1.3102375469031813e-06,1.1177196057587935e-06
1846,1.2194925815833813e-06,1.0339049296703706e-06
1847,1.3191824521641138e-06,1.5138778266532427e-06
1848,1.2180465134292717e-06,1.044269783534446e-06
1849,1.2971333838152077e-06,9.870950776758036e-07
1850,1.3028082896937576e-06,8.201106922456347e-07
1851,1.4279057385380156e-06,8.081146880556389e-07
1852,1.383490925377373e-06,1.039083002751795e-06
1853,1.468498052048517e-06,1.279784950014573e-06
1854,1.1757789195598889e-06,1.1222634981322699e-06
1855,1.450916659706536e-06,7.870187808123319e-07
1856,1.264787326427097e-06,9.09632134948879e-07
1857,1.385860397107308e-06,8.142357401652589e-07
1858,1.4578261389175395e-06,9.395858207028596e-07
1859,1.7186085070619583e-06,8.967317164376709e-07
1860,1.6056761076299608e-06,1.0188811181421897e-06
1861,1.574660323910848e-06,1.0719385592494746e-06
1862,1.5600606477761403e-06,9.397411453448967e-07
1863,1.6297447293922573e-06,8.740586245892246e-07
1864,1.5578071259625403e-06,9.114777963503684e-07
1865,1.5993856656848493e-06,8.392303669779722e-07
1866,1.569160202663511e-06,8.792162269344317e-07
1867,1.59560438994788e-06,8.73991325534007e-07
1868,1.355995445706526e-06,1.0907241509983123e-06
1869,1.510472465326984e-06,7.779446100641962e-07
1870,1.4965867585203796e-06,6.668698695477815e-07
1871,1.5167040672281473e-06,8.730607863327577e-07
1872,1.6297579215063251e-06,9.216145002710618e-07
1873,1.2690329267428524e-06,9.20048879748947e-07
1874,1.401643341836234e-06,7.330845264164054e-07
1875,1.4652830451211685e-06,6.888718555586593e-07
1876,1.522991166069687e-06,1.028427167426571e-06
1877,1.5214647071104537e-06,7.687726544247653e-07
1878,1.3600027930493752e-06,7.355609739079227e-07
1879,1.4503538512400382e-06,7.160129165129092e-07
1880,1.3650759393968315e-06,8.266186171113077e-07
1881,1.3373269576177904e-06,7.948658513612372e-07
1882,1.4395597620620038e-06,7.746868213587277e-07
1883,1.3750881628915579e-06,6.71113781436361e-07
1884,1.6722098497012894e-06,8.668028286251683e-07
1885,1.4870081983531236e-06,1.1073602550482065e-06
1886,1.6327263381299417e-06,7.053636110754269e-07
1887,1.576082441445692e-06,9.858676186524917e-07
1888,1.4063483018134093e-06,8.883200948162084e-07
1889,1.5894651852477182e-06,1.144014003529037e-06
1890,1.4760478155295687e-06,7.957025403015905e-07
1891,1.4743571101760722e-06,6.775795640123761e-07
1892,1.3232829463305507e-06,5.992698088874704e-07
1893,1.3647051009257893e-06,7.457842379210433e-07
1894,1.4594364632358747e-06,8.318031845533369e-07
1895,1.597942095088456e-06,5.982502599977124e-07
1896,1.4636426151071191e-06,6.604672231347308e-07
1897,1.4182221317327048e-06,7.085283701968592e-07
1898,1.4394854392918432e-06,6.422232665670435e-07
1899,1.455411425155262e-06,7.628058078523736e-07
