year,avions_VERB en_PRON
1800,6.288328968651058e-09
1801,9.524730337773235e-09
1802,2.0140561218795483e-08
1803,1.950339223455444e-09
1804,4.943701892301533e-09
1805,0.0
1806,0.0
1807,8.540865792383556e-09
1808,2.2660739951163578e-09
1809,4.518061036407062e-09
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,9.270415546325239e-09
1817,3.113746815941454e-09
1818,9.536941902865692e-09
1819,3.1053151161586356e-09
1820,5.933240565525466e-09
1821,0.0
1822,4.010246357211145e-09
1823,5.929612356680991e-09
1824,0.0
1825,1.4969252504215547e-08
1826,6.1655889282974385e-09
1827,1.8434546333878643e-08
1828,1.2841221419535032e-08
1829,1.1145129263923081e-08
1830,4.174734336004349e-09
1831,1.870944643656003e-08
1832,2.705993873419743e-09
1833,9.266902800675325e-09
1834,2.42697808516823e-08
1835,1.1344631900556124e-08
1836,8.736974699274924e-09
1837,4.87052354003481e-09
1838,1.64116205070286e-08
1839,3.4957374772659477e-09
1840,8.280594876453051e-09
1841,1.2841097074556274e-09
1842,6.037438549100216e-09
1843,4.134837805480629e-09
1844,7.683985892015244e-09
1845,2.7901139176833567e-09
1846,4.6836010625384006e-09
1847,1.240441438454809e-08
1848,8.84974404868899e-09
1849,8.379414939696517e-10
1850,1.1541293254424545e-08
1851,9.674158363282004e-09
1852,5.859490670445666e-09
1853,3.5831591027601917e-09
1854,9.871762074453727e-09
1855,6.368324534378189e-09
1856,1.0354378465748937e-09
1857,3.4170564155999728e-09
1858,4.893676130990343e-09
1859,8.147477359443656e-09
1860,6.865775947773045e-09
1861,1.4147890858851042e-08
1862,5.421583626485926e-09
1863,4.495158911765884e-09
1864,7.671564716815737e-09
1865,1.2708479601997169e-08
1866,2.919367858567057e-09
1867,4.367530337390235e-09
1868,5.9278488784286765e-09
1869,1.953407657850903e-09
1870,1.3188312664169644e-08
1871,2.3366590440332402e-08
1872,3.205089882385437e-08
1873,1.0774807712721213e-08
1874,1.9716210886144836e-08
1875,1.2015206607429718e-08
1876,9.069021977836655e-09
1877,3.0924081073635534e-09
1878,1.509772218355465e-08
1879,1.3440515367335593e-08
1880,1.8611753915820373e-08
1881,1.1156012114099667e-08
1882,5.989846840748214e-09
1883,9.479008689083912e-09
1884,6.601696966868076e-09
1885,1.2891271161663553e-08
1886,1.355227396970804e-08
1887,8.48760173255414e-09
1888,8.876860135842435e-09
1889,9.397704836544563e-09
1890,8.520702365899524e-09
1891,4.461953917456185e-09
1892,1.002961980134387e-08
1893,8.621783287310336e-09
1894,6.301539290376468e-09
1895,1.1435367319734269e-08
1896,1.1794058174530164e-08
