year,seras_VERB assez_ADV
1800,3.144164395507687e-08
1801,1.6668277424969347e-08
1802,2.2378401354217203e-08
1803,2.145373123596528e-08
1804,1.2359254952798437e-08
1805,1.7057265822018053e-08
1806,2.881669125542885e-09
1807,1.1387820464392462e-08
1808,4.5321479902327155e-09
1809,2.259030518203531e-09
1810,7.020380277111826e-09
1811,4.763445815569867e-08
1812,2.6672083208723052e-08
1813,8.627225156487839e-09
1814,3.1466771410748606e-09
1815,1.3486118000116676e-08
1816,2.3176038865813098e-09
1817,7.784366928831332e-09
1818,4.768470951432846e-09
1819,1.1386155129855524e-08
1820,4.746592452420373e-09
1821,1.2819934447350079e-08
1822,1.0025615893027862e-08
1823,7.906149512848515e-09
1824,3.3684450784221553e-09
1825,7.924898959288385e-09
1826,6.1655889282974385e-09
1827,8.295545583791863e-09
1828,8.255071293206129e-09
1829,1.7146351893870815e-08
1830,6.262101504006523e-09
1831,2.494592976631793e-08
1832,1.488296597074168e-08
1833,4.6334514003376626e-09
1834,1.6802156110884425e-08
1835,3.781543966852041e-09
1836,1.0753200108126748e-08
1837,9.74104708006962e-09
1838,5.680945491803868e-09
1839,6.9914749545318955e-09
1840,1.3376346252869098e-08
1841,5.1364388298225094e-09
1842,1.2745703159566801e-08
1843,8.269675610961258e-09
1844,1.2623690537338916e-08
1845,1.897277535078956e-08
1846,8.781752214304106e-09
1847,3.235934187273415e-09
1848,7.24069959545659e-09
1849,3.3517659758786067e-09
1850,8.82569484161877e-09
1851,9.674158363282004e-09
1852,4.557382027314816e-09
1853,7.763511611358354e-09
1854,1.610655964157104e-08
1855,1.3798036491152743e-08
1856,5.694908100650764e-09
1857,1.4644527368545823e-08
1858,8.808616946964776e-09
1859,1.5276520048956854e-09
1860,1.327383358784573e-08
1861,7.545541969022906e-09
1862,5.873382225018986e-09
1863,6.99246927027275e-09
1864,1.9178911792039344e-09
1865,8.943004559114343e-09
1866,8.271541673821048e-09
1867,9.220341823379385e-09
1868,7.903798504571569e-09
1869,1.0743741896135361e-08
1870,7.454262984651905e-09
1871,2.1242354542039266e-09
1872,6.652073114565837e-09
1873,1.9155214303623325e-08
1874,7.169530746864439e-09
1875,1.3159512590732447e-08
1876,3.627608879952504e-09
1877,9.27722432209066e-09
1878,1.0870359723469392e-08
1879,2.932476128592043e-08
1880,6.417846254436199e-09
1881,1.2550513517339823e-08
1882,1.2645231528551903e-08
1883,5.0554711528150165e-09
1884,4.621187876807653e-09
1885,1.0313017106966527e-08
1886,9.034849313138693e-09
1887,4.570247291724172e-09
1888,3.804368819970705e-09
1889,2.5060546970934183e-09
1890,9.176140736144589e-09
1891,5.736798147637501e-09
1892,1.002961980134387e-08
1893,6.774258043407144e-09
1894,6.301539290376468e-09
1895,9.027921521465032e-09
1896,5.307326134129653e-09
1897,4.078699600285063e-09
1898,1.0185038590293516e-08
1899,1.1607914629507832e-08
1900,6.748368974740515e-09
1901,3.353243460679778e-09
1902,5.892340837476695e-09
1903,5.400220270956879e-10
1904,8.061937784020756e-09
1905,1.651442893546573e-08
1906,8.745113966313056e-09
1907,6.685696440911215e-09
1908,2.4556945366072114e-09
1909,3.850688656825696e-09
1910,1.0153886620400954e-08
1911,9.044636151145369e-09
1912,3.646594803896619e-09
1913,7.42418571064718e-09
1914,9.37544086809794e-09
1915,5.890381071793627e-09
1916,9.888715624128963e-09
1917,6.57985488317081e-09
1918,1.6080926812378493e-08
1919,0.0
1920,5.300562211374427e-09
1921,6.815472630705699e-09
1922,8.853522359686394e-09
1923,1.0615948120573648e-08
1924,3.867487219366694e-09
1925,2.1996356736053713e-08
1926,1.89484357093761e-08
1927,5.574612327308159e-09
1928,1.5996457491951332e-08
1929,5.570202965543558e-09
1930,4.201441416995522e-09
1931,3.4216069977333063e-09
1932,7.6716757391182e-09
1933,1.1470662641954732e-08
1934,7.188948103475923e-09
1935,3.590485242455088e-09
1936,4.849885826274658e-09
1937,2.5182236296217297e-09
