year,fus_VERB en_ADP
1800,3.301372828445892e-07
1801,2.928854598849284e-07
1802,3.3791386044867977e-07
1803,1.677291692203653e-07
1804,2.3482583344502928e-07
1805,3.9231713344634045e-07
1806,2.9104859322615084e-07
1807,2.306033621835013e-07
1808,1.8128591250388126e-07
1809,2.3268013649158092e-07
1810,3.6739990605383355e-07
1811,1.1281845502253418e-07
1812,1.893717893608482e-07
1813,2.0705340375570813e-07
1814,2.0138733702879108e-07
1815,1.8610842289490392e-07
1816,1.0892738089296472e-07
1817,2.1796228111270466e-07
1818,2.4319200520039885e-07
1819,2.4946029952843674e-07
1820,1.7562392429226747e-07
1821,3.2838755714692525e-07
1822,4.2408356648593326e-07
1823,5.890081524739799e-07
1824,5.549513275582285e-07
1825,4.81657707496197e-07
1826,2.748091105786443e-07
1827,1.6591091878126463e-07
1828,2.7058288765147154e-07
1829,3.214940988982562e-07
1830,3.600708282647247e-07
1831,2.0268568334813608e-07
1832,2.8007036689814413e-07
1833,3.3245012787119776e-07
1834,2.4176435431400023e-07
1835,3.327758690829796e-07
1836,2.6815791898116004e-07
1837,3.7503031080632354e-07
1838,3.964037773585005e-07
1839,2.6917180662167084e-07
1840,2.592463204109663e-07
1841,1.3804179843646125e-07
1842,1.7038993860296614e-07
1843,1.7543526098506845e-07
1844,1.5642399375792593e-07
1845,1.6573277150655485e-07
1846,1.574860846176307e-07
1847,1.3483058580732177e-07
1848,1.432049430150073e-07
1849,1.0893239732467919e-07
1850,1.9077079116414097e-07
1851,1.2769888257935236e-07
1852,1.894568697480281e-07
1853,2.1498954083654098e-07
1854,2.031504777733062e-07
1855,2.281983029206458e-07
1856,2.0242809739556833e-07
1857,2.5627923605497926e-07
1858,2.53981795594882e-07
1859,2.612284788483521e-07
1860,1.7484842373960419e-07
1861,2.329686026314448e-07
1862,2.1641153580276296e-07
1863,1.4734131070781586e-07
1864,2.047348885980682e-07
1865,1.920392520560199e-07
1866,1.7710830491068918e-07
1867,1.7906874916207016e-07
1868,1.60051925490734e-07
1869,1.8215526154108375e-07
1870,1.8004912760716252e-07
1871,1.4763436695375276e-07
1872,1.5844028666833765e-07
1873,1.6581232387125056e-07
1874,2.2942498389966204e-07
1875,1.8652178823685972e-07
1876,2.1826113538736536e-07
1877,1.7131939955561393e-07
1878,1.4916548707333277e-07
1879,1.4967847050684213e-07
1880,1.752072051885989e-07
1881,1.624594290206005e-07
1882,1.257867836557125e-07
1883,1.3649771801738098e-07
1884,1.4523733682381135e-07
1885,1.1408775435484131e-07
1886,1.3358669548324542e-07
1887,1.2666113491377473e-07
1888,1.2237386215474544e-07
1889,1.014952175637518e-07
1890,1.3633123785439238e-07
1891,1.4788190583203686e-07
1892,1.1972858260378416e-07
1893,1.1762575269358422e-07
1894,1.6257970969490998e-07
1895,1.3842813473274873e-07
1896,1.2737582721911167e-07
1897,1.241089933046169e-07
1898,1.0581123888186994e-07
1899,1.1663190235822185e-07
1900,1.1316495829305495e-07
1901,8.438995990900366e-08
1902,1.0262493077561885e-07
1903,9.396383404691733e-08
1904,9.244355680948502e-08
