year,les_DET anneaux_NOUN,les_DET canaux_NOUN
1800,2.42415086404435e-06,7.483111460260261e-06
1801,1.8716094700721442e-06,5.719600579823236e-06
1802,1.9334938201609475e-06,6.2681900772076915e-06
1803,3.4716038328497234e-06,5.2854194336759974e-06
1804,2.251856159318777e-06,6.678941474547173e-06
1805,2.8570921983828157e-06,7.866242754062114e-06
1806,1.887493311869548e-06,4.53574702419246e-06
1807,1.2270376394951654e-06,5.013487850646925e-06
1808,1.5703893154750403e-06,4.1219885247301136e-06
1809,4.0617369734263775e-06,6.576037662853196e-06
1810,1.3502531714948418e-06,4.354975743581235e-06
1811,1.017873181297091e-06,4.7408819909833255e-06
1812,2.149769755988018e-06,5.998551159791532e-06
1813,1.3918589445438556e-06,4.281979272491299e-06
1814,3.2662508431258175e-06,6.919542954619828e-06
1815,1.092375526923206e-06,5.138211093935752e-06
1816,1.0169646287749856e-05,5.659588651951708e-06
1817,2.687163544123905e-06,3.954458506427727e-06
1818,1.6856544817756003e-06,5.073653085219121e-06
1819,1.595096854600797e-06,5.83074671567374e-06
1820,1.3159927760852952e-06,4.687260059199616e-06
1821,1.836209136740763e-06,4.541215588460545e-06
1822,1.7344315352829653e-06,5.7998186662189255e-06
1823,1.5792533361036476e-06,4.505516756125871e-06
1824,1.7692757268150672e-06,4.745296934061116e-06
1825,1.6290070163904602e-06,4.831546675632126e-06
1826,1.4533174379494085e-06,4.756311568598903e-06
1827,1.6434397664966127e-06,6.323971092569991e-06
1828,1.8968318613588053e-06,6.689359167921793e-06
1829,1.6186156486241998e-06,7.353213163696637e-06
1830,2.0769303432643937e-06,5.438635270138548e-06
1831,1.7056779881841067e-06,5.375847649702337e-06
1832,2.862941585135559e-06,5.853064948269093e-06
1833,2.580832529019972e-06,6.578342834018258e-06
1834,2.0638647981741087e-06,6.14305491808409e-06
1835,2.1562364054261707e-06,6.1404712141666096e-06
1836,1.8186350132509688e-06,5.53520976609434e-06
1837,2.189648256489818e-06,6.678183865460596e-06
1838,2.4945663597009116e-06,7.2482556561226374e-06
1839,1.6101367776855113e-06,6.604846419122623e-06
1840,2.2701571253946895e-06,8.074854235928797e-06
1841,1.6706267231825223e-06,6.9264878561625665e-06
1842,1.8105607750840136e-06,6.435909710944543e-06
1843,1.5783266178459598e-06,7.4586565688150586e-06
1844,2.079067016325098e-06,5.5577172872744995e-06
1845,1.801297585757311e-06,8.053943133745634e-06
1846,1.931985437408912e-06,5.95636947764433e-06
1847,2.4393550432932898e-06,6.6816645585277e-06
1848,1.5060654448006972e-06,6.517434087527363e-06
1849,2.0655257628732215e-06,5.884025114255564e-06
1850,2.4087357957114364e-06,5.2723342207627866e-06
1851,1.760696818564611e-06,6.134706325156003e-06
1852,2.864639910171718e-06,6.133584861345298e-06
1853,2.1725887791035348e-06,5.396237668264803e-06
1854,1.9348654092254947e-06,4.9836812934245245e-06
1855,1.7889684613692225e-06,5.4305887715599965e-06
1856,1.7835417054357094e-06,5.132665251039725e-06
1857,2.1952146340709078e-06,4.566651824688961e-06
1858,3.655576080063838e-06,4.832015719102856e-06
1859,2.0653854875263278e-06,4.817705047344134e-06
1860,2.2762334594972344e-06,5.466530552666882e-06
1861,1.8321519092978633e-06,4.721151213971098e-06
1862,2.006437711088438e-06,5.068277005193522e-06
1863,1.4774088299418509e-06,4.437221150510595e-06
1864,2.1235849629874792e-06,4.913637070558252e-06
1865,2.1910359748744668e-06,5.170939004983666e-06
1866,2.700415166145831e-06,5.28551510114994e-06
1867,2.155133543624288e-06,5.499691468457968e-06
1868,2.987141925814285e-06,6.36403976272959e-06
1869,2.5716611276038748e-06,5.101812490693192e-06
1870,2.3475196115896324e-06,5.484617588535912e-06
1871,2.0063404235770577e-06,6.455551442741125e-06
1872,2.7890328055946156e-06,4.5705792217631824e-06
1873,2.7248291871728725e-06,5.674732335592125e-06
1874,2.8391342539180187e-06,6.469904121786385e-06
1875,2.069476366273193e-06,5.7489903042551305e-06
1876,2.273301532795813e-06,6.561135080573877e-06
1877,2.3582703221336487e-06,7.571451874355262e-06
1878,2.4591170131316176e-06,6.1496039052144624e-06
1879,2.118103083148526e-06,5.729325323500234e-06
1880,2.182709437192898e-06,6.1810275724383246e-06
1881,2.6460666049388237e-06,6.245972201668337e-06
1882,2.415904816643888e-06,6.437753938826063e-06
1883,2.4487437713105464e-06,5.4080902600617264e-06
1884,3.0480034070023976e-06,6.0016027987330745e-06
1885,2.4783469143585535e-06,6.105950660639792e-06
1886,2.2219275876977918e-06,5.549333650378685e-06
1887,2.331479009853865e-06,5.9935527474408445e-06
1888,2.439234577877869e-06,5.7464991414235556e-06
1889,2.394535329131031e-06,6.0082663253524515e-06
1890,1.8227748768140373e-06,5.640049607791298e-06
1891,2.18763227621821e-06,5.6284364973180345e-06
1892,2.0259832211877438e-06,6.997540538122848e-06
1893,2.2231883178847056e-06,5.30486005345665e-06
1894,1.9005442339903311e-06,5.8837471783590445e-06
1895,1.5070611283363178e-06,4.616879323293688e-06
1896,1.7472896871595367e-06,5.069676006996815e-06
1897,2.2450328174272727e-06,5.74747042492163e-06
1898,1.8361361924235098e-06,5.927127006088995e-06
1899,1.70138858379687e-06,5.648079422826413e-06
1900,1.69020694329447e-06,5.487462203745963e-06
1901,1.6140278233933714e-06,5.989451551613456e-06
1902,3.637047200300003e-06,8.340117119587376e-06
1903,1.4337585128032515e-06,5.3462180176211405e-06
1904,1.7644894398927136e-06,5.427834196325421e-06
1905,1.5554528260963707e-06,5.130826821186929e-06
1906,1.4311121105947677e-06,5.6390548479612335e-06
1907,1.4096533931251543e-06,4.625987514828012e-06
1908,1.4837306849813103e-06,5.676092200701532e-06
1909,1.4896663032004653e-06,5.665462992965331e-06
1910,1.5583543415687018e-06,4.922497339521215e-06
1911,1.5019415968708927e-06,4.658519742406497e-06
1912,1.4727033601502626e-06,4.513963688168587e-06
1913,1.7340775855245738e-06,4.702691285274341e-06
1914,1.493373844141388e-06,4.683702684360469e-06
1915,1.3394725755233594e-06,3.3963937369207997e-06
1916,1.5503309072073534e-06,3.354472113414886e-06
1917,1.512269975023628e-06,3.959975799716631e-06
1918,1.3921487891366269e-06,4.4222546762284765e-06
1919,1.1049417736330724e-06,4.531182327127681e-06
1920,1.463712365534775e-06,4.351004292857397e-06
1921,1.3774827891666064e-06,4.7253945467673475e-06
1922,1.5869939176127446e-06,4.2555931258903e-06
1923,1.7070444613409563e-06,3.864205126546949e-06
