year,jardins_NOUN ouverts_ADJ,jardins_NOUN couverts_ADJ
1800,3.144164484325529e-09,6.288328968651058e-09
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-09
1803,0.0,2.145373123596528e-08
1804,0.0,1.2359254952798437e-08
1805,2.842877711017877e-09,5.685755422035754e-09
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,0.0,6.345007363961486e-08
1809,0.0,6.777091243748146e-08
1810,0.0,3.978215445954447e-08
1811,0.0,1.504245972228091e-08
1812,0.0,8.268345652595599e-08
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,1.3486118000116676e-08
1816,0.0,1.1588019432906549e-08
1817,0.0,4.670620334934483e-09
1818,0.0,4.768470951432846e-09
1819,1.035105001712111e-09,1.2421260464634543e-08
1820,0.0,2.0173018810965004e-08
1821,9.86148829262845e-10,1.8736827200882544e-08
1822,0.0,2.0051231786055723e-08
1823,0.0,5.929612356680991e-09
1824,1.1789557774477544e-08,5.894778887238772e-09
1825,0.0,2.0252519661312363e-08
1826,0.0,1.76159691278599e-08
1827,0.0,1.474763688946723e-08
1828,1.2841221419535032e-08,1.1006761724274838e-08
1829,8.57317605795771e-10,1.971830521085849e-08
1830,4.174734336004349e-09,5.218417697960831e-09
1831,0.0,1.4032085715598441e-08
1832,0.0,6.764984572527055e-09
1833,3.4750886612755494e-09,4.6334514003376626e-09
1834,6.534171426153534e-09,3.733812548034621e-08
1835,7.563087933704082e-10,9.075705520444899e-09
1836,2.016224964762614e-09,1.1425274948351216e-08
1837,7.653680356156656e-09,3.478945576063097e-09
1838,0.0,2.398621568033832e-08
1839,4.894032734625853e-09,2.3771015378315496e-08
1840,0.0,2.1019973317493168e-08
1841,1.926164561183441e-09,2.3113974734201292e-08
1842,0.0,8.720745015011744e-09
1843,0.0,1.6539351221922516e-08
1844,0.0,8.781698035420504e-09
1845,1.1160455892778032e-09,2.2320911785556063e-09
1846,0.0,8.196302303531411e-09
1847,0.0,8.629157832729106e-09
1848,0.0,1.287235473768078e-08
1849,8.379414939696517e-10,1.005529792763582e-08
1850,0.0,1.0183494048021657e-08
1851,1.2898877521649865e-09,7.094382858952031e-09
1852,7.161600201754936e-09,1.1067927019325907e-08
1853,8.957897534855874e-09,4.180352064508952e-09
1854,0.0,9.352196350675968e-09
