year,suis_VERB en_PRON
1800,2.829747991484055e-08
1801,4.0480102825313224e-08
1802,8.951360541686881e-09
1803,3.9006784247064274e-08
1804,1.730295728918918e-08
1805,1.9900143755080535e-08
1806,5.76333825108577e-09
1807,5.124519120158766e-08
1808,6.798222074166915e-08
1809,1.581321384946932e-08
1810,4.212228077449254e-08
1811,2.5070767684098882e-09
1812,4.000812481308458e-08
1813,3.163315653864629e-08
1814,9.440030979135372e-09
1815,8.091670444798638e-09
1816,3.0128852301913867e-08
1817,3.269434145636296e-08
1818,3.814776761146277e-08
1819,6.210630232317271e-09
1820,4.9839222526770754e-08
1821,9.861488337037372e-08
1822,5.012807946513931e-08
1823,6.917881023582595e-08
1824,4.7158231097910175e-08
1825,2.201360693732113e-08
1826,9.688783109140786e-09
1827,3.502563927781921e-08
1828,2.0179061976932644e-08
1829,3.1720752247110795e-08
1830,3.757260813586072e-08
1831,7.639690835503643e-08
1832,2.841293600397421e-08
1833,5.21263281427764e-08
1834,2.42697808516823e-08
1835,6.277362984974388e-08
1836,3.36037508930076e-08
1837,4.453050195252217e-08
1838,1.9567702125300457e-08
1839,2.3771015378315496e-08
1840,3.121147429396842e-08
1841,3.4028907691663335e-08
1842,1.9453969546390226e-08
1843,4.430183153658618e-08
1844,3.677336124496833e-08
1845,2.9575208060350633e-08
1846,3.571245699163228e-08
1847,2.8044762956369595e-08
1848,7.24069959545659e-09
1849,1.005529792763582e-08
1850,1.1541293254424545e-08
1851,1.7413483988093503e-08
1852,2.148479971708639e-08
1853,2.3290533723852036e-08
1854,2.5978321716024766e-08
1855,2.4411910715116392e-08
1856,1.7602443946884705e-08
1857,2.9289054737091647e-08
1858,3.670256892851498e-08
1859,4.2265038802113963e-08
1860,1.9681891672007623e-08
1861,3.3483342876117206e-08
1862,2.1686334561454856e-08
1863,4.0955889346605545e-08
1864,2.8768368576237435e-08
1865,5.7894187222018445e-08
1866,3.1139921974343565e-08
1867,2.426405742994575e-08
1868,5.5820578381826635e-08
1869,4.688178378842167e-08
1870,3.4404291415768284e-08
1871,3.186353225714811e-08
1872,2.7213026498884574e-08
1873,2.6338419445437466e-08
1874,2.6288279997288555e-08
1875,5.263805036292979e-08
1876,2.1765654167893445e-08
1877,2.8450154232473324e-08
1878,1.8117265909722846e-08
1879,1.8938909107646396e-08
1880,3.3372801855335865e-08
1881,4.044054335849978e-08
1882,3.9266770945900475e-08
1883,2.7805090674348776e-08
1884,3.498899303622238e-08
1885,1.546952527187173e-08
1886,2.9040586824180536e-08
1887,2.154545164501087e-08
1888,2.7264643875923866e-08
1889,2.7566601445982997e-08
1890,2.6217545467943637e-08
1891,2.2309770031370135e-08
1892,2.570090096298827e-08
1893,2.586534897375259e-08
1894,2.1425233365235385e-08
1895,3.0694934372021976e-08
1896,1.4742572385095798e-08
1897,2.505486740300711e-08
1898,3.8476814734345055e-08
1899,1.6582735185011188e-08
1900,1.401584381888199e-08
1901,1.1736351446245408e-08
1902,1.86590785600238e-08
1903,2.1060859278776434e-08
1904,2.0961039126632386e-08
1905,7.225062603755106e-09
1906,3.549487403997631e-08
1907,1.2342823652033985e-08
1908,2.0136695200179133e-08
1909,2.5854623053600534e-08
1910,1.4963622230190765e-08
1911,3.085817112946643e-08
1912,2.3963337980603683e-08
1913,9.545381374209683e-09
1914,3.4153391226254826e-08
1915,7.068456930880984e-09
1916,8.789969641043172e-09
1917,1.4256352209862655e-08
1918,9.189101035644853e-09
1919,1.4732557007679503e-08
1920,1.817335615328375e-08
1921,2.574734203619755e-08
1922,2.3609393551282665e-08
1923,2.441668023323018e-08
1924,1.6759111320929776e-08
1925,2.859526260223788e-08
1926,4.01260994431496e-08
1927,2.1183527376678057e-08
1928,2.2852082892654835e-08
1929,3.8991422535161746e-08
1930,1.995684684175103e-08
1931,1.1405356659111021e-08
1932,2.082311922890767e-08
1933,2.408838994938378e-08
1934,3.354842448288764e-08
1935,1.3165112555668657e-08
1936,1.2124714565686645e-08
1937,1.8886677000118368e-08
1938,1.8151300906765755e-08
1939,4.588215141154706e-09
1940,7.607348750937604e-09
1941,5.9030051957620344e-09
1942,3.944475324146879e-08
1943,2.322588166236983e-08
1944,2.8918675454292497e-08
1945,3.267756198965799e-08
1946,4.037120149291695e-08
1947,5.8412268799656886e-08
1948,3.152847583010043e-08
1949,2.5524220959027843e-08
1950,2.0207187034770868e-08
1951,2.1322804077961166e-08
1952,1.2653764258629963e-08
1953,3.232148060305917e-08
1954,2.8340354063516315e-08
1955,1.9709776921672528e-08
1956,5.05826207586324e-08
1957,3.6223653410161205e-08
1958,3.3088973339090444e-08
1959,4.340418868764573e-08
1960,2.4914999841030294e-08
1961,2.4318557112490424e-08
1962,3.805173776072479e-08
1963,1.939815952312074e-08
1964,4.1370983028254926e-08
1965,4.2134733035936733e-08
1966,4.043524626240469e-08
1967,3.155414851629956e-08
1968,3.548218471816078e-08
