year,elles_PRON osent_VERB,elles_PRON causent_VERB
1800,3.458580977167003e-08,2.641098149069876e-07
1801,2.8574191901498125e-08,2.4288061695187935e-07
1802,5.370816325012129e-08,2.193083332713286e-07
1803,8.386458461018265e-08,3.783658115708022e-07
1804,6.426812149129546e-08,1.1617699424704142e-07
1805,3.695740957709859e-08,1.3645813323748257e-07
1806,2.5935023018064385e-08,1.6425513926776603e-07
1807,5.4092147649953404e-08,1.4804167314252936e-07
1808,6.118399697996324e-08,1.495608836776796e-07
1809,9.036122072814123e-09,2.41716264781644e-07
1810,3.978215623590131e-08,2.550738109619033e-07
1811,1.7549536934780008e-08,1.2284676387253057e-07
1812,5.067695596494559e-08,2.240454861635044e-07
1813,2.8757416004054903e-08,1.8692320225000003e-07
1814,3.4613449884091096e-08,1.4160047268063636e-07
1815,2.157778822287071e-08,1.7531952778426785e-07
1816,9.270415546325239e-09,2.2017237100158127e-07
1817,5.7604317760251433e-08,1.4011860294260714e-07
1818,2.384235475716423e-09,1.8000977952681296e-07
1819,3.001804671498576e-08,2.0702100300695747e-07
1820,2.0173018810965004e-08,2.0766341801703447e-07
1821,5.226588628559625e-08,1.5383922224998514e-07
1822,3.208197085768916e-08,1.3434325296657335e-07
1823,2.569498569471307e-08,1.1958050993854386e-07
1824,4.21055617039201e-08,1.4231680367515764e-07
1825,2.1133063299316746e-08,9.862095851076447e-08
1826,1.3211976401805714e-08,1.1186139836638631e-07
1827,3.1338728390117865e-08,1.2535491222820383e-07
1828,1.4675682002973645e-08,1.430879024155729e-07
1829,2.4004893184326193e-08,1.1402323885079113e-07
1830,2.817945699007396e-08,1.6072726971572138e-07
1831,2.3386808933878456e-08,1.4187997576797784e-07
1832,1.0823975493678972e-08,2.1512650860699978e-07
1833,1.3900354645102198e-08,1.6796260915441508e-07
1834,1.3068343296396279e-08,1.3535069776082764e-07
1835,9.075705520444899e-09,1.5126175867408165e-07
1836,2.2850549896702432e-08,1.1559689871987189e-07
1837,1.6698938232195815e-08,1.3707044921318357e-07
1838,2.2723781967215473e-08,1.3697390954803268e-07
1839,4.894032512581248e-09,1.587064843988628e-07
1840,2.0383003285218138e-08,1.5287252175255617e-07
1841,5.1364388298225094e-09,1.3354741312809892e-07
1842,1.8112315647300647e-08,9.592819072423708e-08
1843,3.2488010948128476e-08,9.864541650195235e-08
1844,4.3359632440065354e-08,8.891469338578872e-08
1845,2.2320911785556063e-08,1.517822028063165e-07
1846,3.2785208325947224e-08,9.074476725601244e-08
1847,3.66739207890987e-08,6.579732758638102e-08
1848,2.333114274000181e-08,1.3194163983598628e-07
1849,3.351765798242923e-08,5.865590324560799e-08
1850,3.4623877986916796e-08,1.4596340758288306e-07
1851,7.739326512989919e-09,1.0383596560359365e-07
1852,3.2552726736412296e-08,1.1328348925587761e-07
1853,4.12063294596976e-08,1.642281324265582e-07
1854,2.4939190268469247e-08,1.0495242452890352e-07
1855,1.1144567935161831e-08,1.2895857182115833e-07
1856,1.6049285789243584e-08,8.387046346314264e-08
1857,2.39193944651106e-08,9.372497622450737e-08
1858,2.300027768242785e-08,8.221375491501703e-08
1859,2.342399785248972e-08,1.2119372883034885e-07
1860,1.8766454390473086e-08,9.154367575092692e-08
1861,3.1125361177331e-08,9.29044858821726e-08
1862,9.939570083661309e-09,8.900433279279696e-08
1863,2.1476870060155306e-08,8.041339416564597e-08
1864,2.349416616809208e-08,9.637403231010921e-08
1865,2.2122168596983016e-08,8.425251341037665e-08
1866,1.3137155363551756e-08,8.758103220429803e-08
1867,2.523461972714358e-08,9.317398230734852e-08
1868,1.8277533708754845e-08,1.0324336585654237e-07
1869,2.148748501351605e-08,9.669367706521825e-08
1870,1.3761717543303575e-08,1.2844269292600075e-07
