year,avais_VERB osé_VERB,avais_VERB causé_VERB
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,4.7623651688866175e-09
1802,0.0,0.0
1803,0.0,5.851017448321727e-09
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,1.7057265822018053e-08,0.0
1806,0.0,1.4408345627714425e-08
1807,5.693910232196231e-09,1.7081731584767113e-08
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,0.0,1.8072244145628247e-08
1810,9.360507036149102e-09,4.680253518074551e-09
1811,2.5070767684098882e-09,0.0
1812,1.0668832928217853e-08,1.3336041604361526e-08
1813,0.0,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,4.6352077731626196e-09
1817,1.556873407970727e-09,4.670620334934483e-09
1818,2.384235475716423e-09,8.344824387052086e-09
1819,0.0,4.140420006848444e-09
1820,5.933240565525466e-09,1.542642635854463e-08
1821,9.861488514673056e-09,2.9584463767662328e-09
1822,1.4035862250239006e-08,7.017931125119503e-09
1823,2.174191138237802e-08,9.882686891060644e-10
1824,5.052667617633233e-09,8.421112696055388e-09
1825,2.7296874094417944e-08,3.522177216552791e-09
1826,2.2019960965735663e-08,3.5231937367541377e-09
1827,7.373818444733615e-09,0.0
1828,8.255071293206129e-09,2.7516904310687096e-09
1829,8.573175946935407e-09,9.430493719264632e-09
1830,1.2524203008013046e-08,1.982998831806526e-08
1831,6.236482441579483e-09,7.795603274018958e-09
1832,6.764984572527055e-09,5.411987746839486e-09
1833,2.20088942626262e-08,4.6334514003376626e-09
1834,1.4935249481595747e-08,1.0267983796552471e-08
1835,1.2100940693926532e-08,1.0588323107185715e-08
1836,1.344150035720304e-08,2.016224964762614e-09
1837,6.957891152126194e-09,6.957891152126194e-09
1838,3.1560809521380406e-09,5.049729523420865e-09
1839,1.3982950353153e-09,2.7965900706306e-09
1840,1.0191501864653674e-08,5.732719632334238e-09
1841,1.2841097074556274e-09,1.5409316489467528e-08
1842,1.1404051036834062e-08,8.049918065466954e-09
1843,1.594865928211675e-08,3.5441467538532834e-09
1844,6.586273748609983e-09,2.195424508855126e-09
1845,7.254296274794569e-09,8.928364714222425e-09
1846,1.9905304071698993e-08,5.269050973311096e-09
1847,3.775256551818984e-09,1.0786447290911383e-09
1848,4.82713291560799e-09,2.413566457803995e-09
1849,5.02764896381791e-09,5.865590679832167e-09
1850,4.752297222410107e-09,2.0366988096043315e-09
1851,4.514607354622058e-09,1.2898877521649865e-09
1852,3.2552727180501506e-09,1.3021090872200602e-09
1853,4.777545470346922e-09,7.166318205520383e-09
1854,1.0910895298366086e-08,7.79349651480743e-09
1855,4.776243400783642e-09,2.1227748447927297e-09
1856,9.836659486950339e-09,4.659470143053568e-09
1857,4.393358121745905e-09,6.345961978126979e-09
1858,3.9149408159744326e-09,7.829881631948865e-09
1859,6.110608019582742e-09,4.582956236731661e-09
1860,7.323494255473406e-09,8.696649622663699e-09
1861,8.017138064531082e-09,1.2733101684148096e-08
1862,2.2589932147099034e-09,7.680577063240435e-09
1863,7.991393324857654e-09,9.489779628779615e-09
