year,flancs_NOUN ouverts_ADJ,flancs_NOUN couverts_ADJ
1800,3.772997558826319e-08,3.144164484325529e-09
1801,2.3811825400343878e-08,2.3811825844433088e-09
1802,2.4616241489638924e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,2.842877711017877e-09,2.842877711017877e-09
1806,5.187004603612877e-08,1.152667650217154e-08
1807,3.4163463169534225e-08,0.0
1808,2.945896149242344e-08,0.0
1809,1.129515236897305e-08,9.036122072814123e-09
1810,3.2761775514700275e-08,2.3401267590372754e-09
1811,2.2563691359778204e-08,0.0
1812,0.0,0.0
1813,8.627225156487839e-09,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,3.244645441213834e-08,2.3176038865813098e-09
1817,9.341240669868967e-09,0.0
1818,1.7881765401739358e-08,1.0729059418679299e-08
1819,1.0351049795076506e-08,1.035105001712111e-09
1820,1.0679833017945839e-08,0.0
1821,5.9168927535324656e-09,3.94459531705138e-09
1822,1.0025615893027862e-08,0.0
1823,4.941343334508019e-09,3.9530747564242574e-09
1824,1.0947446504872005e-08,4.210556348027694e-09
1825,1.0566531649658373e-08,0.0
1826,1.3211976401805714e-08,0.0
1827,9.217273055917019e-10,0.0
1828,1.8344602503717056e-09,0.0
1829,6.001223074036943e-09,1.800366966620004e-08
1830,8.349468672008697e-09,0.0
1831,6.236482441579483e-09,0.0
1832,1.3529969367098715e-09,2.3000948701223933e-08
1833,1.6217079235048004e-08,3.4750886612755494e-09
1834,6.534171426153534e-09,6.534171426153534e-09
1835,7.563087933704082e-09,0.0
1836,6.048674894287842e-09,2.016224964762614e-09
1837,8.349468672008697e-09,6.957890930081589e-10
1838,1.009945904684173e-08,6.312161904276081e-10
1839,8.38977065598101e-09,0.0
1840,1.7198159341091923e-08,1.2739377552861697e-08
1841,8.346713542550788e-09,4.494383976094696e-09
1842,4.695785538189057e-09,2.683306021822318e-09
1843,1.3585895075607368e-08,1.7720733769266417e-09
1844,8.232841963717874e-09,1.097712254427563e-09
1845,1.3392547515422848e-08,5.580227946389016e-10
1846,1.1123552745573306e-08,1.5221703009160592e-08
1847,1.0786447290911383e-09,3.235934187273415e-09
1848,4.02261068899179e-09,0.0
1849,8.379414939696517e-10,1.6758829879393033e-09
1850,4.752297222410107e-09,4.073397619208663e-09
1851,7.739326512989919e-09,1.2898877521649865e-09
