year,petites_ADJ ouvertures_NOUN,petites_ADJ couvertures_NOUN
1800,7.451669716829201e-07,9.306726838076429e-07
1801,6.286322218329587e-07,3.2145965178642655e-07
1802,7.653413263142284e-07,4.6547074816771783e-07
1803,9.244607781511149e-07,2.8123890842834953e-06
1804,4.350457629698212e-07,7.366115823970176e-07
1805,5.486754162120633e-07,1.3645813701224085e-07
1806,4.0343368823414494e-07,3.630903222529014e-07
1807,6.775753149668162e-07,1.1387820109121094e-07
1808,5.053345262240327e-07,4.5094873257767176e-07
1809,5.489443992701126e-07,5.195770347299344e-07
1810,4.1420244656364957e-07,7.254392642153107e-08
1811,5.2397905392354e-07,1.5293167621166504e-07
1812,7.468183298442455e-07,4.000812481308458e-08
1813,4.773731347995636e-07,3.795979068854649e-07
1814,2.7690759907272877e-07,0.0
1815,5.394447271100944e-07,2.4814457333377504e-07
1816,8.204317509807879e-07,2.15537170333846e-06
1817,5.433488468042924e-07,2.4442911584765525e-06
1818,3.421377812173887e-07,1.3792802064926946e-06
1819,5.206578066463408e-07,6.189928148936374e-07
1820,4.3312655861882376e-07,2.9191544026474503e-07
1821,3.3134600130324543e-07,1.7158989051857532e-07
1822,4.0904512843553675e-07,1.9148926355683216e-07
1823,3.290934671440482e-07,2.0872235513280657e-06
1824,3.570551712073211e-07,1.1368501873221248e-07
1825,4.578830328227923e-07,2.474329505730566e-07
1826,4.879623247688869e-07,7.839106221929626e-07
1827,4.608636459124682e-07,2.451794500757387e-07
1828,3.723954193901591e-07,4.1733972011570586e-07
1829,5.435393859443138e-07,2.3233306478687155e-07
1830,5.134922957950039e-07,1.5237780814914004e-07
1831,4.31876401307818e-07,5.3010101197514814e-08
1832,6.304965722847555e-07,5.953186388296672e-08
1833,4.934625508212775e-07,1.50587169400751e-08
1834,4.909963422505825e-07,1.456186851100938e-07
1835,5.513491032616002e-07,2.284052555978633e-07
1836,3.992125527929602e-07,1.357591514761225e-07
1837,5.002723355573835e-07,1.2176309382994077e-07
1838,4.6331268777066725e-07,1.6411621572842705e-07
1839,4.831109094993735e-07,1.8247750688260567e-07
1840,4.6817211796224e-07,6.879263736436769e-08
1841,4.2889263340839534e-07,1.2712686725535605e-07
1842,3.9176268273877213e-07,8.049918065466954e-09
1843,3.833585253687488e-07,5.611565612184677e-08
1844,4.165817983903253e-07,9.934296230085238e-08
1845,5.027785618949565e-07,5.1896119401817487e-08
1846,3.4307376495235076e-07,5.093416177714971e-08
1847,3.732110656073928e-07,2.8044762956369595e-08
1848,3.19395297765368e-07,8.20612626739603e-08
1849,3.946704509871779e-07,5.446619866233959e-08
1850,4.5622053335137025e-07,1.4460562169915647e-07
1851,5.178899300517514e-07,2.192809134271556e-08
1852,5.410263383964775e-07,3.906327350478023e-08
1853,4.234099719724327e-07,1.254105683745621e-07
1854,4.052618294281274e-07,1.1014808620757321e-07
1855,3.9642819160690124e-07,1.3904175943935115e-07
1856,3.551551799318986e-07,5.228961086345407e-08
1857,3.587909134239453e-07,2.39193944651106e-08
1858,5.27048882759118e-07,5.3830437884982985e-09
1859,4.532034267867857e-07,2.34239969643113e-08
1860,4.1240426185140677e-07,5.996110985506675e-08
1861,2.971057142531208e-07,1.509108421560157e-08
1862,3.1851803328208916e-07,5.3764037222236993e-08
1863,2.5672352421679534e-07,2.5972028638854283e-08
1864,3.375488404344651e-07,2.253522091155702e-08
1865,4.0478860796611116e-07,1.1767110841276462e-08
1866,3.1139921929934644e-07,3.0166798836717135e-08
1867,3.6396085079104523e-07,1.8925965150629054e-07
1868,4.2235922137479065e-07,4.2482916740027576e-08
1869,3.179170846578927e-07,1.70923168951731e-08
1870,3.5837805967275926e-07,1.9495765446464475e-08
1871,3.8979720784482197e-07,1.1683294776076991e-08
1872,2.787823518701771e-07,2.1770421909650395e-08
1873,4.1542870121702435e-07,3.831042905133586e-08
1874,4.230023193940724e-07,2.031367180022059e-08
1875,3.678941880025377e-07,2.803548326824057e-08
1876,4.087106049155409e-07,1.4510435075720807e-08
1877,3.2222891377386986e-07,6.061119828260075e-08
1878,3.557023262601433e-07,4.408534692856847e-08
1879,2.767524449609482e-07,2.6881030290581975e-08
1880,2.8623594516830053e-07,1.7969969734465963e-08
1881,3.1515733667220047e-07,9.064259565150223e-09
1882,3.181274053076777e-07,1.3976308999019693e-08
1883,2.963770100450347e-07,1.4534479675365475e-08
1884,2.9839671356057806e-07,7.4599173061074e-08
1885,3.209926546787756e-07,7.7347630522695e-09
1886,2.6588270429783734e-07,3.4203359644546794e-08
1887,2.5789250912566786e-07,3.4603299392532705e-08
1888,2.6250145879203046e-07,1.9021844543942734e-08
1889,1.973518095610416e-07,1.942192334736248e-08
1890,2.2940352550904208e-07,7.865263995654459e-09
1891,2.677172403764416e-07,3.824532157636895e-08
1892,2.7268029612059763e-07,1.8805536239341336e-08
1893,2.2047130698865658e-07,3.87980243488073e-08
1894,2.602535857931798e-07,4.0329852346587813e-08
1895,1.986142734722307e-07,1.9259566164109287e-08
1896,2.3352234279627737e-07,2.6536630670648265e-08
1897,1.870375001544744e-07,5.2440420894583895e-09
1898,2.2011001021837728e-07,1.3580051305694951e-08
1899,2.2884174200044072e-07,2.1557555740514545e-08
1900,2.1906244285219145e-07,8.30568502863116e-09
1901,2.168430768278995e-07,1.676621685930968e-08
1902,4.173741388058261e-07,7.856453987376e-09
1903,1.852275488545274e-07,1.8900770726304472e-08
1904,1.945614371834381e-07,2.4723275870996986e-08
1905,1.7546581432270614e-07,1.0321517862621477e-08
