year,chevaux_NOUN couverts_ADJ
1800,3.144164395507687e-08
1801,9.524730337773235e-09
1802,1.3427040812530322e-08
1803,4.8758479920252285e-08
1804,7.662737999680758e-08
1805,2.2743021688143017e-08
1806,3.1698359492793315e-08
1807,2.2775640928784924e-08
1808,1.8128591960930862e-08
1809,1.581321384946932e-08
1810,9.360507036149102e-09
1811,2.757784400841956e-08
1812,4.000812481308458e-08
1813,2.300593315851529e-08
1814,1.5733386149463513e-08
1815,5.394447111228828e-09
1816,1.1588019432906549e-08
1817,3.89218364205135e-08
1818,1.3113295338484932e-08
1819,6.003609342997152e-08
1820,2.491960913175717e-07
1821,2.2681422962023134e-08
1822,4.712039469723095e-08
1823,1.9765373338032077e-08
1824,1.4231680722787132e-07
1825,2.174944455646255e-07
1826,2.2284200440481072e-07
1827,5.8068820862899884e-08
1828,3.0268594741755805e-08
1829,6.172686539684946e-08
1830,2.922314124020886e-08
1831,3.4300654760954785e-08
1832,5.682587200794842e-08
1833,5.6759780875381693e-08
1834,3.733812548034621e-08
1835,7.714349692378164e-08
1836,9.543465040451338e-08
1837,1.5376939188627148e-07
1838,1.4707337925301545e-07
1839,3.705481788074394e-08
1840,7.197748175258312e-08
1841,7.126809009605495e-08
1842,4.628702754416736e-08
1843,3.6622846977252266e-08
1844,5.927646284931143e-08
1845,4.798996044996784e-08
1846,4.6836010625384006e-08
1847,5.2314270249098627e-08
1848,3.620349886546137e-08
1849,2.513824526317876e-08
1850,5.2275268558332755e-08
1851,3.8696633453128015e-08
1852,3.5156944022674e-08
1853,3.0456853039595444e-08
1854,6.078927583530458e-08
1855,7.058226003664458e-08
1856,2.7439103433835044e-08
1857,4.1004675210842834e-08
1858,4.208561321661364e-08
1859,5.244938705573077e-08
1860,3.707518914097818e-08
1861,1.4619487842537637e-08
1862,3.7951085829490694e-08
1863,3.0467187883687075e-08
1864,4.507044337742627e-08
1865,1.8827376990770972e-08
1866,3.941146431429843e-08
1867,3.494024269912188e-08
1868,4.347089088696521e-08
1869,1.70923168951731e-08
1870,3.612450782952692e-08
1871,2.8677177965619194e-08
1872,2.2979889990892843e-08
1873,4.19020302899753e-08
1874,2.5093358502203955e-08
1875,2.8607635371713513e-08
1876,2.2370254981751714e-08
1877,3.401648740464225e-08
1878,2.3552445327368332e-08
1879,3.176849006081284e-08
1880,3.401458670282409e-08
1881,1.9523021421719022e-08
1882,2.861815673327328e-08
1883,8.21514056781325e-09
1884,3.3668655419205606e-08
1885,3.996294140051759e-08
1886,5.0982364996343676e-08
1887,2.546280519766242e-08
1888,1.3315291091942072e-08
1889,3.069916942877171e-08
1890,7.865263995654459e-09
1891,1.5935549768641977e-08
1892,1.8805536683430546e-08
1893,2.894455697344256e-08
1894,2.079507943619774e-08
1895,1.8657704714541978e-08
1896,2.6536630670648265e-08
1897,2.0976168357833558e-08
1898,1.640922953072277e-08
1899,1.1055156790007459e-08
1900,2.180242297811219e-08
1901,9.500856101851696e-09
1902,1.4730851205513318e-08
1903,8.100330184390714e-09
1904,8.061937784020756e-09
1905,7.741138396966107e-09
1906,3.0865106026567446e-09
1907,1.131425531042396e-08
1908,1.3751889405000384e-08
1909,1.265226234892225e-08
1910,1.977335806202518e-08
1911,9.576673676292558e-09
1912,1.0418842677495377e-08
1913,1.113627856597077e-08
1914,6.027069510139427e-09
1915,8.246533234057551e-09
1916,1.8678685265172135e-08
1917,1.5352993543160665e-08
1918,2.986458014220261e-08
1919,2.9465114792515124e-08
1920,1.0601124422748853e-08
1921,5.300923255902035e-09
1922,8.115729421831475e-09
1923,3.1847843473542525e-08
1924,1.675911143195208e-08
1925,2.5295809891190402e-08
1926,1.5604593173179637e-08
1927,2.2298449309232637e-08
1928,1.4853853258500749e-08
1929,1.1140405931087116e-08
1930,2.7309368988426286e-08
1931,1.3686427990933225e-08
1932,5.4797681947604815e-09
1933,9.176529758292418e-09
1934,9.585264137967897e-09
1935,5.98414207075848e-09
1936,8.487299751891442e-09
1937,1.2591118148108649e-09
1938,1.1668692678767911e-08
1939,9.176430282309411e-09
1940,0.0
1941,4.132103725851266e-08
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,1.927911696952833e-08
1945,2.178504043826024e-09
1946,1.2528993842408909e-08
1947,2.5033829231801974e-08
1948,7.610321262063735e-09
1949,9.817008539414473e-09
1950,4.2541445921528975e-09
1951,1.5992101864981123e-08
1952,3.1634410646574906e-09
1953,5.386913581872932e-09
1954,1.2704297169818801e-08
1955,1.1262729415761896e-08
1956,7.849027205963921e-09
1957,1.3252556385623393e-08
1958,1.2408365002158916e-08
1959,9.300897829689347e-09
1960,5.536666680683311e-09
1961,1.389631876236308e-08
1962,1.4586500007851555e-08
1963,1.2932106940866106e-08
1964,9.734349326606662e-09
1965,1.3132904541635071e-08
1966,1.4401594583546284e-08
1967,7.888536934785861e-09
1968,1.122853987567396e-08
1969,1.725867981861029e-08
1970,6.438214850135182e-09
1971,2.5178147566862208e-08
1972,1.2312352026810913e-08
1973,1.1026407342740185e-08
1974,8.438357568252286e-09
1975,6.8537762132336866e-09
1976,4.570821499072508e-09
1977,1.1753563455840776e-08
1978,7.128709622605811e-09
1979,9.948355028654987e-09
1980,7.390696055153967e-09
1981,9.488323904349727e-09
1982,4.966001831974154e-09
1983,5.052252838311233e-09
1984,5.219107812592938e-09
1985,3.609334831011779e-09
1986,7.792831269171074e-09
1987,3.6664902225425067e-09
1988,5.396898483667201e-09
1989,7.134558721588746e-09
1990,7.083246433836621e-09
1991,1.0550637696837839e-08
1992,8.264915862810085e-09
1993,5.539207315052863e-09
1994,4.2199412852994556e-09
1995,4.880205572987961e-09
1996,5.3380921904988554e-09
1997,5.753873377756236e-09
1998,6.198567881199324e-09
1999,4.113180906983871e-09
2000,5.3016377954406835e-09
2001,5.695575122643959e-09
2002,7.886198361006791e-09
2003,7.91715315529018e-09
2004,5.726228824443069e-09
2005,4.503749373441224e-09
2006,8.64756888319107e-09
2007,5.592271090648637e-09
2008,8.51487946817997e-09
2009,9.059565542202108e-09
2010,8.502827775203059e-09
2011,7.265546830836911e-09
2012,8.851056776393307e-09
2013,1.2551062411603198e-08
2014,1.3209215943277286e-08
2015,1.4851055496478693e-08
2016,2.0299133041135065e-08
2017,8.804639684001359e-09
2018,1.058401366549333e-08
2019,1.020395146156261e-08
